,PDE6G (5148)
ACH-000004,-0.263616660307
ACH-000007,-0.047369639902300004
ACH-000009,-0.295607180602
ACH-000011,-0.406571729278
ACH-000012,-0.132970072931
ACH-000013,-0.183221553117
ACH-000014,-0.0341199133279
ACH-000015,-0.071345957568
ACH-000017,-0.169397308492
ACH-000018,0.05090909418740001
ACH-000019,0.006509095062250001
ACH-000021,-0.267869939076
ACH-000022,-0.119814644372
ACH-000025,-0.06565531195709999
ACH-000028,-0.08025250568680001
ACH-000030,-0.0880033721157
ACH-000035,0.029059629013900003
ACH-000036,-0.261003843261
ACH-000037,-0.28516127781
ACH-000039,-0.023470336005199998
ACH-000040,-0.174928605047
ACH-000041,-0.210787289796
ACH-000042,-0.335128448017
ACH-000045,-0.123579028649
ACH-000047,-0.0913049249077
ACH-000052,-0.0419079401824
ACH-000053,-0.08909508612610001
ACH-000054,-0.14981179938
ACH-000055,-0.0629303692623
ACH-000060,-0.4028585393
ACH-000067,-0.209888396945
ACH-000070,0.000635043085287
ACH-000075,-0.242370325317
ACH-000078,-0.00972958880666
ACH-000082,-0.307443305452
ACH-000085,-0.118594231546
ACH-000086,-0.164835682982
ACH-000087,-0.352941870295
ACH-000092,-0.346413738323
ACH-000095,-0.195557383915
ACH-000097,-0.085881962741
ACH-000098,-0.290140238281
ACH-000099,-0.115783495336
ACH-000108,-0.20756051109499998
ACH-000113,-0.330253592784
ACH-000115,0.007639030643609999
ACH-000116,-0.14639248999399998
ACH-000118,-0.249317258396
ACH-000120,-0.192728965855
ACH-000123,-0.11868149164899999
ACH-000127,-0.127913114342
ACH-000128,-0.18500119732
ACH-000132,-0.185562626255
ACH-000133,-0.19081074413199997
ACH-000137,-0.0407706560261
ACH-000138,-0.370822149606
ACH-000142,-0.373881823495
ACH-000143,-0.0475064908045
ACH-000146,-0.144058531071
ACH-000148,-0.21075888151799999
ACH-000150,-0.0571041563325
ACH-000152,-0.255736959126
ACH-000153,0.13770886951300002
ACH-000159,-0.26547990104200003
ACH-000160,-0.284153881867
ACH-000163,-0.194541925286
ACH-000167,-0.268430608508
ACH-000168,-0.134350914253
ACH-000169,-0.33680221662199994
ACH-000178,-0.08375620737089999
ACH-000182,-0.335548842286
ACH-000183,-0.14729264452299998
ACH-000188,-0.122320219925
ACH-000189,0.0905710718741
ACH-000190,-0.044296660437699996
ACH-000198,-0.166176061333
ACH-000204,-0.288758691716
ACH-000206,0.006824429304909999
ACH-000207,0.325438627656
ACH-000211,-0.0348687603431
ACH-000215,-0.306946301228
ACH-000221,-0.160229687432
ACH-000222,-0.139988307927
ACH-000223,-0.294197522285
ACH-000226,-0.146578319903
ACH-000227,0.0292204005175
ACH-000228,-0.11842659911100001
ACH-000231,-0.276109947241
ACH-000232,-0.0204515029082
ACH-000233,-0.0737004072986
ACH-000234,-0.35589975134
ACH-000235,-0.128590127558
ACH-000237,-0.198024782017
ACH-000238,-0.188646915757
ACH-000243,-0.13379916856899998
ACH-000244,-0.39015557228799996
ACH-000246,-0.200592764511
ACH-000248,-0.268146814873
ACH-000250,-0.294858564883
ACH-000251,-0.516034224136
ACH-000253,-0.177537615908
ACH-000255,-0.189116901558
ACH-000256,-0.32993784421100003
ACH-000257,-0.103628161944
ACH-000258,-0.237318739492
ACH-000259,-0.203287620482
ACH-000260,-0.14202892439099998
ACH-000261,-0.276989453017
ACH-000262,-0.149835713544
ACH-000263,-0.164966223163
ACH-000264,-0.151619462845
ACH-000265,-0.11846499328500001
ACH-000266,-0.22819836448199998
ACH-000272,-0.09642827827339999
ACH-000273,-0.27442232617400003
ACH-000274,-0.260233487751
ACH-000277,-0.180306816601
ACH-000278,-0.0110692257338
ACH-000279,-0.20884666524
ACH-000280,-0.102934595359
ACH-000281,-0.0294908620126
ACH-000288,-0.1879833436
ACH-000291,-0.103937328557
ACH-000293,-0.140296249631
ACH-000294,-0.047886166762800005
ACH-000295,-0.207870374975
ACH-000296,-0.116438184367
ACH-000302,0.030047522969299998
ACH-000304,-0.348146762685
ACH-000307,-0.117366861634
ACH-000308,-0.09802154612939999
ACH-000310,-0.08100668665180001
ACH-000311,-0.286343405241
ACH-000312,-0.08763711186730001
ACH-000315,0.0625971014275
ACH-000316,-0.304575560725
ACH-000317,-0.0755199969644
ACH-000318,-0.0893635158058
ACH-000319,-0.0813068168208
ACH-000320,-0.247526765575
ACH-000322,-0.305567721047
ACH-000323,-0.400782358451
ACH-000324,-0.09391439410939999
ACH-000329,-0.291437349304
ACH-000330,-0.106610492994
ACH-000331,-0.267797870871
ACH-000332,-0.17251320676800003
