,ARHGAP11A (9824)
ACH-000004,-0.5549224064230001
ACH-000007,-0.166253682612
ACH-000009,-0.33602016622
ACH-000011,-0.248078182658
ACH-000012,-0.326478710412
ACH-000013,-0.0921380540487
ACH-000014,-0.523928969781
ACH-000015,-0.276559453829
ACH-000017,-0.282315095797
ACH-000018,-0.023193382815099996
ACH-000019,-0.27603506510299997
ACH-000021,-0.23695379925700003
ACH-000022,-0.16851430997000003
ACH-000025,-0.44401331833400004
ACH-000028,-0.0998023356389
ACH-000030,-0.264024393252
ACH-000035,-0.0776423784602
ACH-000036,-0.30837393992
ACH-000037,-0.163150864019
ACH-000039,0.013134200299200002
ACH-000040,-0.253392459888
ACH-000041,-0.09742764587069999
ACH-000042,-0.240666703583
ACH-000045,-0.281902996993
ACH-000047,-0.349051444198
ACH-000052,0.018134382017900002
ACH-000053,-0.292045260709
ACH-000054,-0.5207815325039999
ACH-000055,-0.31703361128
ACH-000060,-0.12475335441199999
ACH-000067,-0.33197655086800004
ACH-000070,-0.299626058579
ACH-000075,-0.422469519436
ACH-000078,-0.249684809683
ACH-000082,-0.264882629814
ACH-000085,-0.436591994566
ACH-000086,-0.285268616676
ACH-000087,-0.0266706475589
ACH-000092,-0.277401037455
ACH-000095,-0.132799452842
ACH-000097,-0.853190718398
ACH-000098,-0.240311274093
ACH-000099,-0.08758544014589999
ACH-000108,-0.22963244285999998
ACH-000113,-0.303234736989
ACH-000115,-0.291746923953
ACH-000116,-0.21129264471
ACH-000118,-0.22055716024
ACH-000120,-0.512041820412
ACH-000123,-0.198454390784
ACH-000127,-0.228762275429
ACH-000128,-0.34464377486299996
ACH-000132,-0.282982320066
ACH-000133,-0.40936492540799996
ACH-000137,-0.106758625616
ACH-000138,-0.0495242628101
ACH-000142,-0.192306274193
ACH-000143,-0.312648770546
ACH-000146,-0.7597956702420001
ACH-000148,-0.324595290631
ACH-000150,-0.360721916685
ACH-000152,-0.29715045163000003
ACH-000153,-0.771064121362
ACH-000159,-0.34508601869499994
ACH-000160,-0.319871041571
ACH-000163,-0.166691346572
ACH-000167,-0.390851987556
ACH-000168,-0.2428863037
ACH-000169,-0.191349904533
ACH-000178,-0.373530345228
ACH-000182,-0.503867350436
ACH-000183,-0.377947674653
ACH-000188,-0.14397382397800002
ACH-000189,-0.173943174546
ACH-000190,-0.265215879843
ACH-000198,-0.221117348933
ACH-000204,-0.356912842721
ACH-000206,-0.24156006263399998
ACH-000207,-0.0350460249787
ACH-000211,-0.250211921725
ACH-000215,-0.17059896425999999
ACH-000221,-0.17451443082600002
ACH-000222,-0.254476333473
ACH-000223,-0.24945339355300003
ACH-000226,-0.228094792938
ACH-000227,-0.260673290969
ACH-000228,-0.16746923747099998
ACH-000231,-0.20660295764800002
ACH-000232,-0.0039132510872399995
ACH-000233,-0.5336498222820001
ACH-000234,-0.3846426693
ACH-000235,-0.394743351698
ACH-000237,-0.232716779803
ACH-000238,-0.140413481119
ACH-000243,-0.200685814081
ACH-000244,-0.5476418633869999
ACH-000246,-0.129466281607
ACH-000248,-0.431027509302
ACH-000250,-0.411842361517
ACH-000251,-0.0656658313959
ACH-000253,-0.26574816239300003
ACH-000255,-0.31658312559
ACH-000256,-0.304076310311
ACH-000257,-0.34043003767499996
ACH-000258,-0.0685242636522
ACH-000259,-0.23542541187899999
ACH-000260,-0.330179067822
ACH-000261,-0.41896259756
ACH-000262,-0.498114238948
ACH-000263,-0.243183559243
ACH-000264,-0.15426231701999998
ACH-000265,-0.42094935110299997
ACH-000266,-0.257574340008
ACH-000272,-0.22295813507800002
ACH-000273,-0.514642710026
ACH-000274,-0.338183915559
ACH-000277,-0.19182133953400002
ACH-000278,-0.195057868544
ACH-000279,-0.0641814452019
ACH-000280,-0.289233215717
ACH-000281,0.0076188752456799996
ACH-000288,-0.25103973956500003
ACH-000291,-0.09402004975169999
ACH-000293,-0.262191110959
ACH-000294,-0.5623505537619999
ACH-000295,-0.132473722954
ACH-000296,-0.102292587085
ACH-000302,-0.166498635418
ACH-000304,-0.42102486311399995
ACH-000307,-0.0848730634431
ACH-000308,-0.0872775076477
ACH-000310,-0.269554911126
ACH-000311,-0.225075167091
ACH-000312,-0.201287559888
ACH-000315,-0.19969324062199997
ACH-000316,-0.334714977861
ACH-000317,-0.447441199889
ACH-000318,-0.185163208857
ACH-000319,-0.489246652926
ACH-000320,-0.321821869496
ACH-000322,-0.540200913983
ACH-000323,-0.0929437020111
ACH-000324,-0.291149466749
ACH-000329,-0.42375325755099996
ACH-000330,-0.192970828952
ACH-000331,-0.416038607159
ACH-000332,-0.48379882148500003
ACH-000334,-0.45022204415100003
ACH-000335,-0.30365685990200003
ACH-000336,-0.35538531459600003
ACH-000337,-0.24900990540800003
ACH-000339,-0.31260213057799996
ACH-000341,-0.265393020117
ACH-000348,-0.319464661303
