,TAPT1 (202018)
ACH-000004,-0.30916344982099997
ACH-000007,-0.655519236586
ACH-000009,-0.6768602778180001
ACH-000011,-0.355685200976
ACH-000012,-0.167920461213
ACH-000013,-0.128129763329
ACH-000014,-0.505442784637
ACH-000015,-0.394632281141
ACH-000017,-0.369544872428
ACH-000018,-0.0632920989502
ACH-000019,-0.46402912661300005
ACH-000021,-0.120265556282
ACH-000022,-0.0313502812419
ACH-000025,-0.21353875695799998
ACH-000028,0.00987393187785
ACH-000030,-0.555987910142
ACH-000035,-0.13734566263599998
ACH-000036,-0.33420648092599997
ACH-000037,-0.4704908112100001
ACH-000039,-0.193760094948
ACH-000040,-0.301488456499
ACH-000041,-0.277965555845
ACH-000042,-0.27293854839299997
ACH-000045,-0.195505423913
ACH-000047,-0.284000947377
ACH-000052,-0.5531103303589999
ACH-000053,-0.205498096713
ACH-000054,-0.24133835178399998
ACH-000055,-0.551755156169
ACH-000060,-0.09854593437270001
ACH-000067,-0.402545129085
ACH-000070,-0.345966914133
ACH-000075,-0.302500739835
ACH-000078,-0.09812589449830002
ACH-000082,-0.20472901723099998
ACH-000085,-0.408308689002
ACH-000086,-0.312697885278
ACH-000087,-0.0672350444744
ACH-000092,-0.218358654096
ACH-000095,-0.22178191579999998
ACH-000097,-0.408262756289
ACH-000098,-0.20826511104000003
ACH-000099,-0.231540370719
ACH-000108,-0.30624857509
ACH-000113,-0.346542224576
ACH-000115,-0.213351924351
ACH-000116,-0.276175140629
ACH-000118,-0.119534421599
ACH-000120,-0.471300008992
ACH-000123,-0.346983156018
ACH-000127,-0.11837944524
ACH-000128,-0.148820614803
ACH-000132,-0.375675170937
ACH-000133,-0.14554532855900001
ACH-000137,-0.47795223401500003
ACH-000138,-0.279242491032
ACH-000142,-0.269981967876
ACH-000143,-0.478825688688
ACH-000146,-0.382209107835
ACH-000148,-0.155965977082
ACH-000150,-0.203991805903
ACH-000152,-0.145126942402
ACH-000153,-0.488339749737
ACH-000159,-0.0755078483865
ACH-000160,-0.330642836242
ACH-000163,-0.139097442661
ACH-000167,0.257836071767
ACH-000168,-0.385640153916
ACH-000169,-0.0239265882865
ACH-000178,-0.707707213434
ACH-000182,-0.13917670961
ACH-000183,-0.11144371952099999
ACH-000188,-0.372192463284
ACH-000189,-0.252385957514
ACH-000190,-0.061103606285699996
ACH-000198,-0.11454108173699999
ACH-000204,-0.523707827558
ACH-000206,-0.21242097342900002
ACH-000207,-0.0200713497702
ACH-000211,-0.17697121041299999
ACH-000215,-0.452594290731
ACH-000221,-0.0333525731799
ACH-000222,-0.471615500123
ACH-000223,-0.150596149332
ACH-000226,-0.300724867701
ACH-000227,-0.0524649442929
ACH-000228,-0.44422841977399996
ACH-000231,-0.264140043414
ACH-000232,-0.443545047243
ACH-000233,-0.291330648438
ACH-000234,-0.6366046063149999
ACH-000235,-0.258522940538
ACH-000237,-0.8363964276770001
ACH-000238,-0.235389145011
ACH-000243,-0.544333528894
ACH-000244,-0.4364825425399999
ACH-000246,-0.220968404954
ACH-000248,-0.128250870089
ACH-000250,-0.455643851386
ACH-000251,-0.7749412560019999
ACH-000253,-0.319512844687
ACH-000255,-0.503601808797
ACH-000256,-0.175481858929
ACH-000257,-0.572358944883
ACH-000258,-0.600388642205
ACH-000259,-0.518218830472
ACH-000260,-0.29143278133
ACH-000261,-0.20870119322099998
ACH-000262,-0.19232135248100002
ACH-000263,-0.49245962504100005
ACH-000264,-0.021661153003700005
ACH-000265,-0.102513132918
ACH-000266,-0.19659240832699998
ACH-000272,-0.36179386505500005
ACH-000273,-0.0979068860117
ACH-000274,-0.945012508653
ACH-000277,-0.23986616837699998
ACH-000278,-0.400621515644
ACH-000279,-0.273606823861
ACH-000280,-0.280239947171
ACH-000281,-0.352204021894
ACH-000288,0.00812530241243
ACH-000291,-0.49013831751000003
ACH-000293,-0.19071972886100003
ACH-000294,-0.180092806104
ACH-000295,-0.07514297670730001
ACH-000296,-0.254415362005
