,CEACAM6 (4680)
ACH-000004,-0.313761874003
ACH-000007,-0.403293171478
ACH-000009,-0.535183491498
ACH-000011,-0.380630711908
ACH-000012,-0.350426734289
ACH-000013,-0.38961418111100005
ACH-000014,-0.43762574266599996
ACH-000015,-0.28712452850000003
ACH-000017,-0.40029647033699994
ACH-000018,-0.599915572997
ACH-000019,-0.28336244515299996
ACH-000021,-0.474619404067
ACH-000022,-0.276663180197
ACH-000025,-0.294473498645
ACH-000028,-0.40488379656199996
ACH-000030,-0.48067050743
ACH-000035,-0.271556667637
ACH-000036,-0.339480306404
ACH-000037,-0.20282451856400002
ACH-000039,-0.276274556087
ACH-000040,-0.144027454877
ACH-000041,-0.389456254801
ACH-000042,-0.181818796207
ACH-000045,-0.16927671171599998
ACH-000047,-0.266236025567
ACH-000052,-0.21962681556999997
ACH-000053,-0.386568002088
ACH-000054,-0.40904538179899996
ACH-000055,-0.300962477847
ACH-000060,-0.161143181116
ACH-000067,-0.34240391224100003
ACH-000070,-0.56295881138
ACH-000075,-0.225084675462
ACH-000078,-0.442138842698
ACH-000082,-0.38051234381300003
ACH-000085,-0.297612069927
ACH-000086,-0.379761556497
ACH-000087,-0.15470904719599998
ACH-000092,-0.344299333878
ACH-000095,-0.652370060316
ACH-000097,-0.42591367364699995
ACH-000098,-0.374328007539
ACH-000099,-0.37495924102300004
ACH-000108,-0.33614203640100004
ACH-000113,-0.510562558519
ACH-000115,-0.518680054682
ACH-000116,-0.357586614868
ACH-000118,-0.305745857684
ACH-000120,-0.49977687378700003
ACH-000123,-0.441062235854
ACH-000127,-0.354959735194
ACH-000128,-0.410236854634
ACH-000132,-0.347197519419
ACH-000133,-0.180069328731
ACH-000137,-0.698792937331
ACH-000138,-0.278742525957
ACH-000142,-0.46790850860100003
ACH-000143,-0.5137320498569999
ACH-000146,-0.38812287757700004
ACH-000148,-0.271627251556
ACH-000150,-0.327944425681
ACH-000152,-0.287394139756
ACH-000153,-0.49697331275300005
ACH-000159,-0.47764216792099995
ACH-000160,-0.36230427751999994
ACH-000163,-0.364087625546
ACH-000167,-0.274059769858
ACH-000168,-0.258780995577
ACH-000169,-0.479384258739
ACH-000178,-0.398811494396
ACH-000182,-0.274913854265
ACH-000183,-0.355540097728
ACH-000188,-0.310438544736
ACH-000189,-0.5450724739630001
ACH-000190,-0.275788175784
ACH-000198,-0.387400574225
ACH-000204,-0.348415359287
ACH-000206,-0.26272416164900003
ACH-000207,-0.122996898551
ACH-000211,-0.190230749019
ACH-000215,-0.326923153604
ACH-000221,-0.420690083188
ACH-000222,-0.403015214978
ACH-000223,-0.283249748362
ACH-000226,-0.280971071227
ACH-000227,-0.304080136041
ACH-000228,-0.45404027578999995
ACH-000231,-0.16107937505
ACH-000232,-0.321184787017
ACH-000233,-0.39214198235299996
ACH-000234,-0.300455856839
ACH-000235,-0.358634691382
ACH-000237,-0.5127595051330001
ACH-000238,-0.236788331862
ACH-000243,-0.37778071750799996
ACH-000244,-0.482614561612
ACH-000246,-0.317344042479
ACH-000248,-0.38158623234
ACH-000250,-0.326867482343
ACH-000251,-0.0033900037674799996
ACH-000253,-0.396700159783
ACH-000255,-0.296513572744
ACH-000256,-0.314663627425
ACH-000257,-0.442311912405
ACH-000258,-0.212080725665
ACH-000259,-0.437688398967
ACH-000260,-0.255528032576
ACH-000261,-0.351982139194
ACH-000262,-0.6698877258829999
ACH-000263,-0.294431016697
ACH-000264,-0.168986185972
ACH-000265,-0.301083944733
ACH-000266,-0.487586647709
ACH-000272,-0.615133232913
ACH-000273,-0.277266383753
ACH-000274,-0.303220416895
ACH-000277,-0.344142653779
ACH-000278,-0.612889425588
ACH-000279,-0.277091280177
ACH-000280,-0.44829017915299996
ACH-000281,-0.196964255841
ACH-000288,-0.11755596713300001
ACH-000291,-0.549261733189
ACH-000293,-0.385060293197
ACH-000294,-0.5381808488600001
ACH-000295,-0.301586996835
ACH-000296,-0.109468536198
ACH-000302,-0.650614660282
ACH-000304,-0.0996501756219
ACH-000307,-0.517570564406
ACH-000308,-0.542631764508
ACH-000310,-0.657242665087
ACH-000311,-0.644822734924
ACH-000312,-0.257479521242
ACH-000315,-0.29351933070700004
ACH-000316,0.041736517124800004
ACH-000317,-0.406226830954
ACH-000318,-0.415010147148
ACH-000319,-0.540406487816
ACH-000320,-0.294550518853
ACH-000322,0.162852140822
ACH-000323,-0.26764568736600003
