,FRG2 (448831)
ACH-000004,-0.413579978276
ACH-000007,-0.536609526737
ACH-000009,-0.642081837377
ACH-000011,-0.481265046539
ACH-000012,-0.44486334445799997
ACH-000013,-0.34429285440499996
ACH-000014,-0.43184746945600005
ACH-000015,-0.714576143335
ACH-000017,-0.5687778569690001
ACH-000018,-0.34673024462499996
ACH-000019,-0.402738109089
ACH-000021,-0.45510243730800004
ACH-000022,-0.48013902404200004
ACH-000025,-0.583196781814
ACH-000028,-0.659062268566
ACH-000030,-0.5976311056629999
ACH-000035,-0.512888458114
ACH-000036,-0.630213686123
ACH-000037,-0.48748703019199996
ACH-000039,-0.63210435268
ACH-000040,-0.559914743732
ACH-000041,-0.59518105844
ACH-000042,-0.638019344985
ACH-000045,-0.6421807046019999
ACH-000047,-0.570665668846
ACH-000052,-0.596464443773
ACH-000053,-0.419671109911
ACH-000054,-0.6630898191619999
ACH-000055,-0.666080628618
ACH-000060,-0.646300146957
ACH-000067,-0.7052265999259999
ACH-000070,-0.5767238156660001
ACH-000075,-0.6151072145300001
ACH-000078,-0.797235610045
ACH-000082,-0.8580284508600001
ACH-000085,-0.720615373311
ACH-000086,-0.643804833579
ACH-000087,-0.739175131787
ACH-000092,-0.657040599378
ACH-000095,-0.49229164412199994
ACH-000097,-0.54180140508
ACH-000098,-0.48571106965599997
ACH-000099,-0.66952399016
ACH-000108,-0.6115154364500001
ACH-000113,-0.543178598543
ACH-000115,-0.500324286367
ACH-000116,-0.542946479219
ACH-000118,-0.491491262208
ACH-000120,-0.545373300309
ACH-000123,-0.7152765682359999
ACH-000127,-0.569648160217
ACH-000128,-0.430235321686
ACH-000132,-0.626647526538
ACH-000133,-0.561440252174
ACH-000137,-0.548561279098
ACH-000138,-0.521694271018
ACH-000142,-0.57784292979
ACH-000143,-0.6970691124959999
ACH-000146,-0.527886037303
ACH-000148,-0.5126152405009999
ACH-000150,-0.8037242902339999
ACH-000152,-0.599689065992
ACH-000153,-0.412308607133
ACH-000159,-0.454599009807
ACH-000160,-0.524754335701
ACH-000163,-0.564712625802
ACH-000167,-0.534815642238
