,GAPVD1 (26130)
ACH-000004,-0.221411646622
ACH-000007,0.12962978908199999
ACH-000009,-0.10530590009600001
ACH-000011,0.18908415807300002
ACH-000012,-0.022262578006
ACH-000013,-0.201696821956
ACH-000014,-0.122166100712
ACH-000015,-0.380873387682
ACH-000017,0.163255601597
ACH-000018,-0.310174935511
ACH-000019,0.0310380068068
ACH-000021,-0.244061705404
ACH-000022,-0.0035921512948400005
ACH-000025,0.0513066165312
ACH-000028,0.125221685927
ACH-000030,-0.0493041794974
ACH-000035,0.0410492235593
ACH-000036,-0.116893947659
ACH-000037,0.11087150730699999
ACH-000039,-0.275600485646
ACH-000040,-0.357754567358
ACH-000041,-0.326488985389
ACH-000042,-0.143740345617
ACH-000045,-0.39621912950599997
ACH-000047,-0.0614254826195
ACH-000052,-0.0030832793927800003
ACH-000053,-0.10799092470300001
ACH-000054,-0.0319686995518
ACH-000055,0.102957093393
ACH-000060,-0.110271260907
ACH-000067,-0.376666701412
ACH-000070,-0.229434275559
ACH-000075,-0.208678541964
ACH-000078,-0.12408464236899999
ACH-000082,-0.174877135412
ACH-000085,0.074100816303
ACH-000086,-0.166771761886
ACH-000087,-0.0219955105688
ACH-000092,-0.29622889581399997
ACH-000095,-0.0241542105004
ACH-000097,0.0938887456532
ACH-000098,-0.503824830696
ACH-000099,0.00203083505104
ACH-000108,-0.0570559212742
ACH-000113,-0.079963890723
ACH-000115,-0.031683560912700005
ACH-000116,-0.0254951262017
ACH-000118,0.0190396337348
ACH-000120,-0.276391886993
ACH-000123,-0.153369179068
ACH-000127,-0.193112705783
ACH-000128,0.0182256285712
ACH-000132,-0.09428785681560001
ACH-000133,-0.145085465748
ACH-000137,-0.325772132911
ACH-000138,-0.149614127564
ACH-000142,-0.0241139468806
ACH-000143,-0.18238415063400001
ACH-000146,-0.231545700914
ACH-000148,-0.334633414259
ACH-000150,-0.11871853817900001
ACH-000152,0.07475058235710001
ACH-000153,-0.262768638111
ACH-000159,-0.180711198133
ACH-000160,-0.35732993296
ACH-000163,-0.16074494012499999
ACH-000167,-0.479446422712
ACH-000168,-0.46320780891400004
ACH-000169,-0.00177580966311
