,COMTD1 (118881)
ACH-000004,0.0790467072751
ACH-000007,-0.0127963413882
ACH-000009,-0.0643328698249
ACH-000011,-0.298902816085
ACH-000012,-0.223828406245
ACH-000013,-0.0519482032783
ACH-000014,0.057812633561800005
ACH-000015,0.0181037369603
ACH-000017,-0.294146389728
ACH-000018,-0.1800006664
ACH-000019,0.0440992891788
ACH-000021,-0.145628934446
ACH-000022,-0.202447570579
ACH-000025,-0.41941689760799994
ACH-000028,-0.113585659957
ACH-000030,-0.43270350683200004
ACH-000035,-0.225093995491
ACH-000036,-0.192980628009
ACH-000037,-0.09677429690770001
ACH-000039,0.016827214924099998
ACH-000040,-0.11181813925999999
ACH-000041,-0.13484726575099998
ACH-000042,-0.0789278201605
ACH-000045,-0.0389211964118
ACH-000047,-0.0462599844823
ACH-000052,-0.136365704941
ACH-000053,0.0540344556224
ACH-000054,-0.0883986120768
ACH-000055,0.0401108201645
ACH-000060,-0.39019980899400003
ACH-000067,-0.125176678106
ACH-000070,0.0345505372744
ACH-000075,-0.285110159983
ACH-000078,-0.260592300955
ACH-000082,-0.12187722038799999
ACH-000085,-0.0871473000712
ACH-000086,-0.236823917287
ACH-000087,-0.06611223332230001
ACH-000092,-0.0909003634705
ACH-000095,-0.11688111823899999
ACH-000097,-0.167191125626
ACH-000098,-0.25635583177099996
ACH-000099,-0.168666469786
ACH-000108,0.020333744792099998
ACH-000113,-0.116517253563
ACH-000115,-0.102834055469
ACH-000116,-0.153950916274
ACH-000118,-0.157480138075
ACH-000120,-0.024817051840900002
ACH-000123,-0.13183832444399998
ACH-000127,-0.0641969653441
ACH-000128,-0.24487174944
ACH-000132,-0.183837563414
ACH-000133,-0.24016357048099998
ACH-000137,-0.07209492473960001
ACH-000138,-0.0880336298051
ACH-000142,-0.150371082111
ACH-000143,-0.24342958462699998
ACH-000146,-0.0824847910648
ACH-000148,-0.172499446919
ACH-000150,0.0432628341223
ACH-000152,-0.315998900062
ACH-000153,-0.034240406520700005
ACH-000159,-0.233582102417
ACH-000160,-0.249620510193
ACH-000163,-0.171457886074
ACH-000167,0.00657626292249
ACH-000168,-0.13239098962200002
ACH-000169,-0.227629162371
ACH-000178,-0.114236507886
ACH-000182,-0.129522221898
ACH-000183,-0.22357336599
ACH-000188,-0.0922196073813
ACH-000189,-0.250256527176
ACH-000190,-0.17404039727099999
ACH-000198,-0.119735833455
ACH-000204,-0.137714219789
ACH-000206,-0.012753049734399998
ACH-000207,-0.073498739514
ACH-000211,-0.23162869136999997
ACH-000215,-0.144957888347
ACH-000221,-0.165035096701
ACH-000222,0.04408002447980001
ACH-000223,-0.226146162029
ACH-000226,-0.287753132364
ACH-000227,-0.526037792959
ACH-000228,-0.163916467311
ACH-000231,-0.294912417158
ACH-000232,-0.227117039344
ACH-000233,-0.0597416022523
ACH-000234,-0.15367861844
ACH-000235,-0.127346417716
ACH-000237,-0.26894564966
ACH-000238,-0.227105934941
ACH-000243,-0.161798278545
ACH-000244,-0.298375871902
ACH-000246,-0.09519566235189998
ACH-000248,-0.440139099378
ACH-000250,-0.172211993891
ACH-000251,0.025538047509400003
ACH-000253,-0.0327066011256
ACH-000255,-0.11711724497199999
ACH-000256,-0.300141416234
ACH-000257,-0.37517355025700005
ACH-000258,-0.58845935423
ACH-000259,-0.18858075556099999
ACH-000260,-0.11575734402599999
ACH-000261,-0.0698352231067
ACH-000262,-0.307060742662
ACH-000263,-0.073405074162
ACH-000264,-0.0681377038808
ACH-000265,-0.0028260863405599997
ACH-000266,-0.0332924234755
ACH-000272,-0.108554005429
ACH-000273,-0.298163163216
ACH-000274,0.031811535732999996
ACH-000277,-0.129786826805
ACH-000278,0.0288888446807
ACH-000279,-0.0301843411107
ACH-000280,0.03678521526180001
ACH-000281,-0.154599916053
ACH-000288,-0.264915112395
ACH-000291,-0.126833361034
ACH-000293,-0.26644138761999997
ACH-000294,-0.13692224115999999
ACH-000295,-0.05636176624769999
ACH-000296,-0.203841485328
ACH-000302,-0.169845776045
ACH-000304,-0.106074796124
ACH-000307,-0.125901085364
ACH-000308,-0.185772147803
ACH-000310,-0.136255497324
ACH-000311,-0.020916894597200003
ACH-000312,-0.0961991970546
ACH-000315,-0.155551330372
ACH-000316,-0.304833302438
ACH-000317,0.0200629513123
ACH-000318,-0.07835162192039999
ACH-000319,-0.18978796229800002
ACH-000320,-0.06893951855439999
ACH-000322,-0.142371480332
ACH-000323,-0.452563005898
ACH-000324,-0.16109269606100002
ACH-000329,-0.14769342257
ACH-000330,-0.329310888964
ACH-000331,-0.266756334872
ACH-000332,-0.090689024852
ACH-000334,-0.394681919142
ACH-000335,-0.143284552798
ACH-000336,-0.137455914758
ACH-000337,-0.029768793594299996
ACH-000339,-0.243998093397
ACH-000341,-0.030587982691599996
ACH-000348,-0.14065787726099999
ACH-000350,-0.273321707944
ACH-000352,-0.165087417277
ACH-000356,-0.277707516584
ACH-000361,-0.363114662724
ACH-000362,0.00141043990792
ACH-000363,0.0319959326939
ACH-000364,-0.0970794744812
ACH-000365,-0.00647708461355
ACH-000366,-0.145724801568
ACH-000368,-0.183494207294
ACH-000374,-0.130481026128
ACH-000375,-0.171898274156
ACH-000376,-0.17613239753600002
ACH-000381,-0.276933538675
ACH-000383,-0.0661954022027
ACH-000387,-0.145109653935
ACH-000389,-0.239383366596
ACH-000390,-0.073210116951
ACH-000393,0.0592293415878
ACH-000395,-0.100740877133
ACH-000397,-0.222352572578
ACH-000401,-0.103778091246
ACH-000402,-0.22531688039500003
ACH-000403,-0.279042187233
ACH-000404,-0.293739665368
ACH-000406,-0.163938099387
ACH-000407,-0.32387720691300004
ACH-000408,-0.133613566893
ACH-000410,-0.296553994766
ACH-000411,-0.370063958331
ACH-000414,-0.159442397855
ACH-000415,-0.307576368148
ACH-000416,-0.148503934624
ACH-000420,-0.142151470528
ACH-000421,-0.136984226038
ACH-000424,0.049147262156300005
ACH-000425,-0.148204737464
ACH-000426,-0.12915256259000002
ACH-000427,-0.160866538039
ACH-000433,-0.184195905658
ACH-000436,-0.039516353700800005
ACH-000444,-0.24249475761599998
ACH-000445,-0.190041470858
ACH-000448,0.00896103159157
ACH-000450,-0.370204684168
ACH-000452,-0.308329374478
ACH-000454,-0.19530560423700002
ACH-000458,-0.18207035579999997
ACH-000459,-0.050529392155800004
ACH-000460,-0.139995881232
ACH-000461,0.05140360418880001
ACH-000463,-0.161764846546
ACH-000464,-0.165686371385
ACH-000466,-0.0985680480035
ACH-000467,-0.237568316485
ACH-000468,-0.243520425189
ACH-000469,-0.0322781391899
ACH-000470,-0.021877253385200003
ACH-000471,-0.111176220271
ACH-000472,-0.16322929792500002
ACH-000473,-0.0521777635534
ACH-000475,-0.101275126502
ACH-000476,-0.0469552738808
ACH-000477,-0.18723993940900002
ACH-000480,-0.309079860923
ACH-000481,-0.14199015908
ACH-000483,-0.102168447905
ACH-000484,0.0146901882321
ACH-000485,-0.140195058453
ACH-000486,-0.20552219078899997
ACH-000487,-0.06508533584540001
ACH-000488,-0.0048571138198
ACH-000490,-0.610503528589
ACH-000491,-0.255068910152
ACH-000495,-0.36610253402500004
ACH-000496,-0.141490576391
ACH-000499,-0.29036948185600003
ACH-000500,0.0172508313451
ACH-000502,-0.10380398043500001
ACH-000503,-0.277410324762
ACH-000505,-0.0226349777422
ACH-000507,-0.127275201156
ACH-000510,-0.21067766042999997
ACH-000511,-0.18795051712299998
ACH-000512,-0.063670284587
ACH-000516,-0.106845076468
ACH-000517,-0.133314100171
ACH-000518,-0.12424480469900001
ACH-000520,-0.20518526994800002
ACH-000521,0.0983826967426
ACH-000522,-0.0770570058668
ACH-000524,-0.222730861974
ACH-000527,-0.0759051065337
