,PPL (5493)
ACH-000004,-0.134101376039
ACH-000007,-0.299227138688
ACH-000009,0.0036432100760300005
ACH-000011,-0.042457608281300005
ACH-000012,-0.204983116585
ACH-000013,-0.19952132750799997
ACH-000014,-0.233038738224
ACH-000015,-0.375363866567
ACH-000017,-0.215146620379
ACH-000018,-0.386321568351
ACH-000019,0.237056350827
ACH-000021,-0.31521385099800003
ACH-000022,-0.20324024187399997
ACH-000025,-0.200943699826
ACH-000028,-0.16849405395599998
ACH-000030,0.034949668360800004
ACH-000035,-0.302073312931
ACH-000036,-0.0443429659007
ACH-000037,-0.0949564834818
ACH-000039,-0.420153108432
ACH-000040,-0.0727763504334
ACH-000041,-0.29359640017
ACH-000042,-0.127438007469
ACH-000045,-0.158383346611
ACH-000047,-0.525759146808
ACH-000052,-0.38292065552599996
ACH-000053,-0.20696235618500003
ACH-000054,-0.197267970258
ACH-000055,-0.102907516134
ACH-000060,-0.406888781985
ACH-000067,-0.23941435422200003
ACH-000070,-0.16811450991000002
ACH-000075,-0.187567826532
ACH-000078,-0.178507997568
ACH-000082,-0.266808348457
ACH-000085,0.150447527399
ACH-000086,-0.00695087658349
ACH-000087,-0.194484720559
ACH-000092,-0.150945471044
ACH-000095,-0.382662945065
ACH-000097,-0.26227738825999997
ACH-000098,-0.260120850975
ACH-000099,-0.217382989899
ACH-000108,-0.527131806587
ACH-000113,-0.26223049424600003
ACH-000115,-0.109541899544
ACH-000116,-0.28065494249699996
ACH-000118,-0.105963159922
ACH-000120,-0.10303862822200001
ACH-000123,-0.281673147009
ACH-000127,-0.240728499826
ACH-000128,-0.25581988428
ACH-000132,-0.18729615199900002
ACH-000133,-0.0893272000402
ACH-000137,-0.250614612866
ACH-000138,-0.09678132413999999
ACH-000142,-0.137842929379
ACH-000143,-0.314410558467
ACH-000146,-0.180637336295
ACH-000148,-0.24462722641999998
ACH-000150,-0.08364243881910001
ACH-000152,-0.178526725147
ACH-000153,-0.115981513555
ACH-000159,-0.0888360557859
ACH-000160,-0.150327490723
ACH-000163,-0.207488722652
ACH-000167,0.155936942645
ACH-000168,-0.392265200736
ACH-000169,-0.150116305511
ACH-000178,-0.07351427064089999
ACH-000182,-0.397210473551
ACH-000183,-0.215516148255
ACH-000188,-0.166224331946
ACH-000189,-0.27149256789799997
ACH-000190,-0.205818000331
ACH-000198,-0.13194644229699998
ACH-000204,-0.297197619253
ACH-000206,-0.028992528970400003
ACH-000207,-0.0725312194157
ACH-000211,-0.0368601260145
ACH-000215,-0.27886701711999995
ACH-000221,-0.256079557141
ACH-000222,-0.318077029171
ACH-000223,-0.050580182868499995
ACH-000226,-0.203595848766
ACH-000227,-0.0251477607545
ACH-000228,0.0690837584632
ACH-000231,-0.24856447561500003
ACH-000232,-0.154923398914
ACH-000233,-0.13363583913
ACH-000234,-0.144324216881
ACH-000235,-0.23990854472800002
ACH-000237,-0.169567281777
ACH-000238,-0.0250594296069
ACH-000243,-0.44843416907399997
ACH-000244,-0.0814381054633
ACH-000246,-0.317232172239
ACH-000248,-0.09066744508439999
ACH-000250,-0.10168461616499999
ACH-000251,-0.0505595650253
ACH-000253,-0.19614131708000002
ACH-000255,-0.22003826048300001
