,IL36B (27177)
ACH-000004,-0.20768612558
ACH-000007,-0.407703926586
ACH-000009,-0.10699477819
ACH-000011,-0.08802513170260001
ACH-000012,-0.196352454484
ACH-000013,-0.266822224481
ACH-000014,0.102879934718
ACH-000015,-0.0375309931286
ACH-000017,-0.102071749496
ACH-000018,-0.166251649242
ACH-000019,-0.194600650303
ACH-000021,0.0674388511482
ACH-000022,0.120076672321
ACH-000025,-0.162340546998
ACH-000028,-0.252881139691
ACH-000030,-0.0963858987393
ACH-000035,-0.20054855969000002
ACH-000036,-0.121656645292
ACH-000037,-0.43623518338699996
ACH-000039,0.14599978678300002
ACH-000040,-0.07291984343439999
ACH-000041,0.11746097604900001
ACH-000042,-0.112761345849
ACH-000045,0.011694973167999998
ACH-000047,-0.156626659002
ACH-000052,0.00313433958627
ACH-000053,-0.144006848944
ACH-000054,-0.199419851143
ACH-000055,-0.133636967709
ACH-000060,-0.08361467208710001
ACH-000067,-0.34020310053099995
ACH-000070,-0.110115813234
ACH-000075,-0.360509903155
ACH-000078,0.0129222205458
ACH-000082,-0.14864533791600001
ACH-000085,-0.203114122898
ACH-000086,-0.09871933699280001
ACH-000087,-0.0192863544545
ACH-000092,-0.209840190724
ACH-000095,-0.0877514015147
ACH-000097,-0.123801992513
ACH-000098,-0.192884087245
ACH-000099,-0.024620121502799998
ACH-000108,-0.013891516141
ACH-000113,-0.186161885394
ACH-000115,0.052543461482100005
ACH-000116,-0.214691223541
ACH-000118,-0.128258300553
ACH-000120,0.0797789165473
ACH-000123,-0.19845731212499998
ACH-000127,-0.14990332695
ACH-000128,-0.06791620054830001
ACH-000132,-0.211509312221
ACH-000133,-0.339914590879
ACH-000137,-0.00760365786114
ACH-000138,0.041714830154900004
ACH-000142,-0.352209114283
ACH-000143,-0.0856867607196
ACH-000146,-0.124410719582
ACH-000148,-0.138471027986
ACH-000150,-0.0707170739429
ACH-000152,-0.17870762369600002
ACH-000153,0.08969431235269999
ACH-000159,-0.169023371954
ACH-000160,-0.130232380008
ACH-000163,0.0012675697063900002
ACH-000167,-0.252939473496
ACH-000168,-0.182949062888
ACH-000169,-0.0358041074232
ACH-000178,-0.11119240040100001
ACH-000182,-0.0160165007021
ACH-000183,0.0575682910819
ACH-000188,-0.145850827692
ACH-000189,-0.357731163057
ACH-000190,-0.155978075594
ACH-000198,-0.168372499967
ACH-000204,-0.0135099441554
ACH-000206,-0.285155218961
ACH-000207,-0.010493664859299999
ACH-000211,-0.114448833115
ACH-000215,-0.156547602003
ACH-000221,-0.09695684656680001
ACH-000222,-0.302571100791
ACH-000223,-0.16623345512499998
ACH-000226,-0.208728400132
ACH-000227,-0.253608888785
ACH-000228,-0.273530284816
ACH-000231,-0.0766163261023
ACH-000232,-0.0245607641494
ACH-000233,-0.30484244595800003
ACH-000234,-0.0408796221749
ACH-000235,-0.0971635129405
ACH-000237,-0.0950427707321
ACH-000238,-0.30942129969099996
ACH-000243,-0.19095829266800002
ACH-000244,-0.241508165054
ACH-000246,-0.147052536027
ACH-000248,-0.26036615776099997
ACH-000250,-0.19790054050099998
ACH-000251,-0.16376569031899998
ACH-000253,-0.19035493614100002
ACH-000255,-0.31880214226
ACH-000256,0.0465352917895
ACH-000257,-0.262183174546
ACH-000258,-0.181567450281
ACH-000259,-0.00937426360857
ACH-000260,-0.019027435649099998
ACH-000261,-0.0589963144912
ACH-000262,-0.221631005495
ACH-000263,0.0246640279047
ACH-000264,-0.0686381530932
ACH-000265,0.0626013270877
ACH-000266,-0.0841896529803
ACH-000272,-0.12991792067
ACH-000273,-0.24336235539700002
ACH-000274,-0.22165792854000002
ACH-000277,-0.0181960597591
ACH-000278,-0.214144872449
ACH-000279,-0.040206133865499996
ACH-000280,-0.067016183116
ACH-000281,0.0298242855738
ACH-000288,-0.179520249639
ACH-000291,-0.20900296934700002
ACH-000293,-0.282091978662
ACH-000294,-0.000171586604722
ACH-000295,0.09572884417199999
ACH-000296,0.0644317535862
ACH-000302,-0.176382774569
ACH-000304,-0.0401875911929
ACH-000307,-0.219050676567
ACH-000308,-0.106617766513
ACH-000310,0.00783295528268
ACH-000311,-0.042000675161
ACH-000312,-0.0621032816679
ACH-000315,-0.029176701431999998
ACH-000316,-0.00909145925116
ACH-000317,0.019989406516900003
