,PMVK (10654)
ACH-000004,-0.852360981332
ACH-000007,-0.6332957499580001
ACH-000009,-0.597789010734
ACH-000011,-0.7912125852399999
ACH-000012,-0.623782243106
ACH-000013,-0.06339509193580001
ACH-000014,-1.23608060783
ACH-000015,-0.719575374025
ACH-000017,-0.305486496219
ACH-000018,-1.0049454497399999
ACH-000019,-0.6245484815119999
ACH-000021,-0.42883921957099996
ACH-000022,-0.300671011242
ACH-000025,-1.05692992911
ACH-000028,-0.45191207265
ACH-000030,-0.834899614031
ACH-000035,-0.825218372716
ACH-000036,-0.7327689615449999
ACH-000037,-0.44806513135
ACH-000039,-0.46704013036799996
ACH-000040,-0.557972278546
ACH-000041,-0.303810250156
ACH-000042,-0.542226095744
ACH-000045,-0.722543883449
ACH-000047,-0.621906034164
ACH-000052,-0.466597839961
ACH-000053,-0.12412082496099999
ACH-000054,-0.907024204314
ACH-000055,-0.17171615086
ACH-000060,-0.253574740001
ACH-000067,-0.24818881604200002
ACH-000070,-0.622113357035
ACH-000075,-0.436476957549
ACH-000078,-0.408883908861
ACH-000082,-0.135178134561
ACH-000085,-1.10258973368
ACH-000086,-0.7572217115100001
ACH-000087,-0.418127181507
ACH-000092,-0.710425795343
ACH-000095,0.016037631689500002
ACH-000097,-0.254744463901
ACH-000098,-0.100502876427
ACH-000099,-0.42685958589699996
ACH-000108,-0.359378412344
ACH-000113,-0.512809185509
ACH-000115,-1.03155594879
ACH-000116,0.000845360990017
ACH-000118,-0.715098949985
ACH-000120,-0.320090969548
ACH-000123,-0.690090199827
ACH-000127,-0.920161319823
ACH-000128,-0.16966672573600003
ACH-000132,-0.579398410542
ACH-000133,-0.7187730197750001
ACH-000137,-0.152930439305
ACH-000138,-0.8139068728569999
ACH-000142,-1.0
ACH-000143,-0.379439087653
ACH-000146,0.0830875941932
ACH-000148,-0.292559248764
ACH-000150,-0.313406619467
ACH-000152,-0.469366264145
ACH-000153,-0.651504827733
ACH-000159,-0.44605514961599996
ACH-000160,-0.217561389168
ACH-000163,-0.106708040748
ACH-000167,-0.5321835866
ACH-000168,-0.849420404498
ACH-000169,-0.7123517079709999
ACH-000178,-0.894941060731
ACH-000182,-0.515674111882
ACH-000183,-0.654570758037
ACH-000188,-0.781739382015
ACH-000189,-0.7020995351270001
ACH-000190,-0.616045534366
ACH-000198,-0.627924532735
ACH-000204,-0.5126892083569999
ACH-000206,-0.896003287631
ACH-000207,-0.391359545095
ACH-000211,-0.374264415374
ACH-000215,-0.00311299971715
ACH-000221,-0.0230860985739
ACH-000222,-0.9621451676870001
ACH-000223,-0.365421079877
ACH-000226,-0.46006492835600005
ACH-000227,-0.564601586402
ACH-000228,-0.205296166984
ACH-000231,-0.33503207869199997
ACH-000232,-0.226274243012
ACH-000233,-0.29755548162900003
ACH-000234,-0.7339850138070001
ACH-000235,-0.46717465219899995
ACH-000237,-0.349946996871
ACH-000238,-0.146754530302
ACH-000243,-1.0212067198299999
ACH-000244,-0.5020612062049999
ACH-000246,-0.638477219599
ACH-000248,-0.576047336204
ACH-000250,-0.7961162758
ACH-000251,-1.1791823308299998
ACH-000253,-0.603768642918
ACH-000255,-0.976868158389
