,IL12RB2 (3595)
ACH-000255,-0.352792949089
ACH-000256,-0.411891317561
ACH-000257,-0.47026976123400005
ACH-000258,-0.6011335278809999
ACH-000259,-0.577579771469
ACH-000260,-0.378923627915
ACH-000261,-0.37847554793399996
ACH-000262,-0.284284239411
ACH-000263,-0.256363589688
ACH-000264,-0.313924366239
ACH-000265,-0.443421481466
ACH-000266,-0.33728423906800004
ACH-000272,-0.406529062595
ACH-000273,-0.287930507178
ACH-000274,-0.51119494969
ACH-000277,-0.305067108176
ACH-000278,-0.461961780561
ACH-000279,-0.353964387738
ACH-000280,-0.37602969124799995
ACH-000281,-0.279385529274
ACH-000288,-0.320531682363
ACH-000291,-0.20568022164900002
ACH-000293,-0.47198623967200004
ACH-000294,-0.211430319253
ACH-000295,-0.292846022092
ACH-000296,-0.327912785863
ACH-000302,-0.21450492577
ACH-000304,-0.29714823728
ACH-000307,-0.353777805548
ACH-000308,-0.38991236895900006
ACH-000310,-0.6491133612569999
ACH-000311,-0.759926286385
ACH-000312,-0.587213045798
ACH-000315,-0.08539753341360001
ACH-000316,-0.35869784973800006
ACH-000317,-0.32320155833700004
ACH-000318,-0.394536414687
ACH-000319,-0.254423730358
ACH-000320,-0.799753772516
ACH-000322,-0.550446043294
ACH-000323,-0.44844214084399997
ACH-000324,-0.419930073431
ACH-000329,-0.449265896896
ACH-000330,-0.377442426522
ACH-000331,-0.5158476964100001
ACH-000332,-0.471674649202
ACH-000334,-0.550031847715
ACH-000335,-0.31375682692699997
ACH-000336,-0.45315647948700005
ACH-000337,-0.25099490210700004
ACH-000339,-0.318777117785
ACH-000341,-0.39257427189099997
ACH-000348,-0.215244541371
ACH-000350,-0.18268344545499998
ACH-000352,-0.279740761951
ACH-000356,-0.261739243635
ACH-000361,-0.1081746823
ACH-000362,-0.34448375875
ACH-000363,-0.230355089612
ACH-000364,-0.501761266787
ACH-000365,-0.33123736963399997
ACH-000366,-0.36699485724799996
ACH-000368,-0.585036847645
ACH-000374,-0.3765391158
ACH-000375,-0.46289022407200003
ACH-000376,-0.39720311831
ACH-000381,-0.258059572945
ACH-000383,-0.397009769087
ACH-000387,-0.232469436261
ACH-000389,-0.424309378736
ACH-000390,-0.265794471062
ACH-000393,-0.250256859362
ACH-000395,-0.303409145561
ACH-000397,-0.308107696192
ACH-000401,-0.356045146785
ACH-000402,-0.378468511595
ACH-000403,-0.46647697285499995
ACH-000404,-0.491686271371
ACH-000406,-0.327295499288
ACH-000407,-0.507457250068
ACH-000408,-0.279024060343
ACH-000410,-0.451373768257
ACH-000411,-0.43800334961599996
ACH-000414,-0.529214068451
ACH-000415,-0.302335942105
ACH-000416,-0.277995816741
ACH-000420,-0.0415916330266
ACH-000421,-0.254914539027
ACH-000424,-0.265591664473
ACH-000425,-0.422162352417
ACH-000426,-0.0853757834307
ACH-000427,-0.19644801450899999
ACH-000433,-0.371075826102
ACH-000436,-0.494735534024
ACH-000444,-0.37248024421099996
ACH-000445,-0.254499076054
ACH-000448,-0.44447893422300006
ACH-000450,-0.431235168445
ACH-000452,-0.190219133787
ACH-000454,-0.20872635556299998
ACH-000458,-0.503913831863
ACH-000459,-0.199256583419
ACH-000460,-0.483284415748
ACH-000461,-0.32490078203
ACH-000463,-0.443082504326
ACH-000464,-0.591006254336
ACH-000466,-0.16525799196799998
ACH-000467,-0.341232344878
ACH-000468,-0.267749634025
ACH-000469,-0.152079571417
ACH-000470,-0.0286121672728
ACH-000471,-0.268080950526
ACH-000472,-0.31674947648
ACH-000473,-0.359497291688
ACH-000475,-0.29378599629
ACH-000476,-0.2532225355
ACH-000477,-0.583100527553
ACH-000480,-0.350441819213
ACH-000481,-0.347719307631
ACH-000483,-0.32507675234
ACH-000484,-0.298473182317
ACH-000485,-0.49250319191799996
ACH-000486,-0.404358441467
ACH-000487,-0.418904956367
ACH-000488,-0.332438648552
ACH-000490,-0.446805143666
ACH-000491,-0.252868732905
ACH-000495,-0.273252395785
ACH-000496,-0.568111015604
ACH-000499,-0.386831425409
ACH-000500,-0.0298490826945
ACH-000502,-0.43177586749799995
ACH-000503,-0.25784308911
ACH-000505,-0.391385898375
ACH-000507,-0.259022866687
ACH-000510,-0.36476065943499997
ACH-000511,-0.484065834068
ACH-000512,-0.24110925246
ACH-000516,-0.22274489754299998
ACH-000517,-0.357911438168
ACH-000518,-0.361001315848
ACH-000520,-0.489843495568
ACH-000521,-0.573198866072
ACH-000522,-0.419687863712
ACH-000524,-0.498245166989
ACH-000527,-0.340369054229
ACH-000528,-0.33541308834
ACH-000537,-0.273141939871
ACH-000541,-0.590214971857
ACH-000542,-0.441449867293
ACH-000544,-0.390521093
ACH-000545,-0.29757876672899997
ACH-000547,-0.508336832949
ACH-000548,-0.358939496461
ACH-000549,-0.130631859238
ACH-000550,-0.288896501639
ACH-000552,-0.329220078226
ACH-000556,-0.330801092458
ACH-000557,-0.14814841039
ACH-000570,-0.38606780608900004
ACH-000571,-0.32236822741500004
ACH-000573,-0.36155711841
ACH-000576,-0.19237355110100002
ACH-000580,-0.280085189474
ACH-000584,-0.270502371309
ACH-000585,-0.513666167977
ACH-000588,-0.344417610853
ACH-000589,-0.412175345135
ACH-000591,-0.194496313407
ACH-000593,-0.29204141756499996
ACH-000600,-0.345143516803
ACH-000601,-0.4238962224
ACH-000604,-0.230759101575
ACH-000605,-0.42887854270000003
ACH-000606,-0.395694712431
ACH-000608,-0.46094716968599997
ACH-000614,-0.15081574711100001
ACH-000616,-0.281867166264
ACH-000618,-0.278394500378
ACH-000619,-0.353414659089
ACH-000620,-0.480771649365
ACH-000621,-0.466144846845
ACH-000622,-0.38797644429899997
ACH-000623,-0.280579785612
ACH-000624,-0.41986639566100004
ACH-000627,-0.424659027121
ACH-000630,-0.44198788891400004
ACH-000632,-0.39518730822400006
ACH-000633,-0.260737859787
ACH-000637,-0.313149446673
ACH-000638,-0.608219598234
ACH-000646,-0.194194797693
ACH-000647,-0.265614702194
ACH-000648,-0.578835230292
ACH-000649,-0.270776651349
ACH-000651,-0.3697955876
