,MANF (7873)
ACH-000004,-1.02449752447
ACH-000007,-0.759755821365
ACH-000009,-0.5651505452260001
ACH-000011,-0.298187543124
ACH-000012,-0.552708407614
ACH-000013,-0.696955726329
ACH-000014,-0.463332796172
ACH-000015,-0.671014610615
ACH-000017,-0.506209202872
ACH-000018,-0.556496134049
ACH-000019,-0.7608377966600001
ACH-000021,-0.534861877247
ACH-000022,-0.6425444001739999
ACH-000025,-0.808118487604
ACH-000028,-0.401137264218
ACH-000030,-0.481844447891
ACH-000035,-0.494224864503
ACH-000036,-0.46673266962800003
ACH-000037,-0.332094362737
ACH-000039,-0.417283020568
ACH-000040,-0.809403116895
ACH-000041,-0.483072723381
ACH-000042,-0.700004849103
ACH-000045,-0.160506057778
ACH-000047,-0.6254884053540001
ACH-000052,-0.310217690118
ACH-000053,-0.36885078534800003
ACH-000054,-0.38373957624300004
ACH-000055,-0.432759844454
ACH-000060,-0.533322275414
ACH-000067,-0.593988375547
ACH-000070,-0.841044836772
ACH-000075,-0.483822353032
ACH-000078,-0.34578944034000003
ACH-000082,-0.9374175766399999
ACH-000085,-0.47184968984700004
ACH-000086,-0.613293313311
ACH-000087,-0.646958885314
ACH-000092,-0.7283392662270001
ACH-000095,-0.7148621177689999
ACH-000097,-0.54832888125
ACH-000098,-0.7371684338779999
ACH-000099,-0.740236249866
ACH-000108,-0.440667879653
ACH-000113,-0.373367025835
ACH-000115,-0.36050782058499997
ACH-000116,-0.394517059726
ACH-000118,-0.637142778887
ACH-000120,-0.5900535892809999
ACH-000123,-0.840106782702
ACH-000127,-0.8217928157
ACH-000128,-0.615996501278
ACH-000132,-0.681987322451
ACH-000133,-0.622170339131
ACH-000137,-0.365217064462
ACH-000138,-0.373808378788
ACH-000142,-0.601608864911
ACH-000143,-0.7382842403190001
ACH-000146,-0.33481423784000003
ACH-000148,-0.575261705094
ACH-000150,-0.921187100132
ACH-000152,-0.605710706109
ACH-000153,-0.522929524988
ACH-000159,-0.45079161974299997
ACH-000160,-0.451371846946
ACH-000163,-1.2674857310799998
ACH-000167,-0.924234203378
ACH-000168,-0.33662314834
ACH-000169,-0.538933285215
ACH-000178,-0.35593341056199995
ACH-000182,-0.362914264792
ACH-000183,-0.5981568135409999
ACH-000188,-0.424620225624
ACH-000189,-0.804523661269
ACH-000190,-0.746842563465
ACH-000198,-0.621330024959
ACH-000204,-0.92661343396
ACH-000206,-0.284120972609
ACH-000207,-0.37543129998499997
ACH-000211,-0.666358980529
ACH-000215,-0.463765456112
ACH-000221,-0.7491323833079999
ACH-000222,-0.315987703751
ACH-000223,-0.515283206972
ACH-000226,-0.295958363693
ACH-000227,-0.9090840530159999
ACH-000228,-0.459871517588
ACH-000231,-0.5283033946060001
ACH-000232,-0.653177453125
ACH-000233,-0.44235900146000007
ACH-000234,-0.590783242592
ACH-000235,-0.566582103156
ACH-000237,-0.641308639563
ACH-000238,-0.982894897684
ACH-000243,-0.43761357512599997
ACH-000244,-0.671444960325
ACH-000246,-0.417674442398
ACH-000248,-0.401710480636
ACH-000250,-0.539326606604
ACH-000251,-0.42119049704000006
ACH-000253,-0.599237511916
ACH-000255,-0.58818175666
ACH-000256,-0.7027423250049999
ACH-000257,0.0188894067622
ACH-000258,-0.480992025137
ACH-000259,-0.550079943942
ACH-000260,-0.573221984462
ACH-000261,-0.46481640600699997
ACH-000262,-0.640882817882
ACH-000263,-0.74186378669
ACH-000264,-0.63859434007
ACH-000265,-0.575770071471
ACH-000266,-0.568207676577
ACH-000272,-0.724433838283
ACH-000273,-0.495383829775
ACH-000274,-0.6940827166949999
ACH-000277,-0.613253067364
ACH-000278,-0.892886375506
ACH-000279,-0.572290049332
ACH-000280,-0.400053327082
ACH-000281,-0.47043554988200004
ACH-000288,-0.560726261772
ACH-000291,-0.659897369793
ACH-000293,-0.7080783652570001
ACH-000294,-0.408729433987
ACH-000295,-0.69048895056
ACH-000296,-0.730929229357
ACH-000302,-0.617284608177
ACH-000304,-1.06341504221
ACH-000307,-0.482513874151
ACH-000308,-0.574564249126
ACH-000310,-0.693467711424
ACH-000311,-0.584575105666
ACH-000312,-0.261439145491
ACH-000315,0.0164847823901
ACH-000316,-0.474959746773
ACH-000317,-0.38606710458800003
ACH-000318,-0.626452795315
ACH-000319,-0.579004144033
ACH-000320,-0.314119523997
ACH-000322,-0.308068392002
ACH-000323,-0.755141536421
ACH-000324,-0.629966333459
ACH-000329,-0.7356777228470001
ACH-000330,-0.48074270814
ACH-000331,-0.994845898363
ACH-000332,-0.585777233226
ACH-000334,-0.72245734042
ACH-000335,-0.509837104019
ACH-000336,-0.670300935454
ACH-000337,-0.5028923447689999
ACH-000339,-0.7823219213320001
ACH-000341,-0.734391589944
ACH-000348,-0.572472782588
ACH-000350,-0.467608954736
ACH-000352,-0.5339099694030001
ACH-000356,-0.8499352568780001
ACH-000361,-0.597069906916
ACH-000362,-0.389961326549
ACH-000363,-1.2166727992
ACH-000364,-0.46380893908799997
ACH-000365,-0.5479335817140001
ACH-000366,-0.688330343485
ACH-000368,-0.575448645473
ACH-000374,-0.696944838015
ACH-000375,-0.39004604960999995
ACH-000376,-0.537592966012
ACH-000381,-0.50168919687
ACH-000383,-0.568505969917
ACH-000387,-0.615948110824
ACH-000389,-0.275525837708
ACH-000390,-0.5225682416480001
ACH-000393,-0.802193551667
ACH-000395,-0.559043093417
ACH-000397,-0.581001585444
ACH-000401,-0.367378974154
ACH-000402,-0.578151341099
ACH-000403,-0.590027266223
ACH-000404,-0.44052742620700003
ACH-000406,-0.635064321724
ACH-000407,-0.582068568559
ACH-000408,-0.312545544803
ACH-000410,-0.881227241294
ACH-000411,-0.584250676788
ACH-000414,-0.798523973366
ACH-000415,-0.697276709787
ACH-000416,-0.441248149963
ACH-000420,-0.39108824803000003
ACH-000421,-0.410597647035
ACH-000424,-0.5048916791579999
ACH-000425,-0.379335382565
ACH-000426,-2.10369979407
ACH-000427,-0.118534676627
ACH-000433,-0.434025011677
ACH-000436,-1.5593690428100002
ACH-000444,-0.403145615313
ACH-000445,-0.527982192961
ACH-000448,-0.481516851107
ACH-000450,-0.330824261963
ACH-000452,-0.42753298718099997
ACH-000454,-0.643458738119
ACH-000458,-0.354713786287
ACH-000459,-0.738341653691
ACH-000460,-0.42030716945
ACH-000461,-0.358734470368
ACH-000463,-0.40298347411700003
ACH-000464,-0.8198087922310001
ACH-000466,-0.864968186948
ACH-000467,-0.901182230968
ACH-000468,-0.62015364768
ACH-000469,-0.42789552764300004
ACH-000470,-0.472526399788
ACH-000471,-0.5122080528
ACH-000472,-0.7134819950040001
ACH-000473,-0.246906993999
ACH-000475,-0.6579998007410001
ACH-000476,-0.229052092198
ACH-000477,-0.62130042365
ACH-000480,-0.586302546402
ACH-000481,-0.60784491063
ACH-000483,-0.551949709765
ACH-000484,-0.6080506864249999
ACH-000485,-0.417364099476
ACH-000486,-0.727801536636
ACH-000487,-0.7213969012739999
ACH-000488,-0.480044716779
ACH-000490,-0.477613085286
ACH-000491,-0.6544862609009999
ACH-000495,-0.417140371038
ACH-000496,-0.512055786723
ACH-000499,-0.506923333854
ACH-000500,-0.156471596724
ACH-000502,-0.482477930622
ACH-000503,-0.152450375165
ACH-000505,-0.499986382891
ACH-000507,-0.41847764890699995
ACH-000510,-0.583597666137
ACH-000511,-0.650846537913
ACH-000512,-0.993902813367
ACH-000516,-0.626907684598
ACH-000517,-0.609844367342
ACH-000518,-0.28789004257
ACH-000520,-0.504611648342
ACH-000521,-0.7591571950139999
ACH-000522,-0.363732709348
ACH-000524,-0.473070341278
ACH-000527,-0.547062243978
ACH-000528,-0.55141804604
ACH-000537,-0.5522422988319999
ACH-000541,-1.04076617582
ACH-000542,-0.5239326176879999
ACH-000544,-0.557314560965
ACH-000545,-0.32676114772500003
ACH-000547,-0.7079900406540001
ACH-000548,-0.589126717339
ACH-000549,-0.41952302130999997
ACH-000550,-0.700497160734
ACH-000552,-0.7528398852179999
ACH-000556,-0.5121697342379999
ACH-000557,-0.506670897691
ACH-000570,-0.624491903745
ACH-000571,-0.571581308225
ACH-000573,-0.533804133263
ACH-000576,-0.99819388984
ACH-000580,-0.308633779895
ACH-000584,-0.400791142383
ACH-000585,-0.287402319107
ACH-000588,-1.1092436357200002
ACH-000589,-0.538896225795
ACH-000591,-0.649290661262
ACH-000593,-0.713600756974
ACH-000600,-0.81098622015
ACH-000601,-0.556160685194
ACH-000604,-0.7922235226890001
ACH-000605,-0.520565028372
ACH-000606,-0.501050818782
ACH-000608,-0.7730674065979999
ACH-000614,-0.580905513207
ACH-000616,-0.43154296675
ACH-000618,-0.405469088415
ACH-000619,-0.438460901858
ACH-000620,-0.61345286408
ACH-000621,-0.552606639658
ACH-000622,-0.593011646827
ACH-000623,-0.386424772429
ACH-000624,-0.46520958938100004
ACH-000627,-0.5209765394120001
ACH-000630,-0.514092953986
ACH-000632,-0.553885910357
ACH-000633,-0.6990783881329999
ACH-000637,-0.528947549456
ACH-000638,-0.565692777685
ACH-000646,-0.697099098605
ACH-000647,-0.49194754436300003
ACH-000648,-0.427806764718
ACH-000649,-0.663121477511
ACH-000651,-0.343154383112
ACH-000652,-0.46759895184600003
ACH-000653,-0.33569396430200005
ACH-000657,-0.546240666409
ACH-000658,-1.47003369694
ACH-000661,-0.6901867947939999
ACH-000662,-0.45222684378
ACH-000663,-0.491625467819
ACH-000665,-0.59215331482
ACH-000671,-0.739300439817
ACH-000673,-0.632773377549
ACH-000676,-0.480925620832
ACH-000677,-0.460543200485
ACH-000681,-0.331860965839
ACH-000682,-0.392098460317
ACH-000683,-0.6882767020199999
ACH-000684,-0.252577040424
ACH-000688,-0.534602074418
ACH-000693,-0.304335988317
ACH-000694,-0.468622487929
ACH-000695,-0.5282916986739999
ACH-000696,-0.4945142067
ACH-000697,-0.474817021857
ACH-000699,-0.9024270497820001
ACH-000701,-0.48067960459700004
ACH-000706,-0.700155609296
ACH-000711,-0.632643578926
ACH-000713,-0.531770495898
ACH-000714,-0.486637477686
ACH-000718,-0.6024907654280001
ACH-000720,-0.54431652681
ACH-000721,-0.590412149137
ACH-000724,-0.550080010692
ACH-000725,-0.44377123181199996
ACH-000732,-0.356986828075
ACH-000734,-0.406543905515
ACH-000735,-0.573955348429
ACH-000736,-0.614481543859
ACH-000738,-0.5433673679819999
ACH-000746,-0.425837835589
ACH-000747,-0.358233742334
ACH-000748,-0.538804188324
ACH-000753,-0.532309160298
ACH-000756,-0.524525783378
ACH-000757,-0.472003395549
ACH-000758,-0.473534547422
ACH-000760,-0.5100695111069999
ACH-000763,-1.15394451989
ACH-000764,-0.9372196773129999
ACH-000765,-0.657093117585
ACH-000766,-0.506974884253
ACH-000767,-0.8449023420280001
ACH-000768,-0.587004664293
ACH-000769,-0.862793110649
ACH-000770,-0.708780281955
