,MYO18A (399687)
ACH-000004,-0.415636812086
ACH-000007,-0.43427366336199996
ACH-000009,-0.675557586005
ACH-000011,-0.26338930402800004
ACH-000012,-0.414778131048
ACH-000013,-0.463106041387
ACH-000014,-0.333103484139
ACH-000015,-0.273728264555
ACH-000017,-0.7247549202529999
ACH-000018,-0.43599614668000003
ACH-000019,-0.7824604331649999
ACH-000021,-0.26943874078
ACH-000022,-0.6222810313480001
ACH-000025,-0.265334667322
ACH-000028,-0.221355276314
ACH-000030,-0.40907711467200003
ACH-000035,-0.7612184148829999
ACH-000036,-0.472752407152
ACH-000037,-0.16140041750999998
ACH-000039,-0.276393047138
ACH-000040,-0.389022425102
ACH-000041,-0.6208153257
ACH-000042,-0.0741603778492
ACH-000045,-0.439183050996
ACH-000047,-0.37155211141000005
ACH-000052,-0.6708769047609999
ACH-000053,-0.331301431563
ACH-000054,-0.31827870369399996
ACH-000055,-0.22495817516999997
ACH-000060,-0.357822137558
ACH-000067,-0.397835669301
ACH-000070,-0.335576500721
ACH-000075,-0.543213473361
ACH-000078,-0.515856148672
ACH-000082,-0.384339995511
ACH-000085,-0.15632875550699998
ACH-000086,-0.474043099642
ACH-000087,-0.149883713697
ACH-000092,-0.155329754408
ACH-000095,-0.667592075489
ACH-000097,-0.462282038412
ACH-000098,-0.367436404042
ACH-000099,-0.33291549682599997
ACH-000108,-0.022257280267400002
ACH-000113,-0.35387051585999996
ACH-000115,-0.634195483082
ACH-000116,-0.35580527476499996
ACH-000118,-0.275099318632
ACH-000120,-0.282382560194
ACH-000123,-0.47672651370200003
ACH-000127,-0.38436712149
ACH-000128,-0.483006698068
ACH-000132,-0.0556834068386
ACH-000133,-0.38068882295999995
ACH-000137,-0.284131067315
ACH-000138,-0.44503072987
ACH-000142,-0.64419497544
ACH-000143,-0.34787451258100005
ACH-000146,-0.302388478631
ACH-000148,-0.315415100198
ACH-000150,-0.0666184622076
ACH-000152,-0.5103457830039999
ACH-000153,-0.644154776412
ACH-000159,-0.4289128592
ACH-000160,-0.391661624652
ACH-000163,-0.11425023925000001
ACH-000167,-0.589241107216
ACH-000168,-0.560400586734
ACH-000169,-0.493029316118
ACH-000178,-0.440521421884
ACH-000182,-0.411523644041
ACH-000183,-0.501387577193
ACH-000188,-0.563044868617
ACH-000189,-0.643317984264
ACH-000190,-0.5943754644420001
ACH-000198,-0.45055876153499996
ACH-000204,-0.446203968656
ACH-000206,-0.294778872866
ACH-000207,-0.185841727628
ACH-000211,-0.357212723781
ACH-000215,-0.334025809551
ACH-000221,-0.416529377108
ACH-000222,-0.318966791869
ACH-000223,-0.305918021798
ACH-000226,-0.295174993052
ACH-000227,-0.207222497
ACH-000228,-0.542851319317
ACH-000231,-0.416921469287
ACH-000232,-0.347982449701
ACH-000233,-0.37751334529200004
ACH-000234,-0.524377212329
ACH-000235,-0.356802775576
ACH-000237,-0.234714202528
ACH-000238,-0.280804428641
ACH-000243,-0.540606756712
ACH-000244,-0.45541042272699994
ACH-000246,-0.315166903155
ACH-000248,-0.468153889374
ACH-000250,-0.44830170810900005
ACH-000251,-0.45068696941200004
ACH-000253,-0.14200600594499999
ACH-000255,-0.45182921783999996
ACH-000256,-0.522927282435
ACH-000257,-0.278720378314
ACH-000258,-0.111774340492
ACH-000259,-0.32947153223700004
ACH-000260,-0.351147160069
ACH-000261,-0.334965154987
ACH-000262,-0.470212136517
ACH-000263,-0.34867290529600004
ACH-000264,-0.36000438221000003
ACH-000265,-0.446961106167
ACH-000266,-0.21207607267700002
ACH-000272,-0.392413270578
ACH-000273,-0.480758936341
ACH-000274,-0.26164381149
ACH-000277,-0.45900399944200004
ACH-000278,-0.33700022733999996
ACH-000279,-0.41097061799
ACH-000280,-0.321409155878
ACH-000281,-0.296415656325
ACH-000288,-0.528945090801
ACH-000291,-0.317944030996
ACH-000293,-0.39629668332699997
ACH-000294,-0.502305583691
ACH-000295,-0.679366743576
ACH-000296,-0.538103265552
ACH-000302,-0.38042887552599997
ACH-000304,-0.195639048389
ACH-000307,-0.47046296976400004
ACH-000308,-0.315680685075
ACH-000310,-0.43733969757700003
ACH-000311,-0.337919263376
ACH-000312,-0.45963175082099994
ACH-000315,-0.712517219558
ACH-000316,-0.45262439963999995
ACH-000317,-0.804489772336
ACH-000318,-0.33585590497699996
ACH-000319,-0.509174263348
ACH-000320,-0.129996154459
ACH-000322,-0.219282853397
ACH-000323,-0.40793219691699995
ACH-000324,-0.437277060629
ACH-000329,-0.313026969758
ACH-000330,-0.552085213172
ACH-000331,-0.220403832898
ACH-000332,-0.359571583582
ACH-000334,-0.846733381504
ACH-000335,-0.199175344575
ACH-000336,-0.38697879382399997
ACH-000337,-0.28441623449000003
ACH-000339,-0.21265691578499998
ACH-000341,-0.6341010951730001
ACH-000348,-0.290106156454
ACH-000350,-0.163759096365
ACH-000352,-0.328182825384
ACH-000356,-0.38055897725599996
ACH-000361,-0.277120971771
ACH-000362,-0.322778669201
ACH-000363,-0.550397291313
ACH-000364,-0.362885569173
ACH-000365,-0.4535530252
ACH-000366,-0.34924247313
ACH-000368,-0.021426794347799996
ACH-000374,-0.574819698231
ACH-000375,-0.367436064672
ACH-000376,-0.2210822588
ACH-000381,-0.278262352914
ACH-000383,-0.435017651168
ACH-000387,-0.542978594684
ACH-000389,-0.221046091888
ACH-000390,-0.595167574074
ACH-000393,-0.39686677815800003
ACH-000395,-0.34561837277400004
ACH-000397,-0.35984400373000003
ACH-000401,-0.323431334017
ACH-000402,-0.605514964049
ACH-000403,-0.46777928445600003
ACH-000404,-0.455424535915
ACH-000406,-0.39868965456100003
ACH-000407,-0.24154980458900002
ACH-000408,-0.822745889302
ACH-000410,-0.32134422416499997
ACH-000411,-0.40109764943899995
ACH-000414,-0.460747383093
ACH-000415,-0.9762973858640001
ACH-000416,-0.43838042860200005
ACH-000420,-0.18677702284699998
ACH-000421,-0.454801492441
ACH-000424,-0.60069575828
ACH-000425,-0.299604891073
ACH-000426,-0.294899564319
ACH-000427,-0.506314994337
ACH-000433,-0.260169626906
ACH-000436,-0.115663544506
ACH-000444,-0.35801370588200004
ACH-000445,-0.243580724537
ACH-000448,-0.441262113872
ACH-000450,-0.20425652290100002
ACH-000452,-0.43473560359200003
ACH-000454,-0.50900964706
ACH-000458,-0.456734831404
ACH-000459,-0.53284004394
ACH-000460,-0.326147007889
ACH-000461,-0.43864527768
ACH-000463,-0.41407396152599996
ACH-000464,-0.0113781910547
ACH-000466,-0.656404468985
ACH-000467,-0.200983105054
ACH-000468,-0.507440021004
ACH-000469,-0.34403520443499996
ACH-000470,-0.304029104888
ACH-000471,-0.44459299579499995
ACH-000472,-0.488450855796
ACH-000473,-0.300654617066
ACH-000475,-0.43018940945100004
ACH-000476,-0.342306717066
ACH-000477,-0.244882183277
ACH-000480,-0.325954099059
ACH-000481,-0.335327250757
ACH-000483,-0.641248634256
ACH-000484,-0.34166193954499996
ACH-000485,-0.28279773621
ACH-000486,-0.48120447922700005
ACH-000487,-0.39734511829700003
ACH-000488,-0.425334246769
ACH-000490,-0.509042713711
ACH-000491,-0.517669537842
ACH-000495,-0.486741165817
ACH-000496,-0.189132905604
ACH-000499,-0.383439051743
ACH-000500,-0.311768949108
ACH-000502,-0.35365964314000004
ACH-000503,-0.187479430946
ACH-000505,-0.370359651112
ACH-000507,-0.37967885816799996
ACH-000510,-0.399703356364
ACH-000511,-0.5067006779959999
ACH-000512,-0.43998248112899996
ACH-000516,-0.447568733913
ACH-000517,-0.277690380734
ACH-000518,-0.35712102034599996
ACH-000520,-0.507851653429
ACH-000521,-0.30770822693000005
ACH-000522,-0.28824236808000003
ACH-000524,-0.414954639931
ACH-000527,-0.34031676527500004
ACH-000528,-0.24869964459199997
ACH-000537,-0.430791543901
ACH-000541,-0.0181091431579
ACH-000542,-0.49869521255099997
ACH-000544,-0.319664932097
ACH-000545,-0.294745233776
ACH-000547,-0.24408403488699998
ACH-000548,-0.464650933301
ACH-000549,-0.223992261869
ACH-000550,-0.228231432686
ACH-000552,-0.34831756764300004
ACH-000556,-0.550027712392
ACH-000557,-0.475555208499
ACH-000570,-0.49080329312700005
ACH-000571,-0.279190266706
ACH-000573,-0.312541115715
ACH-000576,-0.47052962951300004
ACH-000580,-0.537420405652
ACH-000584,-0.329918000728
ACH-000585,-0.293482686153
ACH-000588,-0.248426105518
ACH-000589,-0.317654498138
ACH-000591,-0.0467109652001
ACH-000593,-0.420369369262
ACH-000600,-0.521933787326
ACH-000601,-0.325661260373
ACH-000604,-0.270579672207
ACH-000605,-0.35488240939599996
ACH-000606,-0.37277190683300004
ACH-000608,-0.337467884632
ACH-000614,-0.264361079185
ACH-000616,-0.326574696246
ACH-000618,-0.456210936996
ACH-000619,-0.553306362536
ACH-000620,-0.299133418489
ACH-000621,-0.33112881424
ACH-000622,-0.293097448717
ACH-000623,-0.461057427487
ACH-000624,-0.278191178729
ACH-000627,-0.287082700501
ACH-000630,-0.338817842729
ACH-000632,-0.396904155549
ACH-000633,-0.202497965132
ACH-000637,-0.330521841506
ACH-000638,-0.210435184797
ACH-000646,-0.18604473772900001
ACH-000647,-0.428073898779
ACH-000648,-0.451249774901
ACH-000649,-0.294160193026
ACH-000651,-0.44976458560000004
ACH-000652,-0.309096266607
ACH-000653,-0.509634104605
ACH-000657,-0.329899006754
ACH-000658,-0.436802460098
ACH-000661,-0.318601142096
ACH-000662,-0.444671502095
ACH-000663,-0.599750707114
ACH-000665,-0.295194526699
ACH-000671,-0.35622228187700006
ACH-000673,-0.43591575533999993
ACH-000676,-0.392244913232
ACH-000677,-0.23379617575699999
ACH-000681,-0.440224910856
ACH-000682,-0.549996467905
ACH-000683,-0.2900613098
ACH-000684,-0.413786145182
ACH-000688,-0.20958462355799998
ACH-000693,-0.458308521462
ACH-000694,-0.268645213401
ACH-000695,-0.492305794773
ACH-000696,-0.514172270499
ACH-000697,-0.0935954522614
ACH-000699,-0.34529834244999996
ACH-000701,-0.191480854703
ACH-000706,-0.367407908494
ACH-000711,-0.54524728517
ACH-000713,-0.570955463794
ACH-000714,-0.417373249368
ACH-000718,-0.325460248734
ACH-000720,-0.386659932709
ACH-000721,-0.492465429972
ACH-000724,-0.323246322945
ACH-000725,-0.725339051338
ACH-000732,-0.336835638005
ACH-000734,-0.180394387505
ACH-000735,-0.40436994538500004
ACH-000736,-0.293947145169
ACH-000738,-0.230168668173
ACH-000746,-0.49525620694399997
ACH-000747,-0.5102029242530001
ACH-000748,-0.31052126933400004
ACH-000753,-0.288671191905
ACH-000756,-0.13205206100199998
ACH-000757,-0.433462618064
ACH-000758,-0.519047640389
ACH-000760,-0.262572904695
ACH-000763,-0.398693291474
ACH-000764,-0.37857075193800005
ACH-000765,-0.277462462134
ACH-000766,-0.547481703831
ACH-000767,-0.700666398594
ACH-000768,-0.393824670413
ACH-000769,-0.562030137132
ACH-000770,-0.348188962105
ACH-000771,-0.34199907464900003
ACH-000773,-0.460956127009
ACH-000776,-0.584672891069
ACH-000777,-0.140967130544
ACH-000778,-0.6897881140100001
ACH-000781,-0.278762493487
ACH-000782,-0.37654676054499997
ACH-000783,-0.36159882022100004
ACH-000784,-0.671902287487
ACH-000785,-0.375028306475
ACH-000787,-0.5219330360600001
ACH-000788,-0.336012927839
ACH-000791,-0.5855115721280001
ACH-000792,-0.351710162724
ACH-000794,-0.5455718748480001
ACH-000796,-0.379484681458
ACH-000799,-0.37043540444399997
ACH-000800,-0.528832006126
ACH-000802,-0.400971781453
ACH-000804,-0.253275116975
