,OR4S1 (256148)
ACH-000004,-0.11568118969499999
ACH-000007,-0.042331425125900005
ACH-000009,-0.20775143742600002
ACH-000011,-0.164935837141
ACH-000012,-0.36238658784100003
ACH-000013,-0.203928281868
ACH-000014,-0.226510077821
ACH-000015,-0.270879227105
ACH-000017,-0.10429344341499999
ACH-000018,-0.212202362335
ACH-000019,-0.696756815233
ACH-000021,-0.371420292897
ACH-000022,-0.375353660596
ACH-000025,-0.511304383768
ACH-000028,-0.220132060316
ACH-000030,-0.37440713312299995
ACH-000035,-0.291917066016
ACH-000036,-0.18677922443300002
ACH-000037,-0.226847449221
ACH-000039,-0.12847025883899998
ACH-000040,-0.284866948818
ACH-000041,-0.27723898613000003
ACH-000042,-0.26078764295400003
ACH-000045,-0.243899324249
ACH-000047,-0.259595770929
ACH-000052,-0.395325862258
ACH-000053,-0.161853103059
ACH-000054,-0.192727511837
ACH-000055,-0.0761654022423
ACH-000060,-0.495578763776
ACH-000067,-0.38705009698299997
ACH-000070,-0.127944359197
ACH-000075,-0.44910329707900004
ACH-000078,-0.253812150217
ACH-000082,-0.24640386440900003
ACH-000085,-0.202735311899
ACH-000086,-0.36363720081600004
ACH-000087,0.148728934739
ACH-000092,-0.221473579511
ACH-000095,-0.300546328413
ACH-000097,-0.240655029673
ACH-000098,-0.260932822149
ACH-000099,-0.16281576554000002
ACH-000108,0.07606784730930001
ACH-000113,-0.44848247826399995
ACH-000115,-0.249906338438
ACH-000116,-0.16505969079500002
ACH-000118,-0.287599100652
ACH-000120,-0.224388389101
ACH-000123,-0.252890915188
ACH-000127,-0.21546595075199998
ACH-000128,-0.24466787140500001
ACH-000132,-0.283858190337
ACH-000133,-0.33149936107
ACH-000137,-0.154108995149
ACH-000138,-0.180660794864
ACH-000142,-0.417675669955
ACH-000143,-0.147029395823
ACH-000146,-0.139383922825
ACH-000148,-0.308669340577
ACH-000150,-0.28237402236299997
ACH-000152,-0.185693168596
ACH-000153,0.293175726497
ACH-000159,-0.337972650053
ACH-000160,-0.0875017512673
ACH-000163,-0.03728104375730001
ACH-000167,-0.111733517696
ACH-000168,-0.5431273996679999
ACH-000169,-0.0652430446482
ACH-000178,-0.184399035647
ACH-000182,-0.149416333241
ACH-000183,-0.433994332398
ACH-000188,-0.5019506330960001
ACH-000189,-0.273711143703
ACH-000190,-0.593635204217
ACH-000198,-0.275592737323
ACH-000204,-0.513810011467
ACH-000206,-0.144271499251
ACH-000207,-0.475966881588
ACH-000211,-0.121851269144
ACH-000215,-0.304909330293
ACH-000221,-0.365892150432
ACH-000222,-0.480229030862
ACH-000223,-0.36238841403399996
ACH-000226,-0.341758570374
ACH-000227,-0.567717105876
ACH-000228,0.13088564549
ACH-000231,-0.15887188544199998
ACH-000232,-0.4570398671
ACH-000233,-0.34273440346100004
ACH-000234,-0.271447993746
ACH-000235,-0.377544333592
ACH-000237,-0.253465841887
ACH-000238,-0.152354906336
ACH-000243,-0.276605978773
ACH-000244,-0.0013565072842200003
ACH-000246,-0.23183571943000003
ACH-000248,-0.09481659182160002
ACH-000250,-0.21909236873399998
ACH-000251,-0.336902464349
ACH-000253,-0.155614462428
ACH-000255,-0.21456951923300002
ACH-000256,-0.197898845777
ACH-000257,-0.212384480735
ACH-000258,-0.305178674492
ACH-000259,-0.21179373592599998
ACH-000260,-0.258353443852
ACH-000261,-0.36336431100199995
ACH-000262,-0.13530302212200002
ACH-000263,-0.351781049156
ACH-000264,-0.0562160046944
ACH-000265,-0.34069108307400003
ACH-000266,-0.150227770771
ACH-000272,-0.419632506801
ACH-000273,-0.243284699105
ACH-000274,-0.162908924572
ACH-000277,-0.385966094641
ACH-000278,-0.408480471765
ACH-000279,0.0264108719882
ACH-000280,0.0324530061086
ACH-000281,0.0790379427956
ACH-000288,-0.359707261851
ACH-000291,-0.07702453591149999
ACH-000293,-0.284667924309
ACH-000294,-0.140105262905
ACH-000295,-0.0863108261043
ACH-000296,-0.20400974380999998
ACH-000302,-0.212297946219
ACH-000304,-0.289090543912
ACH-000307,-0.41534400505900004
ACH-000308,-0.304156250518
ACH-000310,-0.467474499486
ACH-000311,-0.252122607383
ACH-000312,-0.048621949633599996
ACH-000315,-0.149921628888
ACH-000316,-0.101296572088
ACH-000317,-0.213378306169
ACH-000318,-0.302311372503
ACH-000319,-0.729189798922
ACH-000320,-0.106298880973
ACH-000322,-0.276427560588
ACH-000323,-0.34704731173799996
ACH-000324,-0.248059097353
ACH-000329,-0.463528370681
ACH-000330,-0.405533824075
ACH-000331,-0.31931515423900003
ACH-000332,-0.18509401575800002
ACH-000334,-0.30547583689
ACH-000335,0.49589686622199997
ACH-000336,-0.126164316582
