,SNED1 (25992)
ACH-000004,-0.420709146422
ACH-000007,-0.0042947867491
ACH-000009,-0.159765488462
ACH-000011,-0.228531160764
ACH-000012,0.015216069038
ACH-000013,-0.23644219729200003
ACH-000014,-0.15461258368300002
ACH-000015,-0.220222628692
ACH-000017,-0.102528189371
ACH-000018,-0.138028585249
ACH-000019,-0.251966725832
ACH-000021,-0.233808723574
ACH-000022,-0.239338302535
ACH-000025,-0.100486899756
ACH-000028,-0.103973676546
ACH-000030,-0.041266356173
ACH-000035,-0.132510083059
ACH-000036,-0.313466532267
ACH-000037,-0.457645851951
ACH-000039,-0.194300835372
ACH-000040,-0.271237300239
ACH-000041,-0.0958260239649
ACH-000042,-0.477684501095
ACH-000045,-0.17818888534699998
ACH-000047,-0.21134363563
ACH-000052,-0.51219257432
ACH-000053,-0.287231108544
ACH-000054,-0.259126827913
ACH-000055,-0.23471982450599999
ACH-000060,-0.296018146738
ACH-000067,-0.298995782773
ACH-000070,-0.262791107913
ACH-000075,-0.178117440797
ACH-000078,-0.393045310414
ACH-000082,-0.29300343327399997
ACH-000085,-0.313289261294
ACH-000086,-0.19095828821199998
ACH-000087,-0.45586426732
ACH-000092,-0.247026501199
ACH-000095,-0.349052593452
ACH-000097,-0.13313109415
ACH-000098,-0.295670659035
ACH-000099,-0.400463389265
ACH-000108,-0.421777182672
ACH-000113,-0.221909959716
ACH-000115,-0.19198008458500002
ACH-000116,-0.21044152280200001
ACH-000118,-0.21247935026599998
ACH-000120,-0.489674264533
ACH-000123,-0.128253377956
ACH-000127,-0.222181324965
ACH-000128,-0.20927506539000001
ACH-000132,-0.282438370942
ACH-000133,-0.363014840628
ACH-000137,-0.44605340403899996
ACH-000138,-0.256772491627
ACH-000142,-0.429926015414
ACH-000143,-0.42763850791599994
ACH-000146,-0.269000791663
ACH-000148,-0.377240378261
ACH-000150,-0.725318872182
ACH-000152,-0.255620854716
ACH-000153,0.0484985504864
ACH-000159,-0.24446057851
ACH-000160,-0.15498969617
ACH-000163,-0.282381294516
ACH-000167,-0.311053398535
ACH-000168,-0.487027056075
ACH-000169,-0.155053573796
ACH-000178,-0.35817413758199995
ACH-000182,-0.339003496608
ACH-000183,-0.20673421491500002
ACH-000188,-0.264420393601
ACH-000189,-0.114240342159
ACH-000190,-0.23979976391199997
ACH-000198,-0.234330204473
ACH-000204,-0.320467836651
ACH-000206,-0.112286844245
ACH-000207,0.036495584354300004
ACH-000211,-0.219043354342
ACH-000215,-0.24743099128600002
ACH-000221,-0.310003109193
ACH-000222,-0.30380058851999997
ACH-000223,-0.28055950871700003
ACH-000226,-0.11619807733200001
ACH-000227,-0.37588977739600005
ACH-000228,-0.444785779524
ACH-000231,-0.171940977762
ACH-000232,-0.18224203484
ACH-000233,-0.276820583133
ACH-000234,-0.146635265386
ACH-000235,-0.27487252304299997
ACH-000237,-0.54600229456
ACH-000238,0.0674208112985
