,ESPN (83715)
ACH-000004,-0.35934376009400004
ACH-000007,-0.506177229923
ACH-000009,-0.443432890777
ACH-000011,-0.342809520912
ACH-000012,-0.545082708661
ACH-000013,-0.23212694539599998
ACH-000014,-0.546104811342
ACH-000015,-0.34183438964
ACH-000017,-0.571164912287
ACH-000018,-0.48675646362899994
ACH-000019,-0.32896573489000003
ACH-000021,-0.304518830006
ACH-000022,-0.474442520277
ACH-000025,-0.464232328842
ACH-000028,-0.33886480557800003
ACH-000030,-0.440041816804
ACH-000035,-0.535742056087
ACH-000036,-0.506859111053
ACH-000037,-0.777718009344
ACH-000039,-0.3279621866
ACH-000040,-0.686383449683
ACH-000041,-0.489795488987
ACH-000042,-0.378494205638
ACH-000045,-0.391885854052
ACH-000047,-0.528694502686
ACH-000052,-0.373478636686
ACH-000053,-0.438621595462
ACH-000054,-0.550716763136
ACH-000055,-0.693458545269
ACH-000060,-0.491822300003
ACH-000067,-0.8291125917550001
ACH-000070,-0.38267818553099997
ACH-000075,-0.418226379983
ACH-000078,-0.41488071741800003
ACH-000082,-0.253166106216
ACH-000085,-0.536254695374
ACH-000086,-0.545017861281
ACH-000087,-0.594769465835
ACH-000092,-0.580734325044
ACH-000095,-0.520820136822
ACH-000097,-0.467948856052
ACH-000098,-0.369101860748
ACH-000099,-0.40948268918799996
ACH-000108,-0.611605764441
ACH-000113,-0.312468104857
ACH-000115,-0.47236239765199994
ACH-000116,-0.287952398866
ACH-000118,-0.31266544031599997
ACH-000120,-0.41172877522600004
ACH-000123,-0.24501873570799998
ACH-000127,-0.38419792309399997
ACH-000128,-0.586422556795
ACH-000132,-0.278475383915
ACH-000133,-0.432251176608
ACH-000137,-0.6935183573129999
ACH-000138,-0.467979574374
ACH-000142,-0.487751742976
ACH-000143,-0.41220462729400004
ACH-000146,-0.548293277614
ACH-000148,-0.47120459910400003
ACH-000150,-0.985955895841
ACH-000152,-0.544634486616
ACH-000153,-0.35597346659699997
ACH-000159,-0.6731359565270001
ACH-000160,-0.565934287429
ACH-000163,-0.327785002141
ACH-000167,-0.629823342977
ACH-000168,-0.521366292154
ACH-000169,-0.30961670130999996
ACH-000178,-0.594425895688
ACH-000182,-0.35828689018700005
ACH-000183,-0.452118477403
ACH-000188,-0.36889371124799997
ACH-000189,-0.501613219837
ACH-000190,-0.476906548014
ACH-000198,-0.30339814071
ACH-000204,-0.508172083954
ACH-000206,-0.581962875212
ACH-000207,-0.09901454069039999
ACH-000211,-0.324402568974
ACH-000215,-0.484821208745
ACH-000221,-0.480922660973
ACH-000222,-0.638812485055
ACH-000223,-0.21162824691100002
ACH-000226,-0.48312661398
ACH-000227,-0.400595580356
ACH-000228,-0.37189614811399996
ACH-000231,-0.491534686455
ACH-000232,-0.281457735961
ACH-000233,-0.318916884276
ACH-000234,-0.6125371701650001
ACH-000235,-0.460330694041
ACH-000237,-0.6738002768800001
ACH-000238,-0.422376257499
ACH-000243,-0.44781981225
ACH-000244,-0.386732783573
ACH-000246,-0.47013972270800003
ACH-000248,-0.270246089006
ACH-000250,-0.435260545769
ACH-000251,-0.543418462941
ACH-000253,-0.5157270037789999
ACH-000255,-0.34440251606600003
ACH-000256,-0.5151580369650001
ACH-000257,-0.45275167894100005
ACH-000258,-0.5350227294650001
ACH-000259,-0.42554554175399995
ACH-000260,-0.494964806382
ACH-000261,-0.415714122237
ACH-000262,-0.7413482225300001
ACH-000263,-0.7436305681919999
ACH-000264,-0.506881404921
ACH-000265,-0.44366039188999995
ACH-000266,-0.35963910281800004
ACH-000272,-0.353104043759
ACH-000273,-0.542639345544
ACH-000274,-0.644610561729
ACH-000277,-0.270543247267
ACH-000278,-0.619886738454
ACH-000279,-0.653554861344
ACH-000280,-0.324236027749
ACH-000281,-0.249335581079
ACH-000288,-0.713737483092
ACH-000291,-0.38358329997900004
ACH-000293,-0.258433430885
ACH-000294,-0.155616194599
ACH-000295,-0.49781746518
ACH-000296,-0.7003188371960001
ACH-000302,-0.526114733069
ACH-000304,-0.607607944121
ACH-000307,-0.509069977892
ACH-000308,-0.367236143193
ACH-000310,-0.358703189497
ACH-000311,-0.60489184321
ACH-000312,-0.572748295113
ACH-000315,-0.5474187175590001
ACH-000316,-0.626203989872
ACH-000317,-0.611529640506
ACH-000318,-0.39464975123999996
ACH-000319,-0.37929758134900005
ACH-000320,-0.192898958354
ACH-000322,-0.577351877903
ACH-000323,-0.6489408990600001
ACH-000324,-0.563967155529
ACH-000329,-0.7024739243970001
ACH-000330,-0.37401771459100003
ACH-000331,-0.35473613533799997
ACH-000332,-0.49372920753
ACH-000334,-0.5421391980929999
ACH-000335,-0.358916045788
ACH-000336,-0.45977504710600003
ACH-000337,-0.718675821496
ACH-000339,-0.314478335337
ACH-000341,-0.37049032279700006
ACH-000348,-0.484455777571
ACH-000350,-0.7219807463969999
ACH-000352,-0.34283404144199997
ACH-000356,-0.491722770753
ACH-000361,-0.614123459823
ACH-000362,-0.463612790405
ACH-000363,-0.478140988881
ACH-000364,-0.454035760449
ACH-000365,-0.368935054599
ACH-000366,-0.257672141172
ACH-000368,-0.534407167998
ACH-000374,-0.488628407156
ACH-000375,-0.516002241719
ACH-000376,-0.38263406529399996
ACH-000381,-0.31445442531999995
ACH-000383,-0.36314814552100005
ACH-000387,-0.351633389343
ACH-000389,-0.46966332296400004
ACH-000390,-0.521781455003
ACH-000393,-0.47995696868500004
ACH-000395,-0.76225227987
ACH-000397,-0.297347089475
ACH-000401,-0.5212644707549999
ACH-000402,-0.845757793361
ACH-000403,-0.770055665391
ACH-000404,-0.416830866956
ACH-000406,-0.276427910951
ACH-000407,-0.700795464157
ACH-000408,-0.532190409132
ACH-000410,-0.585319939523
ACH-000411,-0.31361272162
ACH-000414,-0.316714995523
ACH-000415,-0.371359147926
ACH-000416,-0.503025292889
ACH-000420,-0.448039611093
ACH-000421,-0.338720372697
ACH-000424,-0.551709604707
ACH-000425,-0.552459704564
ACH-000426,-0.578123977472
