,POLR3A (11128)
ACH-000004,-1.9123437957599998
ACH-000007,-1.9472031794999998
ACH-000009,-1.83265865229
ACH-000011,-1.36649309875
ACH-000012,-1.8504531818599999
ACH-000013,-1.65095785274
ACH-000014,-2.04104336667
ACH-000015,-1.8577820487599999
ACH-000017,-1.73699052254
ACH-000018,-1.77586873283
ACH-000019,-1.85505486162
ACH-000021,-1.7034483366600002
ACH-000022,-1.8410572250200001
ACH-000025,-1.63344865796
ACH-000028,-1.6429852411599999
ACH-000030,-1.92482259811
ACH-000035,-1.4562996772999999
ACH-000036,-1.69658801016
ACH-000037,-2.51511445529
ACH-000039,-1.82833263874
ACH-000040,-1.71642451197
ACH-000041,-1.6768409389200003
ACH-000042,-1.9702451682900002
ACH-000045,-1.93186054246
ACH-000047,-1.7779238078
ACH-000052,-2.2706429624599997
ACH-000053,-1.8762654881099998
ACH-000054,-1.7794213913499999
ACH-000055,-1.8350964950599997
ACH-000060,-1.68110706007
ACH-000067,-1.8436719013799998
ACH-000070,-1.89884230967
ACH-000075,-1.9134400712000001
ACH-000078,-2.0887413308
ACH-000082,-2.00630808949
ACH-000085,-1.4245840680200001
ACH-000086,-1.56235550542
ACH-000087,-1.55938178764
ACH-000092,-1.839393769
ACH-000095,-2.21797799132
ACH-000097,-1.90039704295
ACH-000098,-1.77277216705
ACH-000099,-2.07277125957
ACH-000108,-1.68748755604
ACH-000113,-1.9683179740999999
ACH-000115,-2.3791790034
ACH-000116,-1.72086416475
ACH-000118,-1.3881291867399999
ACH-000120,-1.8096806723199999
ACH-000123,-1.8679976679199999
ACH-000127,-1.8605582232900002
ACH-000128,-1.916716059
ACH-000132,-1.8384590007700001
ACH-000133,-1.6592116075499999
ACH-000137,-1.77918613148
ACH-000138,-1.61925697366
ACH-000142,-1.4261830089200003
ACH-000143,-1.8381340032
ACH-000146,-2.12930430101
ACH-000148,-1.9173708651299999
ACH-000150,-1.7252327408500001
ACH-000152,-1.73547842357
ACH-000153,-1.86001060125
ACH-000159,-1.8455937822599997
ACH-000160,-1.39146717859
ACH-000163,-1.8619210110900002
ACH-000167,-2.0895317726599996
ACH-000168,-1.69478073427
ACH-000169,-1.72157532893
ACH-000178,-1.77669322229
ACH-000182,-1.8555831002599998
ACH-000183,-1.9591789133700002
ACH-000188,-1.72634877684
ACH-000189,-1.32423118055
ACH-000190,-1.4316906843500001
ACH-000198,-2.06736456156
ACH-000204,-1.72402337885
ACH-000206,-1.72975733677
ACH-000207,-2.44528828028
ACH-000211,-1.72007428193
ACH-000215,-1.92123804478
ACH-000221,-1.8996380277200002
ACH-000222,-1.82913227963
ACH-000223,-2.03866966065
ACH-000226,-1.82621302898
ACH-000227,-1.27719978623
ACH-000228,-1.8375456902400003
ACH-000231,-1.6700419652
ACH-000232,-1.90735691518
ACH-000233,-1.99259927095
ACH-000234,-1.47746201514
ACH-000235,-1.8849041611700001
ACH-000237,-1.82107702396
ACH-000238,-1.6194477134099998
ACH-000243,-1.6672338117200003
ACH-000244,-1.49831579872
ACH-000246,-1.39979243255
ACH-000248,-1.8314515278599999
ACH-000250,-1.73875476607
ACH-000251,-1.88545165996
ACH-000253,-1.7975888463900003
ACH-000255,-1.5109543817500002
ACH-000256,-1.9384064550599998
ACH-000257,-1.97594602495
ACH-000258,-1.67645224033
ACH-000259,-1.8723313582299999
ACH-000260,-1.6369733143
ACH-000261,-1.73127955224
ACH-000262,-1.9368831326599998
ACH-000263,-2.11283968679
ACH-000264,-1.8393511369099997
ACH-000265,-1.8861656403799998
ACH-000266,-1.8527443607900003
ACH-000272,-1.59601420312
ACH-000273,-1.8176813938099998
ACH-000274,-1.88236158292
ACH-000277,-1.9937541646599999
ACH-000278,-1.74800921251
ACH-000279,-1.9476562395299999
ACH-000280,-1.88821390857
ACH-000281,-1.8992523678599997
ACH-000288,-1.8046164433900003
ACH-000291,-1.69283223259
ACH-000293,-1.5930946894999998
ACH-000294,-2.1240710964500003
ACH-000295,-1.84979259945
ACH-000296,-1.89245738741
ACH-000302,-1.87030975065
ACH-000304,-1.5648666419
ACH-000307,-1.55693463283
ACH-000308,-2.06897152143
ACH-000310,-1.5899367519999998
ACH-000311,-1.6855520238400001
ACH-000312,-1.77942180503
ACH-000315,-1.9083133522
ACH-000316,-1.6936830694299998
ACH-000317,-1.5684475308899999
ACH-000318,-1.5769102644600002
ACH-000319,-1.6684637153200002
ACH-000320,-1.8382821893999999
ACH-000322,-2.09980134961
ACH-000323,-1.64389349177
ACH-000324,-1.7899195837200002
ACH-000329,-2.08174593993
ACH-000330,-1.2473191805600001
ACH-000331,-1.45404632365
ACH-000332,-1.64116357891
ACH-000334,-2.05949326145
ACH-000335,-1.96866465314
ACH-000336,-1.84350159759
ACH-000337,-1.84745331469
ACH-000339,-1.84880236713
ACH-000341,-1.44221944706
ACH-000348,-1.63457099873
ACH-000350,-1.9380273271000001
ACH-000352,-1.5646580329799997
ACH-000356,-1.55402052708
ACH-000361,-1.8396115424200001
ACH-000362,-2.01839818463
ACH-000363,-1.77462745354
ACH-000364,-1.69343185032
ACH-000365,-2.02083814967
ACH-000366,-1.80155221375
ACH-000368,-1.6975871029700003
ACH-000374,-1.9940265052000001
ACH-000375,-1.71514855974
ACH-000376,-1.5976418920700002
ACH-000381,-1.7311545723700001
ACH-000383,-1.96361954498
ACH-000387,-1.69672460088
ACH-000389,-1.66274148285
ACH-000390,-2.16804828558
ACH-000393,-2.05250689089
ACH-000395,-1.7340579605400002
ACH-000397,-1.5919426475100003
ACH-000401,-1.81498467185
ACH-000402,-1.8679272757099998
ACH-000403,-2.06871589674
ACH-000404,-1.7090413110499998
ACH-000406,-2.1599089442299997
ACH-000407,-1.71761972968
ACH-000408,-1.55892394238
ACH-000410,-1.70630343156
ACH-000411,-1.6781168962600002
ACH-000414,-1.8295444454900003
ACH-000415,-1.8597109717500002
ACH-000416,-1.7131955910299999
ACH-000420,-1.58836398521
ACH-000421,-1.55643515734
ACH-000424,-1.6988101583500002
ACH-000425,-2.0922603825599997
ACH-000426,-1.66547286505
ACH-000427,-2.1789703798599995
ACH-000433,-1.7814394297299998
ACH-000436,-1.89716480732
ACH-000444,-1.4957021898700003
ACH-000445,-1.8117911065799999
ACH-000448,-1.6692103022799998
ACH-000450,-1.8664346446900002
ACH-000452,-1.6382531372600002
ACH-000454,-1.62410132859
ACH-000458,-1.77119150012
ACH-000459,-2.8590531175
ACH-000460,-1.59626281041
ACH-000461,-1.7383530385599997
ACH-000463,-1.70842919065
ACH-000464,-1.80926340029
ACH-000466,-1.86652677028
