,DCXR (51181)
ACH-000004,-0.24208369100299998
ACH-000007,-0.023052619523900003
ACH-000009,-0.325702712108
ACH-000011,-0.17967247494199998
ACH-000012,-0.23489396379900002
ACH-000013,-0.155289385967
ACH-000014,-0.126651308205
ACH-000015,-0.0953860235339
ACH-000017,-0.0937520490662
ACH-000018,-0.028760976150500002
ACH-000019,-0.15829527365499999
ACH-000021,-0.0806265967198
ACH-000022,-0.202936759983
ACH-000025,-0.0580229376649
ACH-000028,-0.134846736799
ACH-000030,-0.170593438128
ACH-000035,-0.119163357253
ACH-000036,-0.3520711771
ACH-000037,-0.152153456845
ACH-000039,-0.28436337143
ACH-000040,-0.250290898991
ACH-000041,-0.170236483281
ACH-000042,-0.134671802404
ACH-000045,-0.262733863595
ACH-000047,-0.22897508824700002
ACH-000052,-0.00562102615892
ACH-000053,-0.150125104944
ACH-000054,-0.23470247858100002
ACH-000055,-0.12505446334
ACH-000060,-0.248468607245
ACH-000067,-0.197671310126
ACH-000070,-0.296903065139
ACH-000075,-0.30727806987
ACH-000078,-0.343477360798
ACH-000082,-0.0491486253725
ACH-000085,-0.0901279331182
ACH-000086,-0.185404730739
ACH-000087,-0.274841574983
ACH-000092,-0.024239438261199998
ACH-000095,-0.221826080112
ACH-000097,-0.217631656673
ACH-000098,-0.143783022662
ACH-000099,-0.32852230086
ACH-000108,-0.191826847793
ACH-000113,-0.17197156797200003
ACH-000115,-0.210912552383
ACH-000116,-0.0905862555711
ACH-000118,-0.259103765512
ACH-000120,-0.288464971715
ACH-000123,-0.179491937409
ACH-000127,-0.135309735245
ACH-000128,-0.147368240201
ACH-000132,-0.12245456417000002
ACH-000133,-0.0295586869489
ACH-000137,-0.23007597406999997
ACH-000138,-0.199098555422
ACH-000142,-0.24923356641999997
ACH-000143,-0.272606877475
ACH-000146,-0.2062965497
ACH-000148,-0.0470444070313
ACH-000150,-0.12584239442
ACH-000152,-0.17162379480300002
ACH-000153,-0.112914534158
ACH-000159,-0.24677688219500002
ACH-000160,-0.192161646522
ACH-000163,-0.26761726763099997
ACH-000167,-0.25012833142499996
ACH-000168,-0.407074545291
ACH-000169,-0.232834790072
ACH-000178,-0.0775744717225
ACH-000182,-0.275541935819
ACH-000183,-0.354239886372
ACH-000188,-0.24560968609900002
ACH-000189,0.0658352098948
ACH-000190,-0.0674284445048
ACH-000198,-0.14581951777899999
ACH-000204,0.043829647158300004
ACH-000206,-0.0893942600641
ACH-000207,-0.350761207232
ACH-000211,-0.303664899479
ACH-000215,-0.240051525612
ACH-000221,-0.110722852895
ACH-000222,-0.15914765719
ACH-000223,-0.105102709464
ACH-000226,-0.010713108752399999
ACH-000227,-0.0950063379544
ACH-000228,-0.150161175288
ACH-000231,-0.160532437776
ACH-000232,-0.143481510724
ACH-000233,-0.028509973207
ACH-000234,-0.217186582621
ACH-000235,-0.27029141210900004
ACH-000237,-0.166084563514
ACH-000238,-0.407374819232
ACH-000243,-0.166966789571
ACH-000244,-0.23831899710999999
ACH-000246,-0.20132759019699997
ACH-000248,-0.339577164594
ACH-000250,-0.24833623146699998
ACH-000251,-0.38087309131200003
ACH-000253,-0.18014800545899998
ACH-000255,-0.20120419634599998
ACH-000256,-0.371639143142
ACH-000257,-0.270589872751
ACH-000258,-0.40331462380099997
ACH-000259,-0.230555740046
ACH-000260,-0.33925743813000003
ACH-000261,-0.292633739693
ACH-000262,-0.339129896564
ACH-000263,-0.0789598352808
ACH-000264,-0.263820453142
ACH-000265,-0.160820730259
ACH-000266,-0.297757695939
ACH-000272,-0.261222966145
ACH-000273,-0.164366299364
ACH-000274,-0.172130393007
ACH-000277,-0.373303919313
ACH-000278,-0.176866384285
ACH-000279,-0.250663327256
ACH-000280,-0.419687436889
