,EPX (8288)
ACH-000004,0.036438769636
ACH-000007,-0.11716151930400001
ACH-000009,-0.178743069789
ACH-000011,-0.12576656502
ACH-000012,-0.168929822749
ACH-000013,-0.09193219401560002
ACH-000014,-0.136311500143
ACH-000015,-0.08424868924210001
ACH-000017,-0.113535333984
ACH-000018,-0.131970683437
ACH-000019,-0.532878401044
ACH-000021,-0.178413419691
ACH-000022,-0.07263090945989999
ACH-000025,-0.13735855957
ACH-000028,-0.253968257561
ACH-000030,-0.153547749275
ACH-000035,-0.22589857141199998
ACH-000036,-0.114443637929
ACH-000037,-0.282210662241
ACH-000039,-0.298334604316
ACH-000040,-0.0264641202487
ACH-000041,-0.134719397421
ACH-000042,-0.247500266686
ACH-000045,-0.125419545109
ACH-000047,-0.251782510244
ACH-000052,-0.024116251543099997
ACH-000053,-0.318487220976
ACH-000054,-0.406201901586
ACH-000055,-0.294476859058
ACH-000060,0.0631117559712
ACH-000067,-0.11476534564999999
ACH-000070,-0.131874892281
ACH-000075,-0.200259344349
ACH-000078,-0.359028588991
ACH-000082,-0.161611067291
ACH-000085,-0.303905182732
ACH-000086,0.015364296955799998
ACH-000087,-0.139583204313
ACH-000092,0.0282430582116
ACH-000095,0.0240135802909
ACH-000097,-0.151678246036
ACH-000098,-0.117515610461
ACH-000099,-0.334181840976
ACH-000108,-0.08636216247749999
ACH-000113,-0.10739646120200001
ACH-000115,-0.128753684817
ACH-000116,-0.14238684149800002
ACH-000118,-0.163413643872
ACH-000120,-0.27751320244399996
ACH-000123,-0.10983498300999998
ACH-000127,-0.12339131698799999
ACH-000128,-0.08914141227280001
ACH-000132,-0.0422534171134
ACH-000133,-0.150564511361
ACH-000137,-0.0057868453228199996
ACH-000138,-0.322478057643
ACH-000142,-0.19593475250300002
ACH-000143,-0.160944439256
ACH-000146,-0.120409262105
ACH-000148,-0.159727568692
ACH-000150,-0.19693565153
ACH-000152,-0.260567192241
ACH-000153,0.232596302237
ACH-000159,-0.267264822722
ACH-000160,-0.23829789895
ACH-000163,-0.15188795968399998
ACH-000167,0.17400404472300002
ACH-000168,-0.120926524159
ACH-000169,-0.05709659018780001
ACH-000178,-0.0668786320569
ACH-000182,0.046643251012900004
ACH-000183,-0.116926846855
