,DENND4A (10260)
ACH-000004,-0.44905895979099997
ACH-000007,-0.37250604239
ACH-000009,-0.380749478829
ACH-000011,-0.41188788971
ACH-000012,-0.175380183221
ACH-000013,-0.161424432088
ACH-000014,-0.279281451177
ACH-000015,-0.173528118064
ACH-000017,-0.19866707074700002
ACH-000018,-0.0818286735876
ACH-000019,-0.263503949975
ACH-000021,-0.107578148224
ACH-000022,-0.60267512537
ACH-000025,-0.185244276707
ACH-000028,-0.168514140062
ACH-000030,-0.141695679317
ACH-000035,-0.173419407744
ACH-000036,-0.029215532397099998
ACH-000037,-0.273457170309
ACH-000039,-0.0949668078676
ACH-000040,0.0529506233445
ACH-000041,-0.7118498852670001
ACH-000042,-0.322901338702
ACH-000045,-0.339282589405
ACH-000047,-0.038299312664199996
ACH-000052,-0.153791569766
ACH-000053,-0.138022705414
ACH-000054,-0.31390485805999996
ACH-000055,-0.00785938487531
ACH-000060,-0.030219694350099996
ACH-000067,-0.249374855926
ACH-000070,-0.428357429723
ACH-000075,-0.27233822579
ACH-000078,-0.0418546092326
ACH-000082,-0.168115370029
ACH-000085,-0.134754205288
ACH-000086,-0.203366843603
ACH-000087,-0.0282886140936
ACH-000092,-0.514587269629
ACH-000095,-0.17262172850000002
ACH-000097,-0.25317937669199997
ACH-000098,-0.124173520857
ACH-000099,-0.22486627399700002
ACH-000108,-0.34539822678300003
ACH-000113,-0.725827814954
ACH-000115,-0.443408555626
ACH-000116,-0.22177414535999998
ACH-000118,0.06555344082
ACH-000120,-0.285065439111
ACH-000123,-0.17717739219099998
ACH-000127,-0.161874536449
ACH-000128,-0.127580101724
ACH-000132,-0.24119725039700002
ACH-000133,-0.287851627687
ACH-000137,-0.259750886655
ACH-000138,-0.0916912865551
ACH-000142,-0.0482273324474
ACH-000143,-0.19834345957400001
ACH-000146,-0.316053723537
ACH-000148,-0.11379338544000002
ACH-000150,0.012647807430399999
ACH-000152,-0.129084457063
ACH-000153,0.00269655034689
ACH-000159,-0.106253344491
ACH-000160,-0.398092519137
ACH-000163,-0.130026172558
ACH-000167,-0.151370434054
ACH-000168,-0.48646844329899996
ACH-000169,-0.0010573404817599999
ACH-000178,-0.154011570673
ACH-000182,-0.282214306206
ACH-000183,-0.26152100091499997
ACH-000188,0.0199613197424
ACH-000189,-0.213054582657
ACH-000190,-0.263589292524
ACH-000198,-0.541304569295
ACH-000204,-0.535155989682
ACH-000206,-0.19666575047899998
ACH-000207,-0.118341049451
ACH-000211,-0.206601271578
ACH-000215,-0.11004958344799999
ACH-000221,-0.22874655395399998
ACH-000222,-0.00571438386188
ACH-000223,-0.343851902464
ACH-000226,-0.0431342269079
ACH-000227,-0.0437790813133
ACH-000228,-0.258227680181
ACH-000231,-0.0133648601855
ACH-000232,-0.149071415209
ACH-000233,-0.113289583043
ACH-000234,-0.314150135255
ACH-000235,-0.305031614347
ACH-000237,-0.279110254151
ACH-000238,-0.269855242548
ACH-000243,-0.05790688092
ACH-000244,-0.199335256235
ACH-000246,-0.271760420925
ACH-000248,-0.09388264984339999
ACH-000250,0.0263394145126
ACH-000251,-0.129318451524
ACH-000253,-0.326697272361
ACH-000255,-0.285210972834
ACH-000256,-0.0937856619181
ACH-000257,0.164894730714
ACH-000258,-0.132050712792
ACH-000259,-0.044952537607899995
ACH-000260,-0.225586738022
ACH-000261,-0.34573051351899997
ACH-000262,-0.138414668819
ACH-000263,-0.132853839019
ACH-000264,-0.35412094123300003
ACH-000265,-0.238721570312
ACH-000266,-0.34810363577200004
ACH-000272,-0.238738591273
ACH-000273,-0.0249412780387
ACH-000274,-0.23994233882100002
ACH-000277,-0.251112575377
ACH-000278,-0.20557371464000002
