,ACADSB (36)
ACH-000004,-0.310528914742
ACH-000007,-0.198578970139
ACH-000009,-0.251027394868
ACH-000011,-0.251719956574
ACH-000012,-0.126615126382
ACH-000013,-0.12214673266899999
ACH-000014,-0.09915905398939999
ACH-000015,-0.132493215437
ACH-000017,-0.0505984281334
ACH-000018,-0.264081854135
ACH-000019,-0.061304750280800006
ACH-000021,0.0285338673957
ACH-000022,-0.246835396713
ACH-000025,-0.175480446282
ACH-000028,-0.19984541074999998
ACH-000030,-0.245620541166
ACH-000035,-0.09873086356560001
ACH-000036,-0.044180658133600004
ACH-000037,-0.264830831853
ACH-000039,-0.0937924333639
ACH-000040,-0.32051380249600003
ACH-000041,-0.132710251178
ACH-000042,-0.15621994147600002
ACH-000045,-0.047963354474
ACH-000047,-0.0727368786068
ACH-000052,-0.041500181636800006
ACH-000053,-0.220736382841
ACH-000054,-0.18906298171900002
ACH-000055,-0.00637593831154
ACH-000060,-0.21765639068700002
ACH-000067,-0.325682298584
ACH-000070,-0.263778851828
ACH-000075,0.060817508511499994
ACH-000078,-0.205527498872
ACH-000082,-0.162216919367
ACH-000085,-0.20257817454100002
ACH-000086,-0.200855192794
ACH-000087,-0.19883081239
ACH-000092,-0.208598395699
ACH-000095,-0.205208701593
ACH-000097,-0.172125600097
ACH-000098,-0.148047752524
ACH-000099,-0.295450600666
ACH-000108,-0.143184253938
ACH-000113,-0.22945774460700002
ACH-000115,-0.201398457038
ACH-000116,-0.135497182135
ACH-000118,-0.079905382812
ACH-000120,-0.0445868103239
ACH-000123,-0.224461261841
ACH-000127,-0.273681492975
ACH-000128,-0.267464352225
ACH-000132,-0.234218071837
ACH-000133,-0.24611863744800003
ACH-000137,-0.11683371590399999
ACH-000138,-0.14804131155
ACH-000142,-0.0347076959204
ACH-000143,-0.46718635627899996
ACH-000146,-0.12426468303200001
ACH-000148,-0.39755643923199996
ACH-000150,-0.0633118469087
ACH-000152,-0.07126295045
ACH-000153,0.016507775918
ACH-000159,-0.06346776459009999
ACH-000160,-0.130800465673
ACH-000163,-0.08820811630660001
ACH-000167,-0.40991181515600006
ACH-000168,-0.132788418937
ACH-000169,-0.27848795475
ACH-000178,-0.17752098217300002
ACH-000182,-0.166455759295
ACH-000183,-0.159611145621
ACH-000188,-0.323813929251
ACH-000189,-0.316893203379
ACH-000190,-0.0956998126551
ACH-000198,-0.144912374733
ACH-000204,-0.183826426376
ACH-000206,-0.253122479848
ACH-000207,-0.268644187943
ACH-000211,-0.165622710222
ACH-000215,-0.22205725273600002
ACH-000221,-0.10905944582900001
ACH-000222,0.149935406993
ACH-000223,-0.35830704308600003
ACH-000226,-0.198999440178
ACH-000227,-0.361303534853
ACH-000228,-0.19196867511100002
ACH-000231,-0.196867628861
ACH-000232,-0.24684558491500003
ACH-000233,-0.157382949671
ACH-000234,-0.240531765347
ACH-000235,-0.113475282406
ACH-000237,-0.270151891262
ACH-000238,-0.26935170990699997
ACH-000243,-0.136270628279
ACH-000244,-0.0391947986281
ACH-000246,-0.189075503307
ACH-000248,-0.0963030976476
ACH-000250,-0.259326020796
ACH-000251,0.0898111740175
ACH-000253,-0.236406485891
ACH-000255,-0.15601352601
ACH-000256,-0.254926529357
ACH-000257,-0.307943794961
ACH-000258,-0.35359227167199997
ACH-000259,-0.221951473442
ACH-000260,-0.107400808949
ACH-000261,-0.148270713893
ACH-000262,-0.235032153034
ACH-000263,-0.154676187633
ACH-000264,-0.145007083133
ACH-000265,-0.00969355242175
