,PDS5B (23047)
ACH-000004,0.16874140227
ACH-000007,-0.345706908233
ACH-000009,0.154941958717
ACH-000011,-0.644010465928
ACH-000012,0.0426104910998
ACH-000013,-0.286016339281
ACH-000014,-0.310949128202
ACH-000015,-0.218277092183
ACH-000017,0.107662823058
ACH-000018,-0.37237425787699996
ACH-000019,-0.280752450661
ACH-000021,-0.10892098753599999
ACH-000022,0.240136674777
ACH-000025,-0.41410479709799997
ACH-000028,-0.286804358058
ACH-000030,-0.025432454114700003
ACH-000035,-0.157219011665
ACH-000036,-0.00785648900957
ACH-000037,-0.334128954485
ACH-000039,0.00025454325374799997
ACH-000040,0.00669481476397
ACH-000041,0.218742054493
ACH-000042,0.00076619254348
ACH-000045,-0.08325679819010001
ACH-000047,-0.0872473471301
ACH-000052,-0.0140406029504
ACH-000053,0.381695779023
ACH-000054,-0.08779963415619998
ACH-000055,0.0574932402832
ACH-000060,-0.281301389274
ACH-000067,-0.566139688238
ACH-000070,-0.004422512523359999
ACH-000075,0.04718059119680001
ACH-000078,-0.361463313701
ACH-000082,-0.225473278603
ACH-000085,-0.156563283479
ACH-000086,-0.20210517406300002
ACH-000087,-0.20014568580400002
ACH-000092,-0.328735111173
ACH-000095,-0.0649627800578
ACH-000097,-0.17755993691
ACH-000098,-0.35249156983999996
ACH-000099,-0.136895639142
ACH-000108,0.138908446844
ACH-000113,-0.144884540339
ACH-000115,0.0173383828344
ACH-000116,-0.425177183741
ACH-000118,-0.46027083016900006
ACH-000120,0.08284422215699999
ACH-000123,-0.332920215211
ACH-000127,-0.03734116499930001
ACH-000128,-0.453175406168
ACH-000132,-0.7066032820739999
ACH-000133,-0.192093457278
ACH-000137,-0.38493245686099997
ACH-000138,0.193680543275
ACH-000142,-0.24812143285399998
ACH-000143,0.131648509055
ACH-000146,0.162426831842
ACH-000148,-0.10886239290899999
ACH-000150,-0.478409601144
ACH-000152,-0.07574476278719999
ACH-000153,0.047365365455900005
ACH-000159,-0.11945864302999999
ACH-000160,0.301300212385
ACH-000163,0.419482007426
ACH-000167,0.49729564872000004
ACH-000168,-0.35045380919299995
ACH-000169,0.00562262266397
ACH-000178,-0.12812584887700001
ACH-000182,0.0382842176263
ACH-000183,-0.42907600373000004
ACH-000188,-0.357677024447
ACH-000189,-0.11336709781099999
ACH-000190,0.151951167571
ACH-000198,0.0414459321859
ACH-000204,-0.21035152795
ACH-000206,-0.207100338459
ACH-000207,-0.338062548657
ACH-000211,-0.184887822484
ACH-000215,-0.020738003848299998
ACH-000221,0.080690531117
ACH-000222,-0.08289322588539999
ACH-000223,-0.11686548517999999
ACH-000226,-0.0581448976047
ACH-000227,-0.0956454697691
ACH-000228,-0.33741495126000004
ACH-000231,-0.192851812121
ACH-000232,-0.362469283383
ACH-000233,-0.15018298376800002
ACH-000234,-0.206395548817
ACH-000235,-0.029857177538
ACH-000237,-0.25088363333700003
ACH-000238,-0.283914623836
ACH-000243,0.168218022047
ACH-000244,0.043004185848599996
ACH-000246,-0.130866677515
ACH-000248,-0.133502794946
ACH-000250,0.07446144879910001
ACH-000251,-0.178492788947
ACH-000253,-0.19998952407900003
ACH-000255,0.35800861854800003
ACH-000256,-0.236367517287
ACH-000257,0.076203644261
ACH-000258,-0.0683319527936
ACH-000259,0.203106596062
ACH-000260,0.271189151716
ACH-000261,-0.300583000535
ACH-000262,-0.409387718047
ACH-000263,-0.183254820337
ACH-000264,-0.22112979054499998
ACH-000265,-0.20260883500500002
ACH-000266,-0.24689331597
ACH-000272,-0.232628932971
ACH-000273,-0.221945540847
ACH-000274,-0.24848055309300002
ACH-000277,0.170528916556
ACH-000278,-0.13311748320800001
ACH-000279,0.10394368223400001
ACH-000280,-0.0156034279779
ACH-000281,-0.20118346203899998
ACH-000288,-0.525532018705
ACH-000291,-0.129296714965
ACH-000293,-0.06321090960249999
ACH-000294,0.020098547824299998
ACH-000295,-0.47253978747500003
ACH-000296,-0.168507985237
ACH-000302,-0.442327360396
ACH-000304,-0.30865617036
ACH-000307,0.11516333056500001
ACH-000308,-0.012077250474799999
ACH-000310,-0.111707022956
ACH-000311,-0.16232112875
ACH-000312,0.111317334268
ACH-000315,0.18492576277199999
ACH-000316,-0.0729286575801
ACH-000317,0.0332325465239
ACH-000318,-0.0238989465301
ACH-000319,-0.226628314438
ACH-000320,-0.19446784230500003
ACH-000322,-0.0741479923122
ACH-000323,-0.366683612069
ACH-000324,-0.23361230661899998
ACH-000329,-0.019944626912700002
ACH-000330,-0.102113267954
ACH-000331,-0.288637221194
ACH-000332,0.309371439732
ACH-000334,-0.13417735141599998
ACH-000335,-0.42507169181800003
ACH-000336,-0.5025244537870001
ACH-000337,0.023617140742799997
ACH-000339,0.00870302748061
ACH-000341,0.138131554766
ACH-000348,-0.038377294652900004
ACH-000350,0.0966850216343
ACH-000352,-0.07945952541739999
ACH-000356,-0.102125374677
ACH-000361,-0.53859277724
ACH-000362,-0.112888968168
ACH-000363,0.180795453888
ACH-000364,-0.051703157586000005
ACH-000365,0.047952821357699994
ACH-000366,0.0410294330804
ACH-000368,-0.433623361923
ACH-000374,-0.301818498225
ACH-000375,-0.126018551714
ACH-000376,-0.09492101017610001
ACH-000381,-0.0180826531135
ACH-000383,-0.0517125013633
ACH-000387,-0.08651207938380001
ACH-000389,-0.21481246124699999
ACH-000390,-0.216529097419
ACH-000393,-0.18115926613400002
ACH-000395,-0.425104229274
ACH-000397,-0.194086072059
ACH-000401,-0.260488184502
ACH-000402,-0.11683909532299999
ACH-000403,-0.514967395105
ACH-000404,-0.176033653654
ACH-000406,0.0237112529135
ACH-000407,-0.09688131215189999
ACH-000408,-0.20738681544
ACH-000410,-0.172649069687
ACH-000411,-0.17315610699200001
ACH-000414,-0.0171545332546
ACH-000415,-0.183740878262
ACH-000416,-0.0607746402078
ACH-000420,-0.34417286293899996
ACH-000421,0.113959872783
ACH-000424,-0.458380697613
ACH-000425,-0.255874721888
ACH-000426,0.304806286503
ACH-000427,-0.517506946218
ACH-000433,-0.152167911612
ACH-000436,-0.0971427997119
ACH-000444,-0.33494337788600004
ACH-000445,-0.291299500033
ACH-000448,-0.0136201544368
ACH-000450,-0.198258379758
ACH-000452,-0.118406628471
ACH-000454,-0.09933995319710001
ACH-000458,-0.0024085784842699997
ACH-000459,0.051911513434199995
ACH-000460,-0.271018600331
ACH-000461,0.00591905693485
ACH-000463,-0.149057682119
ACH-000464,0.133775119441
ACH-000466,-0.21539453844599998
ACH-000467,-0.47663025432800005
ACH-000468,-0.499549483719
ACH-000469,0.332397758077
ACH-000470,-0.115390762642
ACH-000471,0.0742905763568
ACH-000472,-0.053202188745999995
ACH-000473,-0.141603941251
ACH-000475,0.315961199578
ACH-000476,-0.100161310152
ACH-000477,0.525468192456
ACH-000480,-0.109519376098
ACH-000481,-0.19012668316599998
ACH-000483,-0.0437163357931
ACH-000484,0.00032753345161100003
ACH-000485,0.124924979346
ACH-000486,-0.348393174983
ACH-000487,0.012023128613
ACH-000488,-0.0799002084881
ACH-000490,-0.067968508994
ACH-000491,0.103476447223
ACH-000495,-0.276792007453
ACH-000496,-0.0198294423208
