,CYP26A1 (1592)
ACH-000004,-0.131083030651
ACH-000007,-0.23461427182100003
ACH-000009,-0.215569962865
ACH-000011,-0.615817771944
ACH-000012,-0.146136033674
ACH-000013,-0.240353372639
ACH-000014,-0.277025012952
ACH-000015,-0.37375466651100003
ACH-000017,-0.27274707644499996
ACH-000018,-0.44119878517
ACH-000019,-0.124967447631
ACH-000021,-0.24360671694000002
ACH-000022,-0.247411357275
ACH-000025,-0.261458425452
ACH-000028,-0.209577907784
ACH-000030,-0.218104018292
ACH-000035,-0.237495311769
ACH-000036,-0.187515021201
ACH-000037,-0.283632895288
ACH-000039,-0.177929105761
ACH-000040,-0.399135511898
ACH-000041,-0.389266857117
ACH-000042,-0.257990879788
ACH-000045,-0.148629884543
ACH-000047,-0.28735094979000003
ACH-000052,-0.0367275592393
ACH-000053,-0.139277833452
ACH-000054,-0.27526955993200003
ACH-000055,-0.565485072682
ACH-000060,-0.457880432503
ACH-000067,-0.20119749065200002
ACH-000070,-0.279817851224
ACH-000075,-0.399116599576
ACH-000078,-0.13081448549900002
ACH-000082,-0.243685881647
ACH-000085,-0.290366355626
ACH-000086,-0.512070187355
ACH-000087,-0.13570450665699998
ACH-000092,-0.117851430385
ACH-000095,-0.26151111587
ACH-000097,-0.215428314235
ACH-000098,-0.252015356927
ACH-000099,-0.142333586239
ACH-000108,-0.277938102867
ACH-000113,-0.148957270308
ACH-000115,-0.40479402003799997
ACH-000116,-0.221444780041
ACH-000118,-0.23417899626400002
ACH-000120,-0.21439005561000002
ACH-000123,-0.251876057473
ACH-000127,-0.180336024046
ACH-000128,-0.223911796579
ACH-000132,-0.219353555341
ACH-000133,-0.22819536293200002
ACH-000137,-0.230172008213
ACH-000138,-0.141396100732
ACH-000142,-0.162792196398
ACH-000143,-0.281091542495
ACH-000146,-0.0938002945415
ACH-000148,-0.34242165106
ACH-000150,-0.42153106856399997
ACH-000152,-0.312768197147
ACH-000153,-0.370960075638
ACH-000159,-0.12087144955700001
ACH-000160,-0.17500133314
ACH-000163,-0.408716514516
ACH-000167,-0.37699813772600005
ACH-000168,-0.340178416857
ACH-000169,-0.306553488305
ACH-000178,-0.30136913050700004
ACH-000182,-0.287577572888
ACH-000183,-0.242138635846
ACH-000188,-0.270675521411
ACH-000189,-0.521712774761
ACH-000190,-0.180479025852
ACH-000198,-0.326950090952
ACH-000204,-0.302788937969
ACH-000206,-0.10261478552600001
ACH-000207,-0.311848475601
ACH-000211,-0.27896082520300003
ACH-000215,-0.189438402816
ACH-000221,-0.302171861802
ACH-000222,-0.192953171855
ACH-000223,-0.324523914138
ACH-000226,-0.035054679846
ACH-000227,-0.12292037122199999
ACH-000228,-0.5135150237839999
ACH-000231,-0.300424515137
ACH-000232,-0.271203358847
ACH-000233,-0.24248587330200003
ACH-000234,-0.31803303807100003
ACH-000235,-0.30291435142900003
ACH-000237,-0.226978865673
ACH-000238,-0.12294470903799999
ACH-000243,-0.40103628494099997
