,CCT7 (10574)
ACH-000004,-0.389232747758
ACH-000007,-0.274982267369
ACH-000009,-0.609979103277
ACH-000011,-0.505010423977
ACH-000012,-0.436373487257
ACH-000013,-0.659455768585
ACH-000014,-0.510261329399
ACH-000015,-0.43830585047700005
ACH-000017,-0.436410073579
ACH-000018,-0.741825973937
ACH-000019,-0.5839468314999999
ACH-000021,-0.385234629444
ACH-000022,-0.572263072128
ACH-000025,-0.5297340967440001
ACH-000028,-0.489656689604
ACH-000030,-0.625052043401
ACH-000035,-0.450784783199
ACH-000036,-0.705099250028
ACH-000037,-0.623028975534
ACH-000039,-0.713814496602
ACH-000040,-0.810305725226
ACH-000041,-0.44385756494999995
ACH-000042,-0.47087075697999997
ACH-000045,-0.6852191753820001
ACH-000047,-0.5566925484440001
ACH-000052,-0.24130001695599998
ACH-000053,-0.625578461816
ACH-000054,-0.491942723319
ACH-000055,-0.47114315646300003
ACH-000060,-0.410187878363
ACH-000067,-0.441631357297
ACH-000070,-0.837690900569
ACH-000075,-0.462779464938
ACH-000078,-0.352339079919
ACH-000082,-0.852011431636
ACH-000085,-0.719762075825
ACH-000086,-0.7725602402509999
ACH-000087,-0.26935724449799997
ACH-000092,-0.528274759289
ACH-000095,-0.558223530627
ACH-000097,-0.5623155576100001
ACH-000098,-0.7041722854449999
ACH-000099,-0.278250925237
ACH-000108,-0.39081870557899995
ACH-000113,-0.527728489588
ACH-000115,-0.716199610538
ACH-000116,-0.39691310266900004
ACH-000118,-0.434940511049
ACH-000120,-0.370482499841
ACH-000123,-0.528411142302
ACH-000127,-0.52747360387
ACH-000128,-0.594888030645
ACH-000132,-0.40358941886699995
ACH-000133,-0.70182699384
ACH-000137,-0.463418727698
ACH-000138,-0.378785483546
ACH-000142,-0.6783781279819999
ACH-000143,-0.40022435660899996
ACH-000146,-0.381399802137
ACH-000148,-0.627481277096
ACH-000150,-0.669220110889
ACH-000152,-0.635485360477
ACH-000153,-0.384816528873
ACH-000159,-0.592440423096
ACH-000160,-0.526556355743
ACH-000163,-0.515065322626
ACH-000167,-0.640522271407
ACH-000168,-0.885142918038
ACH-000169,-0.7632955623469999
ACH-000178,-0.41825502255400004
ACH-000182,-0.6203447670800001
ACH-000183,-0.328032984586
ACH-000188,-0.6898378635369999
