,AARD (441376)
ACH-000004,-0.0867286234371
ACH-000007,-0.19421417062600002
ACH-000009,-0.0706185520507
ACH-000011,-0.31699329007599997
ACH-000012,-0.166456233082
ACH-000013,-0.09657387789289999
ACH-000014,-0.149512964742
ACH-000015,-0.17091903269900002
ACH-000017,-0.48357184563999994
ACH-000018,-0.260661482585
ACH-000019,-0.24858167102899997
ACH-000021,-0.138299287749
ACH-000022,-0.364860091931
ACH-000025,-0.185194924381
ACH-000028,-0.144035506793
ACH-000030,-0.154585434735
ACH-000035,-0.12507662128799998
ACH-000036,-0.302733748315
ACH-000037,-0.37377309856799995
ACH-000039,-0.107146500419
ACH-000040,-0.08729252984689999
ACH-000041,-0.194178067332
ACH-000042,-0.353396715484
ACH-000045,-0.23783757495400001
ACH-000047,-0.158076646978
ACH-000052,-0.19920166101
ACH-000053,-0.20997245637000003
ACH-000054,-0.249075439938
ACH-000055,-0.285478053115
ACH-000060,-0.33715546682899994
ACH-000067,-0.211295605047
ACH-000070,-0.305538031469
ACH-000075,-0.178233624408
ACH-000078,-0.103517396908
ACH-000082,-0.272974157065
ACH-000085,-0.240620281721
ACH-000086,-0.23598678672499998
ACH-000087,-0.341123855006
ACH-000092,-0.203805901037
ACH-000095,0.0145957197367
ACH-000097,-0.227529589292
ACH-000098,-0.191140987093
ACH-000099,-0.198170262105
ACH-000108,-0.30921770368
ACH-000113,-0.04833816460419999
ACH-000115,-0.321881500799
ACH-000116,-0.145397933246
ACH-000118,-0.34356527625699995
ACH-000120,-0.340995321916
ACH-000123,-0.12402160525900001
ACH-000127,-0.150424718761
ACH-000128,-0.35642171119000005
ACH-000132,-0.349725541499
ACH-000133,-0.34286531560500005
ACH-000137,0.162370437455
ACH-000138,-0.217496935673
ACH-000142,-0.00395301231217
ACH-000143,-0.0263936172129
ACH-000146,-0.186467752111
ACH-000148,-0.21545623897
ACH-000150,-0.903300661379
ACH-000152,-0.32103829617400004
ACH-000153,-0.156086529851
ACH-000159,-0.176154604903
ACH-000160,-0.21441605498799998
ACH-000163,-0.20631404265500003
ACH-000167,-0.15129849886
ACH-000168,-0.108672797051
ACH-000169,-0.0966168384222
ACH-000178,-0.330112507572
ACH-000182,-0.322566890403
ACH-000183,-0.33751197082900003
ACH-000188,-0.145283481592
ACH-000189,0.0452788361698
ACH-000190,-0.35730599632200005
ACH-000198,-0.2576265405
ACH-000204,-0.124989465713
ACH-000206,-0.0682553744824
ACH-000207,-0.0490285441516
ACH-000211,-0.205920941161
ACH-000215,-0.221406373297
ACH-000221,-0.195170089835
ACH-000222,-0.250226471237
ACH-000223,-0.32418436488
ACH-000226,-0.160405313774
ACH-000227,-0.249347305237
ACH-000228,-0.16858293574000002
ACH-000231,-0.11515050747300001
ACH-000232,-0.218656467333
ACH-000233,-0.198072276157
ACH-000234,-0.43158665517300004
ACH-000235,-0.257314110315
ACH-000237,-0.204137343481
ACH-000238,-0.178913706957
ACH-000243,-0.17171465283
ACH-000244,-0.160011197896
ACH-000246,-0.400936900169
ACH-000248,-0.482669316109
ACH-000250,-0.29120566118
ACH-000251,-0.430724743768
ACH-000253,-0.163571122658
ACH-000255,-0.07759498791210001
ACH-000256,-0.212001825959
ACH-000257,-0.13542395659700002
ACH-000258,-0.20490710332400003
ACH-000259,-0.148026298844
ACH-000260,-0.241657665339
ACH-000261,-0.256986577849
ACH-000262,-0.252791939594
ACH-000263,-0.34771126509000005
ACH-000264,-0.226526473737
ACH-000265,-0.529248235802
ACH-000266,-0.22144014883699997
ACH-000272,-0.22895752835000002
ACH-000273,-0.210126696838
ACH-000274,0.022310371643500002
ACH-000277,-0.7599727538169999
ACH-000278,-0.012268538901
ACH-000279,-0.44719027867100003
ACH-000280,-0.452523159381
ACH-000281,-0.435938381108
ACH-000288,-0.0259673761531
ACH-000291,-0.149276793429
ACH-000293,-0.29759563120099997
ACH-000294,-0.102084196752
ACH-000295,-0.198348278059
ACH-000296,-0.031663460459599994
ACH-000302,-0.0922367706955
ACH-000304,-0.2427634134
ACH-000307,-0.33766813335100004
ACH-000308,-0.292724848461
ACH-000310,-0.0900243661981
ACH-000311,-0.0790076653322
ACH-000312,-0.121776508212
ACH-000315,-0.22031572186999998
ACH-000316,-0.27241517437699997
ACH-000317,-0.368249433271
ACH-000318,-0.08997862366730001
ACH-000319,-0.155710189653
ACH-000320,-0.280309597457
ACH-000322,-0.40319622459700005
ACH-000323,-0.0317822607053
ACH-000324,-0.14065264178300002
ACH-000329,-0.129599221791
ACH-000330,-0.30737287502300004
ACH-000331,-0.10187259522500001
ACH-000332,-0.291855347418
ACH-000334,-0.155555492982
ACH-000335,-0.121600809905
ACH-000336,-0.488773116839
ACH-000337,-0.526762588554
ACH-000339,-0.128776146337
ACH-000341,-0.00923886151206
ACH-000348,-0.283448781277
