,ATP6V0B (533)
ACH-000004,-1.496390594
ACH-000007,-1.5713916082700001
ACH-000009,-1.5352508246799998
ACH-000011,-1.31465407534
ACH-000012,-1.5661487000299998
ACH-000013,-1.22892644859
ACH-000014,-1.64187679049
ACH-000015,-1.43321758544
ACH-000017,-1.27345924012
ACH-000018,-1.32832526485
ACH-000019,-1.7246843907499998
ACH-000021,-1.57236456949
ACH-000022,-1.6957378936399998
ACH-000025,-1.4008717858200002
ACH-000028,-1.3112080268100001
ACH-000030,-1.49548138486
ACH-000035,-1.51492407843
ACH-000036,-1.55243045767
ACH-000037,-1.81049226143
ACH-000039,-1.55649776157
ACH-000040,-1.4426399385
ACH-000041,-1.1810383416399999
ACH-000042,-1.17046894668
ACH-000045,-1.54115493895
ACH-000047,-1.3662102918
ACH-000052,-1.59732946136
ACH-000053,-1.63374989164
ACH-000054,-1.4157020783399998
ACH-000055,-1.3782462403100002
ACH-000060,-1.41768945801
ACH-000067,-1.2526956608700002
ACH-000070,-1.57230624614
ACH-000075,-1.4067988598299999
ACH-000078,-1.39142232418
ACH-000082,-1.15830698829
ACH-000085,-1.5279894022
ACH-000086,-1.23848665411
ACH-000087,-1.21605554314
ACH-000092,-1.3235205879
ACH-000095,-1.65335542294
ACH-000097,-1.6328067500299999
ACH-000098,-1.4614553216100001
ACH-000099,-1.48332687081
ACH-000108,-1.6655739234600002
ACH-000113,-1.36796802655
ACH-000115,-1.4106105530200002
ACH-000116,-1.52195962072
ACH-000118,-1.3568649244100002
ACH-000120,-1.35903005259
ACH-000123,-1.2787390323
ACH-000127,-1.50178382062
ACH-000128,-1.42816877718
ACH-000132,-1.44708060245
ACH-000133,-1.58524257984
ACH-000137,-1.16946526474
ACH-000138,-1.3120593705799999
ACH-000142,-1.46800016076
ACH-000143,-1.94836432604
ACH-000146,-1.9501916851599996
ACH-000148,-1.36751703639
ACH-000150,-1.3775006122100002
ACH-000152,-0.9704437133480001
ACH-000153,-1.28070010095
ACH-000159,-1.4274342533700002
ACH-000160,-1.3588255054499998
ACH-000163,-0.860263581576
ACH-000167,-1.9149703472
ACH-000168,-1.4497370044100002
ACH-000169,-1.5037405648700002
ACH-000178,-1.427640164
ACH-000182,-1.4623798880399999
ACH-000183,-1.58144795383
ACH-000188,-1.53164607791
ACH-000189,-1.26654915376
ACH-000190,-1.3531767607
ACH-000198,-1.56095119008
ACH-000204,-1.59843745872
ACH-000206,-1.2642267627500001
ACH-000207,-1.87668986542
ACH-000211,-1.34209352415
ACH-000215,-1.51804816744
ACH-000221,-1.4139317758599999
ACH-000222,-1.46011711215
ACH-000223,-1.75696077498
ACH-000226,-1.4576486319600002
ACH-000227,-1.37909819648
ACH-000228,-1.415585022
ACH-000231,-1.33471983784
ACH-000232,-1.47067663537
ACH-000233,-1.6390188037399998
ACH-000234,-1.5398903839700002
ACH-000235,-1.5075169321700002
ACH-000237,-1.44749432158
ACH-000238,-1.1909283526799999
ACH-000243,-1.3767919716299999
ACH-000244,-1.44803320223
ACH-000246,-1.4923411042899999
ACH-000248,-1.5425400742500002
ACH-000250,-1.2856911421100001
ACH-000251,-1.48777257162
ACH-000253,-1.49300668864
ACH-000255,-1.4218929986000002
ACH-000256,-1.5586365796000001
ACH-000257,-1.6157440315
ACH-000258,-1.94317421495
ACH-000259,-1.5837596073700002
ACH-000260,-1.51032022256
ACH-000261,-1.65882121414
ACH-000262,-1.4629945932
ACH-000263,-1.81141128412
ACH-000264,-1.73739704194
ACH-000265,-1.39793635841
ACH-000266,-1.49081058889
ACH-000272,-1.68268605856
ACH-000273,-1.36144685588
ACH-000274,-1.12886625712
ACH-000277,-1.91865000216
ACH-000278,-1.15827504098
ACH-000279,-1.4332725270200002
ACH-000280,-1.4680098038799998
ACH-000281,-1.1324184277200002
ACH-000288,-1.3930697293099998
ACH-000291,-1.34665806927
ACH-000293,-1.67472159447
ACH-000294,-1.6422657550400002
ACH-000295,-1.4820899578
ACH-000296,-1.94962441857
ACH-000302,-1.55250400866
ACH-000304,-1.59666740947
ACH-000307,-1.4168488391799998
ACH-000308,-1.53694799506
ACH-000310,-1.64368155644
ACH-000311,-1.47748436094
ACH-000312,-1.50197590493
ACH-000315,-1.74233932583
ACH-000316,-1.4857656481900001
ACH-000317,-1.5535295932100002
ACH-000318,-1.3491648259600002
ACH-000319,-1.53056039285
ACH-000320,-1.4849402924500001
ACH-000322,-1.5430696734600002
ACH-000323,-0.672242553216
ACH-000324,-1.23309500191
ACH-000329,-1.4327586197799997
ACH-000330,-1.60754379852
ACH-000331,-1.48019656449
ACH-000332,-1.49285423041
ACH-000334,-1.8907724443599998
ACH-000335,-1.14408894517
ACH-000336,-1.69752092461
ACH-000337,-1.24962551355
ACH-000339,-1.5381183337
ACH-000341,-1.33862551606
ACH-000348,-1.71224749211
ACH-000350,-1.63542314002
ACH-000352,-1.5402266161700002
ACH-000356,-1.574113505
ACH-000361,-1.3027149653
ACH-000362,-1.58030217762
ACH-000363,-1.7686829738900003
ACH-000364,-1.2344954818
ACH-000365,-1.4598148386899998
ACH-000366,-1.65846074168
ACH-000368,-1.28734714817
ACH-000374,-1.41590632016
ACH-000375,-1.6470966566
ACH-000376,-1.33064021049
ACH-000381,-1.2701790551799998
ACH-000383,-1.67347488549
ACH-000387,-1.29849079791
ACH-000389,-1.3960851080599999
ACH-000390,-1.62279194646
ACH-000393,-1.61734706826
ACH-000395,-1.2621282118000001
ACH-000397,-1.54630133095
ACH-000401,-1.4957465257299998
ACH-000402,-1.8352935539300002
ACH-000403,-1.8954845446200002
ACH-000404,-1.63251067332
ACH-000406,-1.5800026743200002
ACH-000407,-1.60844287164
ACH-000408,-1.60009012024
ACH-000410,-1.50263303083
ACH-000411,-1.39816991426
ACH-000414,-1.6582252386
ACH-000415,-1.6236623102599999
ACH-000416,-1.6052726302899998
ACH-000420,-1.3441784777
ACH-000421,-1.4627600014500002
ACH-000424,-1.2484181541600001
ACH-000425,-1.60208352616
ACH-000426,-1.94590490699
ACH-000427,-1.90611090692
ACH-000433,-1.18907970646
ACH-000436,-1.6602736276899999
ACH-000444,-1.62012714127
ACH-000445,-1.71706375845
ACH-000448,-1.4699337182899999
ACH-000450,-1.54029093197
ACH-000452,-1.43263956899
ACH-000454,-1.0563522165299999
ACH-000458,-1.55644742388
ACH-000459,-1.5285181728
ACH-000460,-1.46971862921
ACH-000461,-1.48695217412
ACH-000463,-1.13391968524
ACH-000464,-1.7113847450400002
ACH-000466,-1.62216922682
ACH-000467,-1.4560137409799998
ACH-000468,-1.8852990579099997
ACH-000469,-1.4297947842299998
ACH-000470,-1.70342701683
ACH-000471,-1.53451951351
ACH-000472,-1.71879479532
ACH-000473,-1.3002743258299998
ACH-000475,-1.48238134426
ACH-000476,-1.66040309156
ACH-000477,-2.47469557378
ACH-000480,-1.5927974213499998
ACH-000481,-1.5401489363299998
ACH-000483,-1.41366193799
ACH-000484,-1.69476131757
ACH-000485,-1.6872986510199999
ACH-000486,-1.30423690013
ACH-000487,-1.48719439983
ACH-000488,-1.41932975054
ACH-000490,-1.49125568199
ACH-000491,-1.63947333379
ACH-000495,-1.08757714664
ACH-000496,-1.47194581394
ACH-000499,-1.22472127167
ACH-000500,-1.72054680707
ACH-000502,-1.5799573090799999
ACH-000503,-1.3211091888700002
ACH-000505,-1.41131559134
ACH-000507,-1.44499057843
ACH-000510,-1.46828204248
ACH-000511,-1.51041115992
ACH-000512,-1.58914837209
ACH-000516,-1.33233362545
ACH-000517,-1.5521750655200002
ACH-000518,-1.42161676766
ACH-000520,-1.6485522360499998
ACH-000521,-1.5754902043799999
ACH-000522,-1.41724760344
ACH-000524,-1.67845866743
ACH-000527,-1.4081863428
ACH-000528,-1.50054462308
ACH-000537,-1.4218509158200001
ACH-000541,-1.7194576064099998
ACH-000542,-1.3002619287200001
ACH-000544,-1.5441564839
ACH-000545,-1.49463460628
ACH-000547,-0.918318092244
ACH-000548,-1.6701591996399998
ACH-000549,-1.43153255602
ACH-000550,-1.3998582857600002
ACH-000552,-1.47271618303
ACH-000556,-1.46808792146
ACH-000557,-1.9616725201099998
ACH-000570,-1.5712906581400001
ACH-000571,-1.86444150898
ACH-000573,-1.6468954622299998
ACH-000576,-1.5903463091699999
ACH-000580,-1.7802062245599997
ACH-000584,-1.50774456572
ACH-000585,-1.49376706217
ACH-000588,-1.6542739038499998
ACH-000589,-1.3383228812899999
ACH-000591,-1.30214353137
ACH-000593,-1.6054332351499998
ACH-000600,-1.9065199556799999
ACH-000601,-1.4388592574399999
ACH-000604,-1.6392722245299998
ACH-000605,-1.5914243115200002
ACH-000606,-1.4015472514899998
ACH-000608,-1.65490034303
ACH-000614,-1.6367404166400001
ACH-000616,-1.2253636491
ACH-000618,-1.47434577386
ACH-000619,-1.38974298498
ACH-000620,-1.4688645929700002
ACH-000621,-1.64870488215
ACH-000622,-1.7753903970599998
ACH-000623,-1.70261170472
ACH-000624,-1.4144986324000002
ACH-000627,-1.4396780033899998
ACH-000630,-1.34762239593
ACH-000632,-1.55447349324
ACH-000633,-1.75628913393
ACH-000637,-1.0626109600799998
ACH-000638,-1.48829583113
ACH-000646,-2.2557608355200003
ACH-000647,-1.31389693097
ACH-000648,-1.7675539544099999
ACH-000649,-1.5492681643200001
ACH-000651,-1.40787098482
ACH-000652,-1.34564281671
ACH-000653,-1.855583556
ACH-000657,-1.615789229
ACH-000658,-1.70931703502
ACH-000661,-1.6134410506
ACH-000662,-1.4499303996700001
ACH-000663,-1.30345565965
ACH-000665,-1.25704711573
