,UBE2H (7328)
ACH-000004,-0.158613734415
ACH-000007,-0.308681487651
ACH-000009,-0.28548895691
ACH-000011,-0.9020777433310001
ACH-000012,-0.680342801197
ACH-000013,-0.681055088381
ACH-000014,-0.7427020245170001
ACH-000015,-0.270492498568
ACH-000017,-0.948149122057
ACH-000018,-0.39874401291699996
ACH-000019,-1.0344187224099999
ACH-000021,-0.46310292826399996
ACH-000022,-0.10404000107400001
ACH-000025,-0.50379452612
ACH-000028,-1.0207519404899998
ACH-000030,-1.00897768643
ACH-000035,-0.6497082908039999
ACH-000036,-0.585316893372
ACH-000037,-0.638443254609
ACH-000039,-0.9187178682189999
ACH-000040,-0.5880643608380001
ACH-000041,-0.453384916598
ACH-000042,-0.687260366734
ACH-000045,-0.603684634113
ACH-000047,-0.7384537442039999
ACH-000052,-0.754774183784
ACH-000053,0.24528661235100002
ACH-000054,-0.52102709796
ACH-000055,-0.669192060717
ACH-000060,-0.770387103519
ACH-000067,-0.555726453102
ACH-000070,-0.773339165376
ACH-000075,-0.221245863444
ACH-000078,-0.52191674933
ACH-000082,-1.0903423081299999
ACH-000085,-0.9731555743089999
ACH-000086,-0.404212258481
ACH-000087,-0.482901072425
ACH-000092,-1.2037786095999998
ACH-000095,-0.487207004721
ACH-000097,-1.03549683451
ACH-000098,-0.7672355346140001
ACH-000099,-0.631056955267
ACH-000108,-0.7183858413959999
ACH-000113,-0.754928610709
ACH-000115,-0.7764697647859999
ACH-000116,-0.978579553329
ACH-000118,-0.854527594382
ACH-000120,-0.6826397567839999
ACH-000123,-0.35247596906499995
ACH-000127,-0.501223699897
ACH-000128,-0.494393970362
ACH-000132,-0.651228220754
ACH-000133,-0.759653873671
ACH-000137,-0.618845080717
ACH-000138,-0.711043427335
ACH-000142,-1.00542260138
ACH-000143,-0.628970252897
ACH-000146,-0.49151116761299996
ACH-000148,-0.368374882013
ACH-000150,-0.32624845471299996
ACH-000152,-0.58076621908
ACH-000153,-0.878454204736
ACH-000159,-0.342268101418
ACH-000160,-0.305621903224
ACH-000163,-0.307025068597
ACH-000167,-0.6343912395970001
ACH-000168,-0.0924792346951
ACH-000169,-0.047175724124499996
ACH-000178,-0.7526248520990001
ACH-000182,-0.766203687028
ACH-000183,-0.4364110459100001
ACH-000188,-0.308391269001
ACH-000189,-0.5950422748340001
ACH-000190,-0.7273139936859999
ACH-000198,-0.306387580274
ACH-000204,-0.33013638475699997
ACH-000206,-0.11253695622099999
ACH-000207,-0.747682640942
ACH-000211,-0.628221699408
ACH-000215,-0.234013758141
ACH-000221,-0.0489758534435
ACH-000222,-0.884470124598
ACH-000223,-0.5641174560719999
ACH-000226,-0.297109406294
ACH-000227,-0.040540271942199994
ACH-000228,-0.8108403084520001
ACH-000231,-0.927076815474
ACH-000232,-0.578483326255
ACH-000233,-0.393103032393
ACH-000234,-0.388032257565
ACH-000235,-0.717022181609
ACH-000237,-0.7451222043629999
ACH-000238,-0.398358301857
ACH-000243,-0.905215301135
ACH-000244,0.0462967169898
ACH-000246,-0.8822747822560001
ACH-000248,-0.4480316145
ACH-000250,-0.566275677655
ACH-000251,-0.7813707083670001
ACH-000253,-0.6110194419899999
ACH-000255,-0.5761175365060001
ACH-000256,-0.306599580377
ACH-000257,-0.321618706781
ACH-000258,-0.7124643697220001
ACH-000259,-0.8475390445209999
ACH-000260,-0.45947040845200005
ACH-000261,-0.569532659705
ACH-000262,-0.55730558784
ACH-000263,-0.656536522084
ACH-000264,-0.749646893803
ACH-000265,-0.215116890541
ACH-000266,-0.8997970628899999
ACH-000272,-0.645954549089
ACH-000273,-0.867765130817
ACH-000274,-1.02623635587
ACH-000277,-0.45448016804200003
ACH-000278,-0.480029699057
ACH-000279,-0.35840804595700004
ACH-000280,-0.879859292115
ACH-000281,-0.670027751023
ACH-000288,-0.8221248987440001
ACH-000291,-0.47012232676700005
ACH-000293,-0.706294805245
ACH-000294,-0.352838691248
ACH-000295,-0.5636090044950001
ACH-000296,-0.38864784188900003
ACH-000302,-0.758705120239
ACH-000304,-0.86077575286
ACH-000307,-0.7209717561460001
ACH-000308,-0.38024463796499997
ACH-000310,-0.442572375005
ACH-000311,-0.657442688443
ACH-000312,-0.632093917349
ACH-000315,-0.00015837826282399998
ACH-000316,-0.07726951013319999
ACH-000317,-0.6640961969879999
ACH-000318,-0.9164188241069999
ACH-000319,-0.189987704725
ACH-000320,-0.49353144156
ACH-000322,-0.577662765489
ACH-000323,-0.0546728837495
ACH-000324,-0.295552465253
ACH-000329,-0.0379554053996
ACH-000330,-0.8631079226080001
ACH-000331,-1.00080642116
ACH-000332,-0.577342367348
ACH-000334,-1.01087397954
ACH-000335,-0.41291465036200004
ACH-000336,-0.9757247702959999
ACH-000337,-0.698050762371
ACH-000339,-0.104384063347
ACH-000341,-0.271364145094
ACH-000348,-0.538721158037
ACH-000350,-0.760760664147
ACH-000352,-0.8512954154350001
ACH-000356,-0.593053198318
ACH-000361,-0.495323985069
ACH-000362,-0.217654980842
ACH-000363,-0.491040691701
ACH-000364,-0.490166613361
ACH-000365,-0.292827654046
ACH-000366,-0.674378041802
ACH-000368,-0.796536001692
ACH-000374,-0.588537556672
ACH-000375,-0.852853511134
ACH-000376,-0.524181737461
ACH-000381,-0.47471940254600004
ACH-000383,-0.384726478203
ACH-000387,-0.25398085304
ACH-000389,-0.147586498334
ACH-000390,-0.141785892905
ACH-000393,-0.257598661482
ACH-000395,-0.5076032234669999
ACH-000397,-1.18485762721
ACH-000401,-0.588372352182
ACH-000402,-0.385065082258
ACH-000403,-0.919203034363
ACH-000404,-0.8591316933069999
ACH-000406,-0.256853022393
ACH-000407,-0.273857064102
ACH-000408,-0.289886143762
ACH-000410,-0.663619835538
ACH-000411,-0.776940702694
ACH-000414,-0.306234219486
ACH-000415,-0.410800575529
ACH-000416,-0.671561424123
ACH-000420,-0.329921398944
ACH-000421,-0.390993999547
ACH-000424,-0.559014189937
ACH-000425,-0.513744010677
ACH-000426,-0.38214705761999995
ACH-000427,-0.993685515724
ACH-000433,-0.303404298292
ACH-000436,-0.360166240237
ACH-000444,-0.53425554831
ACH-000445,-0.387955784141
ACH-000448,-1.1912568486700001
ACH-000450,-0.693084910746
ACH-000452,-0.706654375445
ACH-000454,-0.6033837479590001
ACH-000458,-0.421900815487
