,SPIRE1 (56907)
ACH-000004,0.32196276610999996
ACH-000007,-0.32006930256099997
ACH-000009,-0.0221806830782
ACH-000011,0.238297655955
ACH-000012,0.09100922755219999
ACH-000013,0.160200421585
ACH-000014,0.18606816248
ACH-000015,0.20856390619000004
ACH-000017,0.0213225487678
ACH-000018,0.24998988967099997
ACH-000019,0.09754606102369999
ACH-000021,0.0322353588831
ACH-000022,0.0890140493996
ACH-000025,-0.0272117214624
ACH-000028,0.06377392742169999
ACH-000030,0.053362175678199994
ACH-000035,0.0012340562821199998
ACH-000036,-0.122003743793
ACH-000037,0.186043617815
ACH-000039,0.030252722431099995
ACH-000040,0.0112581062269
ACH-000041,0.146062649169
ACH-000042,-0.140110670322
ACH-000045,0.13014332032700002
ACH-000047,0.08542610623050001
ACH-000052,-0.0647138285704
ACH-000053,0.0779354427559
ACH-000054,0.21678481618599998
ACH-000055,0.0632875402085
ACH-000060,0.0876059656858
ACH-000067,0.18041777034
ACH-000070,0.048451830032199994
ACH-000075,0.228300835913
ACH-000078,0.05870499339319999
ACH-000082,0.152941112942
ACH-000085,0.200112893638
ACH-000086,0.17167480781599997
ACH-000087,0.0141846882736
ACH-000092,0.062421405163500004
ACH-000095,0.143843158052
ACH-000097,0.0909573402049
ACH-000098,-0.0835659258382
ACH-000099,0.0914725651715
ACH-000108,0.046369209989700004
ACH-000113,0.07187753014119999
ACH-000115,0.04405204705059999
ACH-000116,0.0513467287737
ACH-000118,0.0477290234293
ACH-000120,0.19248191831099998
ACH-000123,0.118899029537
ACH-000127,0.0518210379915
ACH-000128,0.17073044696400003
ACH-000132,0.124366071412
ACH-000133,-0.0212115591862
ACH-000137,0.0032110333605700004
ACH-000138,-0.064162076627
ACH-000142,0.05019001743030001
ACH-000143,0.24763985664500002
ACH-000146,-0.00865591418064
ACH-000148,0.105032479986
ACH-000150,-0.0373876585489
ACH-000152,-0.00979812803344
ACH-000153,0.36260068426
ACH-000159,0.113077209194
ACH-000160,-0.07465770338700001
ACH-000163,0.0970625447346
ACH-000167,0.0379760357549
ACH-000168,0.123684074404
ACH-000169,0.027354790488499998
ACH-000178,0.273466206803
ACH-000182,0.11205392547399999
ACH-000183,0.11573598335799999
ACH-000188,0.10215670228700001
ACH-000189,0.119628754352
ACH-000190,-0.08533541559739999
ACH-000198,-0.0024086188852100003
ACH-000204,0.11085229528200001
ACH-000206,0.0486720168444
ACH-000207,-0.26852686437199996
ACH-000211,0.0612944520053
ACH-000215,0.0194457471813
ACH-000221,0.179466067564
