,PPM1N (147699)
ACH-000004,-0.129750871106
ACH-000007,0.03839749259
ACH-000009,-0.044665065305399994
ACH-000011,-0.295564441586
ACH-000012,-0.041568300115
ACH-000013,-0.22357718403299998
ACH-000014,0.0130575071181
ACH-000015,0.00903365170387
ACH-000017,0.0504186919987
ACH-000018,-0.261047420751
ACH-000019,-0.190329935127
ACH-000021,-0.0298302757571
ACH-000022,-0.106304108746
ACH-000025,0.18640457179
ACH-000028,-0.179257150813
ACH-000030,-0.166336062158
ACH-000035,0.0539421518937
ACH-000036,-0.054009893857
ACH-000037,-0.149646037548
ACH-000039,0.226749537658
ACH-000040,-0.294324326742
ACH-000041,0.080640495758
ACH-000042,0.0324248743814
ACH-000045,-0.152568249811
ACH-000047,-0.204909366613
ACH-000052,-0.258982811638
ACH-000053,-0.145738743767
ACH-000054,-0.0629658145371
ACH-000055,-0.19363377459699999
ACH-000060,0.0518471781309
ACH-000067,-0.0144473071139
ACH-000070,-0.225961886413
ACH-000075,-0.141078314068
ACH-000078,0.07459783494160001
ACH-000082,-0.0366178513411
ACH-000085,0.0725402446382
ACH-000086,0.10090437613700001
ACH-000087,-0.35574837362800005
ACH-000092,-0.310942737865
ACH-000095,-0.144231900931
ACH-000097,-0.142599852314
ACH-000098,-0.0169200946331
ACH-000099,-0.030061878728299997
ACH-000108,-0.251991210928
ACH-000113,-0.013103661363600002
ACH-000115,-0.171621558429
ACH-000116,0.0463180111057
ACH-000118,-0.042855045852899995
ACH-000120,-0.267798336608
ACH-000123,0.00407871029286
ACH-000127,-0.225294959978
ACH-000128,-0.196321388024
ACH-000132,-0.152804346918
ACH-000133,-0.0317885463603
ACH-000137,-0.061064411553800005
ACH-000138,-0.0601498605141
ACH-000142,-0.32144945847199996
ACH-000143,-0.23155516639899998
ACH-000146,-0.031142373727500002
ACH-000148,-0.073384550591
ACH-000150,-0.273102451852
ACH-000152,-0.42975541289700003
ACH-000153,-0.368401215976
ACH-000159,-0.22067435843000002
ACH-000160,-0.10347575451999999
ACH-000163,-0.131166959235
ACH-000167,-0.0279448165235
ACH-000168,-0.269513885165
ACH-000169,-0.0156868734159
ACH-000178,-0.0930763468805
ACH-000182,-0.10973759089099999
ACH-000183,0.0503627481201
ACH-000188,-0.164163103298
ACH-000189,-0.538531886588
ACH-000190,-0.12633433157500001
ACH-000198,0.0822028137153
ACH-000204,0.0611364639056
ACH-000206,0.253292756244
ACH-000207,-0.061814332611800006
ACH-000211,0.134857686831
ACH-000215,-0.07162174552060001
ACH-000221,-0.0910935186418
ACH-000222,-0.135889128583
ACH-000223,0.0549299067932
ACH-000226,-0.170177082659
ACH-000227,0.0464916276957
ACH-000228,-0.089867788157
ACH-000231,0.08690004186210001
ACH-000232,0.0933043535806
ACH-000233,0.0524273357732
ACH-000234,-0.0181849607227
ACH-000235,-0.153546067851
ACH-000237,-0.0532332736203
ACH-000238,-0.15507310803899998
ACH-000243,0.078215676135
ACH-000244,0.0269526309374
ACH-000246,0.0467274661042
ACH-000248,-0.07481535626710001
ACH-000250,-0.143799679575
ACH-000251,-0.0843886704014
ACH-000253,-0.0176838870053
ACH-000255,-0.165736715263
ACH-000256,-0.327471831549
ACH-000257,-0.198721179052
ACH-000258,0.0343857679085
ACH-000259,-0.17420517543699998
ACH-000260,-0.19269696811
ACH-000261,-0.023931297147
ACH-000262,-0.10063140565999999
ACH-000263,-0.383272262258
ACH-000264,-0.0435259666584
