,ENKD1 (84080)
ACH-000004,-0.301465051494
ACH-000007,-0.29311263204300003
ACH-000009,-0.203202632099
ACH-000011,-0.217910175581
ACH-000012,-0.46374698758999994
ACH-000013,-0.272233293416
ACH-000014,-0.237000140362
ACH-000015,-0.349668423715
ACH-000017,-0.21740360980999998
ACH-000018,-0.345856497602
ACH-000019,-0.344999588016
ACH-000021,-0.295346641127
ACH-000022,-0.23974535662500002
ACH-000025,-0.12932179032299998
ACH-000028,-0.159494025058
ACH-000030,-0.297014437935
ACH-000035,-0.181949988728
ACH-000036,-0.447518093666
ACH-000037,-0.140716465483
ACH-000039,-0.292106928993
ACH-000040,-0.163727498726
ACH-000041,-0.219164738265
ACH-000042,-0.26901870557199997
ACH-000045,-0.336830092165
ACH-000047,-0.252804813979
ACH-000052,-0.14144530114
ACH-000053,-0.358867137527
ACH-000054,-0.313204541575
ACH-000055,-0.043926188951699995
ACH-000060,-0.456279389049
ACH-000067,-0.333371445573
ACH-000070,-0.1260118491
ACH-000075,-0.430371489999
ACH-000078,-0.37553472341099997
ACH-000082,-0.290017916255
ACH-000085,-0.35071722975599995
ACH-000086,-0.442225328308
ACH-000087,-0.0528541648381
ACH-000092,-0.256892817638
ACH-000095,-0.305882234584
ACH-000097,-0.382891222175
ACH-000098,-0.5189307136399999
ACH-000099,-0.36530287266999995
ACH-000108,-0.30568251679200004
ACH-000113,-0.32194235745
ACH-000115,-0.275625540388
ACH-000116,-0.313951975834
ACH-000118,-0.28126481969300005
ACH-000120,-0.456552569103
ACH-000123,-0.386782307255
ACH-000127,-0.396817300946
ACH-000128,-0.12745454668700001
ACH-000132,-0.45129907270099995
ACH-000133,-0.20899761958299998
ACH-000137,-0.446132648302
ACH-000138,-0.276795836209
ACH-000142,-0.247795787416
ACH-000143,-0.28775316709000004
ACH-000146,-0.40891564292099997
ACH-000148,-0.321091083879
ACH-000150,-0.20042677605099998
ACH-000152,-0.398721629557
ACH-000153,-0.141329636968
ACH-000159,-0.235356993387
ACH-000160,-0.231994901349
ACH-000163,-0.0288934516594
ACH-000167,-0.145387795332
ACH-000168,-0.471385131998
ACH-000169,-0.0901253554355
ACH-000178,-0.335071396631
ACH-000182,-0.297408180925
ACH-000183,-0.22947162754099998
ACH-000188,-0.199206688308
ACH-000189,-0.345571807492
ACH-000190,-0.189043665926
ACH-000198,-0.197956651283
ACH-000204,-0.39377523693000005
ACH-000206,-0.309161597108
ACH-000207,-0.0866184688667
ACH-000211,-0.381588603454
ACH-000215,-0.306537991032
ACH-000221,-0.48169372838
ACH-000222,-0.0898049050245
ACH-000223,-0.08396651290139999
ACH-000226,-0.37596520151999996
ACH-000227,-0.233666300563
ACH-000228,-0.24532775833700002
ACH-000231,-0.46131216424099997
ACH-000232,-0.452432937227
ACH-000233,-0.257855026536
ACH-000234,-0.0718421584498
ACH-000235,-0.405209296756
ACH-000237,-0.354088359784
ACH-000238,-0.32071876619899997
ACH-000243,-0.27832416692699996
ACH-000244,-0.28689832396299997
ACH-000246,-0.413063492734
ACH-000248,-0.348478196949
ACH-000250,-0.215018736972
ACH-000251,-0.346241626609
ACH-000253,-0.145547815405
ACH-000255,-0.38895033225299996
ACH-000256,-0.147745190061
ACH-000257,-0.355248339447
ACH-000258,-0.0747115984896
ACH-000259,-0.290749323965
ACH-000260,-0.503921431039
ACH-000261,-0.448393070537
ACH-000262,-0.46357138092600003
ACH-000263,-0.369785333821
ACH-000264,-0.280205318846
ACH-000265,-0.221340067121
ACH-000266,-0.303810932611
ACH-000272,-0.24794354655900003
ACH-000273,-0.0332756640782
ACH-000274,-0.115622278503
ACH-000277,-0.310687626856
ACH-000278,-0.27628824813499997
ACH-000279,-0.269499913632
ACH-000280,-0.283583910341
ACH-000281,-0.480563394992
ACH-000288,-0.531858633537
ACH-000291,-0.192994669877
ACH-000293,-0.376471053309
ACH-000294,-0.44142802002400006
ACH-000295,-0.26877153416
ACH-000296,-0.283073638899
ACH-000302,-0.257687767244
ACH-000304,-0.78510662676
ACH-000307,-0.415190908954
ACH-000308,-0.221081941556
ACH-000310,-0.356573885741
ACH-000311,-0.37406013093699997
ACH-000312,-0.351431802428
ACH-000315,-0.137142275503
ACH-000316,-0.288822357427
ACH-000317,-0.274507651836
ACH-000318,-0.0596241957718
ACH-000319,-0.38967430315800006
ACH-000320,-0.335968813639
ACH-000322,-0.457636389086
ACH-000323,-0.205649715698
ACH-000324,-0.243131162264
ACH-000329,-0.34833634958099996
ACH-000330,-0.259097511873
ACH-000331,-0.27943050854400003
ACH-000332,-0.205840384258
ACH-000334,-0.30210112393399996
ACH-000335,-0.26502221748300003
ACH-000336,0.12232328862500001
ACH-000337,-0.419201770282
ACH-000339,-0.287898554169
ACH-000341,-0.392692580366
ACH-000348,-0.336777896036
ACH-000350,-0.48205264564499994
ACH-000352,-0.26582691221099997
ACH-000356,-0.260119241556
ACH-000361,-0.619765024664
