,MUM1 (84939)
ACH-000682,-0.0816351511727
ACH-000683,-0.0676488691533
ACH-000684,-0.09059131187380001
ACH-000688,-0.09269484797830001
ACH-000693,0.0573010583602
ACH-000694,-0.0297724644367
ACH-000695,-0.0347587771994
ACH-000696,0.062191902590300004
ACH-000697,-0.13037696706399998
ACH-000699,-0.0407642244949
ACH-000701,0.027328636527999998
ACH-000706,-0.0772632542909
ACH-000711,0.06562430475650001
ACH-000713,0.060637151192899995
ACH-000714,-0.0447907768013
ACH-000718,0.0472155763706
ACH-000720,0.0534669574051
ACH-000721,-0.0534639736304
ACH-000724,0.13555158961
ACH-000725,0.080568416799
ACH-000732,-0.10655120740499999
ACH-000734,-0.0659199463165
ACH-000735,-0.0431049672683
ACH-000736,0.22714290035999998
ACH-000738,0.11484518309800001
ACH-000746,0.129102366527
ACH-000747,-0.0313613835933
ACH-000748,0.0932331795166
ACH-000753,0.046524053281
ACH-000756,0.135715281782
ACH-000757,0.11979903459899999
ACH-000758,-0.0858590561936
ACH-000760,-0.059726282913100004
ACH-000763,0.20629885136300002
ACH-000764,0.0846392114741
ACH-000765,0.12186056743899999
ACH-000766,0.00346429537692
ACH-000767,0.0310165670067
ACH-000768,-0.166129262064
ACH-000769,-0.0640856128819
ACH-000770,-0.10826385526799999
ACH-000771,0.0575427907689
ACH-000773,0.0594402501284
ACH-000776,0.0526328482536
ACH-000777,0.045584158109599995
ACH-000778,0.0644556296081
ACH-000781,-0.0288016556446
ACH-000782,0.122466127267
ACH-000783,0.016028480063
ACH-000784,0.163011964313
ACH-000785,-0.0375572515744
ACH-000787,0.10490563851399999
ACH-000788,-0.0271907005992
ACH-000791,-0.07730781314139999
ACH-000792,-0.05821807826809999
ACH-000794,-0.051996631244700005
ACH-000796,-0.0487935206288
ACH-000799,-0.0847946165426
ACH-000800,-0.148245460479
ACH-000802,0.0344828140848
ACH-000804,-0.35759104678099995
ACH-000805,0.022945512368200003
ACH-000809,-0.0695635975323
ACH-000810,-0.0916209201678
ACH-000811,-0.0201336665675
ACH-000817,0.247301222656
ACH-000819,0.07650504618819999
ACH-000820,0.112842093552
ACH-000821,-0.26507116122499996
ACH-000822,0.000996085183151
ACH-000823,0.0863035458513
ACH-000824,0.15438925868699999
ACH-000827,0.05484634375419999
ACH-000829,0.034147163269799996
ACH-000831,-0.07035307622119999
ACH-000832,-0.137051347784
ACH-000833,-0.04897698238
ACH-000834,-0.134560133886
ACH-000835,0.0692041055745
ACH-000836,0.051372402042800004
ACH-000837,0.012696960933700001
ACH-000838,0.243664566869
ACH-000839,0.0113461901363
ACH-000840,0.39516424652500004
ACH-000841,-0.0534582981484
ACH-000843,0.00958357135991
ACH-000846,0.0104053135151
ACH-000847,0.111151248398
ACH-000848,-0.026219710074900003
ACH-000849,-0.0035229676725
ACH-000851,-0.0865946675949
ACH-000855,0.29197038117199997
ACH-000856,0.0849311411892
ACH-000858,-0.0164812947229
ACH-000859,-0.130332841386
ACH-000861,0.0656841639412
ACH-000862,0.231542783726
ACH-000865,-0.055895951571500006
ACH-000866,0.127562506931
ACH-000867,-0.0649533464196
ACH-000869,0.09504080313539999
ACH-000872,-0.036167533747800004
ACH-000873,-0.0315729069538
ACH-000876,0.050203182362699994
ACH-000878,0.108213275071
ACH-000880,0.037373787776099995
ACH-000881,-0.0960734991494
ACH-000882,0.08647612675239999
ACH-000884,-0.07769076228130001
ACH-000885,0.021916077678200002
ACH-000887,-0.0406539813438
ACH-000888,0.152713181142
ACH-000889,0.0668200320972
ACH-000890,0.027882209136
ACH-000896,-0.0036987170000999997
ACH-000898,-0.029326230002799998
ACH-000900,-0.00760309306813
ACH-000901,-0.0667545788023
ACH-000905,0.0677824090374
ACH-000906,0.051547991461199996
ACH-000907,0.0200217198135
ACH-000910,0.12948443056199999
ACH-000911,0.07714537432389999
ACH-000912,-0.136753286779
ACH-000913,0.0527330289351
ACH-000915,0.0355895627072
ACH-000916,-0.013750490408100002
ACH-000917,0.148656184193
ACH-000921,-0.12423620895
ACH-000924,0.09591995039010001
