,HECTD1 (25831)
ACH-000004,-0.5767492009399999
ACH-000007,-0.40684730350599996
ACH-000009,-0.557463448931
ACH-000011,-0.743085529058
ACH-000012,-0.43952592215499997
ACH-000013,-0.629101650412
ACH-000014,-0.717985291093
ACH-000015,-0.650172196257
ACH-000017,-1.14751469069
ACH-000018,-0.961300024929
ACH-000019,-0.647545586907
ACH-000021,-0.37268183247500003
ACH-000022,-0.6827132877940001
ACH-000025,-0.424014864977
ACH-000028,-0.8124945519619999
ACH-000030,-0.5626137895359999
ACH-000035,-0.292177850132
ACH-000036,-0.552939682573
ACH-000037,-0.6547780366170001
ACH-000039,-0.742675695078
ACH-000040,-0.798556731201
ACH-000041,-0.885155761738
ACH-000042,-0.649123977588
ACH-000045,-0.378813781933
ACH-000047,-0.5100774127619999
ACH-000052,-0.8359751169040001
ACH-000053,-0.527254639624
ACH-000054,-0.58587510118
ACH-000055,-0.405501126565
ACH-000060,-0.953513376204
ACH-000067,-0.925074235005
ACH-000070,-0.30268527708500004
ACH-000075,-0.23859240431200002
ACH-000078,-0.339445119107
ACH-000082,-0.8497990372509999
ACH-000085,-0.7136829855169999
ACH-000086,-0.31799477689
ACH-000087,-0.990132762425
ACH-000092,-0.596055532524
ACH-000095,-0.495328711689
ACH-000097,-0.894369086563
ACH-000098,-0.513759523197
ACH-000099,-0.838754505528
ACH-000108,-0.253338933962
ACH-000113,-0.7041128343
ACH-000115,-1.21921321162
ACH-000116,-0.9884317620899999
ACH-000118,-0.322975211723
ACH-000120,-1.01922600341
ACH-000123,-1.13936812414
ACH-000127,-0.48175404626400004
ACH-000128,-0.392017075541
ACH-000132,-0.519850579974
ACH-000133,-0.8460770210100002
ACH-000137,-0.122855701811
ACH-000138,-0.664745063392
ACH-000142,-0.580027255789
ACH-000143,-0.748782063013
ACH-000146,-0.746326751094
ACH-000148,-1.1256264500700002
ACH-000150,-0.42065930398400003
ACH-000152,-0.782116416971
ACH-000153,-0.0949664372522
ACH-000159,-0.393020087566
ACH-000160,-1.26327664713
ACH-000163,-1.10223230133
ACH-000167,-0.867914913931
ACH-000168,-0.869280788093
ACH-000169,-0.6295026181260001
ACH-000178,-0.720624780471
ACH-000182,-0.476831413401
ACH-000183,-1.1940916402700001
ACH-000188,-1.04966297404
ACH-000189,-0.388936405907
ACH-000190,-0.48139492429700004
ACH-000198,-0.394064578964
ACH-000204,-0.655555470091
ACH-000206,-0.477745415246
ACH-000207,-1.4176502672799998
ACH-000211,-0.603626197105
ACH-000215,-0.538487502721
ACH-000221,-0.46123797244
ACH-000222,-0.307996950368
ACH-000223,-0.927983531957
ACH-000226,-0.371119307147
ACH-000227,-0.715450955879
ACH-000228,-0.9745071765209999
ACH-000231,-0.940293794341
ACH-000232,-0.9357099947959999
ACH-000233,-0.136635747116
ACH-000234,-0.664173476773
ACH-000235,-0.68271041715
ACH-000237,-0.460364794754
ACH-000238,-0.9310953164219999
ACH-000243,-0.571611274768
ACH-000244,-0.579503853746
ACH-000246,-0.609022123455
ACH-000248,-1.01499194908
ACH-000250,-0.7088798017569999
ACH-000251,-0.609494181061
ACH-000253,-0.224875858542
ACH-000255,-0.509248228491
ACH-000256,-0.392100302294
ACH-000257,-0.9632724578299999
ACH-000258,-0.568011612734
ACH-000259,-0.56529080262
ACH-000260,-0.7477290244079999
ACH-000261,-0.853981163401
ACH-000262,-0.7414452894760001
ACH-000263,-0.5216617411550001
ACH-000264,-0.487040911847
ACH-000265,-0.437279670238
ACH-000266,-0.580170176241
ACH-000272,-0.253918562603
ACH-000273,-0.120229525611
ACH-000274,-0.367250448498
ACH-000277,-1.2743414453
ACH-000278,-0.798077322444
