,ANKRD34A (284615)
ACH-000004,-0.0824572493488
ACH-000007,0.164912420959
ACH-000009,-0.138901670752
ACH-000011,-0.281279474228
ACH-000012,-0.205970507899
ACH-000013,-0.006654332104879999
ACH-000014,0.0068184252381300004
ACH-000015,-0.123888650828
ACH-000017,-0.0222508890293
ACH-000018,-0.001994328628
ACH-000019,-0.277364806749
ACH-000021,-0.225659288924
ACH-000022,-0.153987001979
ACH-000025,-0.030757164024
ACH-000028,-0.162313454607
ACH-000030,-0.24495611434700001
ACH-000035,-0.254404155309
ACH-000036,-0.185975070258
ACH-000037,-0.18557098894299998
ACH-000039,-0.38327936226
ACH-000040,-0.11271227768400001
ACH-000041,0.019207376097400003
ACH-000042,-0.12742595202999998
ACH-000045,-0.0666864567792
ACH-000047,0.06082577770380001
ACH-000052,0.10402640925899999
ACH-000053,-0.136198558805
ACH-000054,-0.103716891013
ACH-000055,0.025154606566400003
ACH-000060,-0.500152832203
ACH-000067,-0.09055087751730001
ACH-000070,0.08611317235210002
ACH-000075,-0.202520752549
ACH-000078,-0.039334452518599995
ACH-000082,-0.0810132892057
ACH-000085,-0.330980481333
ACH-000086,-0.0808645416169
ACH-000087,-0.10929134152999999
ACH-000092,-0.153789496942
ACH-000095,-0.13797561739
ACH-000097,-0.07899092671630001
ACH-000098,-0.19608066728
ACH-000099,-0.0131542961204
ACH-000108,-0.0238002222607
ACH-000113,-0.0983423503192
ACH-000115,-0.187236807506
ACH-000116,-0.18098614498100002
ACH-000118,-0.14626447821799998
ACH-000120,-0.188846952288
ACH-000123,-0.17097284892900003
ACH-000127,-0.152909255824
ACH-000128,-0.24118127368099998
ACH-000132,-0.0941205457452
ACH-000133,-0.25429518713599997
ACH-000137,0.149102092689
ACH-000138,-0.018019255555499998
ACH-000142,-0.28543500876
ACH-000143,-0.31526589576200004
ACH-000146,-0.13598973103700002
ACH-000148,-0.0214783052267
ACH-000150,-0.00248225954266
ACH-000152,-0.313044432519
ACH-000153,-0.336000681913
ACH-000159,-0.0969780665054
ACH-000160,-0.0871163213865
ACH-000163,-0.12382640067600001
ACH-000167,-0.0104253273714
ACH-000168,-0.173910159707
ACH-000169,-0.154738520964
ACH-000178,0.0728012831872
ACH-000182,-0.189618554377
ACH-000183,-0.185050331757
