,PKN3 (29941)
ACH-000004,-0.157317200204
ACH-000007,-0.0979894990126
ACH-000009,-0.40449926608000003
ACH-000011,-0.22614441383499997
ACH-000012,-0.43564209593599995
ACH-000013,-0.260040746207
ACH-000014,-0.226092497565
ACH-000015,-0.311446463414
ACH-000017,-0.19586324602699998
ACH-000018,-0.369604413388
ACH-000019,-0.303682412725
ACH-000021,-0.275226070764
ACH-000022,-0.316946032658
ACH-000025,0.042511998649
ACH-000028,0.0035823599907800004
ACH-000030,-0.308424846284
ACH-000035,-0.226557548659
ACH-000036,-0.18566052964899998
ACH-000037,-0.192383663959
ACH-000039,-0.320052913473
ACH-000040,-0.25720352592900003
ACH-000041,-0.0750078765062
ACH-000042,-0.504417244528
ACH-000045,-0.344406287384
ACH-000047,-0.20900753018800003
ACH-000052,-0.05315195123409999
ACH-000053,-0.358897230118
ACH-000054,-0.29505586985800003
ACH-000055,-0.323244423821
ACH-000060,-0.217688541454
ACH-000067,-0.330897852949
ACH-000070,-0.107327460131
ACH-000075,-0.399567115531
ACH-000078,-0.173761647059
ACH-000082,-0.215359341645
ACH-000085,-0.505738433441
ACH-000086,-0.180946963804
ACH-000087,-0.208349422005
ACH-000092,-0.141733386195
ACH-000095,-0.131605043681
ACH-000097,-0.177233124525
ACH-000098,-0.233386376885
ACH-000099,-0.272266516
ACH-000108,-0.413408196629
ACH-000113,-0.0746823740035
ACH-000115,-0.457309155801
ACH-000116,-0.20568720853300002
ACH-000118,-0.17588266360899998
ACH-000120,-0.368069955599
ACH-000123,-0.159993484254
ACH-000127,-0.17601765400400002
ACH-000128,-0.23068122053000004
ACH-000132,-0.254165667093
ACH-000133,-0.052653934659400006
ACH-000137,-0.297802094519
ACH-000138,-0.27100579385699997
ACH-000142,-0.111673433091
ACH-000143,-0.0304380438618
ACH-000146,-0.12499416774599999
ACH-000148,-0.289959945821
ACH-000150,-0.267468214685
ACH-000152,-0.255260292197
ACH-000153,-0.164875705077
ACH-000159,-0.281527304007
ACH-000160,-0.22883326598
ACH-000163,-0.353675676388
ACH-000167,-0.475255590254
ACH-000168,-0.375296832527
ACH-000169,-0.09734009909800001
ACH-000178,-0.279326658707
ACH-000182,-0.259995385355
ACH-000183,-0.297224674824
ACH-000188,-0.49904002080700005
ACH-000189,-0.11084564905899999
ACH-000190,-0.255603698341
ACH-000198,-0.290581459618
ACH-000204,-0.17583316605799998
ACH-000206,-0.24738978759799998
ACH-000207,-0.284284678465
ACH-000211,-0.0665920370113
ACH-000215,-0.182519129912
ACH-000221,-0.18476163641899998
ACH-000222,-0.1807602279
ACH-000223,-0.17337777005199997
ACH-000226,-0.17465030452599997
ACH-000227,-0.18324780214000003
ACH-000228,-0.0815536338307
ACH-000231,-0.105728922335
ACH-000232,-0.180197500164
ACH-000233,-0.424292926417
ACH-000234,-0.26291288421799996
