,ASNS (440)
ACH-000004,-0.0879737983561
ACH-000007,-0.526270944666
ACH-000009,-0.6967121383120001
ACH-000011,-0.6069109803
ACH-000012,-0.367933228873
ACH-000013,-0.134786173471
ACH-000014,-0.643361501677
ACH-000015,-0.172780551523
ACH-000017,-0.15740532051
ACH-000018,-0.0708711716955
ACH-000019,-0.233124276901
ACH-000021,-0.335891151922
ACH-000022,-0.699271243298
ACH-000025,-1.0009987570299999
ACH-000028,-0.857544866543
ACH-000030,-0.244441889479
ACH-000035,-0.34755224662399997
ACH-000036,-0.762030565264
ACH-000037,-0.376638974283
ACH-000039,-0.724270220591
ACH-000040,-0.6769550822239999
ACH-000041,-0.190307528485
ACH-000042,-0.20034773225699998
ACH-000045,-0.355626613094
ACH-000047,-0.340007570885
ACH-000052,-0.142264579413
ACH-000053,-0.1526448433
ACH-000054,-0.495996411452
ACH-000055,-0.535826056122
ACH-000060,-0.342348462002
ACH-000067,-0.657699068587
ACH-000070,-0.6416473626210001
ACH-000075,-0.28598008376899997
ACH-000078,-0.566355721476
ACH-000082,-0.252014822377
ACH-000085,-0.27977370547200003
ACH-000086,-0.00132764272582
ACH-000087,-0.26270724236299997
ACH-000092,-0.273818621054
ACH-000095,-0.284120545108
ACH-000097,-0.375980213666
ACH-000098,-0.21835733151999998
ACH-000099,-0.366484983257
ACH-000108,-0.195464681059
ACH-000113,-0.360659726654
ACH-000115,-0.367076680114
ACH-000116,-0.348037056313
ACH-000118,-0.371046035422
ACH-000120,-0.399912620685
ACH-000123,-0.48393124901999995
ACH-000127,-0.23869687415399998
ACH-000128,-0.38875651737499994
ACH-000132,-0.44415465643999996
ACH-000133,-0.541227288557
ACH-000137,-0.934451655413
ACH-000138,-0.860619506434
ACH-000142,-0.97616264528
ACH-000143,-0.0960405378292
ACH-000146,-0.18245579505999998
ACH-000148,-0.518669238571
ACH-000150,-0.361029570039
ACH-000152,-0.34371611940200003
ACH-000153,-0.531211185278
ACH-000159,-0.438042437192
ACH-000160,-0.12962026459599998
ACH-000163,-0.284768881045
ACH-000167,-0.8065159404009999
ACH-000168,-0.216898213596
ACH-000169,-0.126469591485
ACH-000178,-0.720317321712
ACH-000182,-0.21200963982
ACH-000183,-0.297932114707
ACH-000188,-0.41225078931500003
ACH-000189,-0.5423949516219999
ACH-000190,-0.369800482096
ACH-000198,-0.398209997034
ACH-000204,-0.41292121104999996
ACH-000206,-0.0494492982039
ACH-000207,-0.07091492852339999
ACH-000211,-0.914099732279
ACH-000215,-0.428791986487
ACH-000221,-0.43578107921099996
ACH-000222,-0.48410718177100004
ACH-000223,-0.5035551245350001
ACH-000226,-0.503632831506
ACH-000227,-0.34962740954899996
ACH-000228,-0.397188439586
ACH-000231,-0.32604022047200004
ACH-000232,-0.592527942859
ACH-000233,-0.185447618421
ACH-000234,-0.22838318461999998
ACH-000235,-0.246603419431
ACH-000237,-0.368411223344
ACH-000238,-0.187693281448
ACH-000243,-0.167079871899
ACH-000244,-0.431128420868
ACH-000246,-0.404268526945
ACH-000248,-0.5032988527059999
ACH-000250,-0.24871776543699997
ACH-000251,-0.550282745184
ACH-000253,-0.19073486622699998
ACH-000255,-0.212974802929
ACH-000256,-0.585761864101
ACH-000257,-0.08346335542910001
ACH-000258,-0.10705088322999999
ACH-000259,-0.25486086635899996
ACH-000260,-0.319234193173
ACH-000261,-1.0063446270899998
ACH-000262,-0.440757376905
ACH-000263,-0.277831612621
ACH-000264,-0.91033624905
ACH-000265,-0.220440885548
ACH-000266,-0.281467806622
ACH-000272,-0.47781447473300004
ACH-000273,-0.27310648542800003
ACH-000274,-0.397635778847
ACH-000277,-0.108329344724
ACH-000278,-0.2984579668
ACH-000279,-0.258342849325
ACH-000280,-0.0938483476706
ACH-000281,-0.20512228624899997
ACH-000288,-0.31037289712099997
ACH-000291,-0.345475899449
ACH-000293,-0.425633368067
ACH-000294,-0.117521433715
ACH-000295,-0.318236634291
ACH-000296,-0.42709345294100004
ACH-000302,-0.0463151624053
ACH-000304,-0.596778906159
ACH-000307,-0.16256313834799999
ACH-000308,-0.5102340061249999
ACH-000310,-0.5774545829
ACH-000311,-0.295931190648
ACH-000312,-0.39375933570699995
ACH-000315,-0.0892412334646
ACH-000316,-0.022833141094400003
ACH-000317,-0.262434096052
ACH-000318,-0.649950639621
ACH-000319,-0.49460531889
ACH-000320,-0.42206798937
ACH-000322,-0.432580311293
ACH-000323,-0.5158604889280001
ACH-000324,-0.41882429927299997
ACH-000329,-0.18474123288600003
ACH-000330,-0.392146272939
ACH-000331,-0.305072404844
ACH-000332,-0.265903135019
ACH-000334,-0.67037065573
ACH-000335,-0.21395631573499999
ACH-000336,-0.422219170246
ACH-000337,-0.438572252902
ACH-000339,-0.433406318814
ACH-000341,-0.265834530086
ACH-000348,-0.288903509294
ACH-000350,-0.249374002691
ACH-000352,-0.329292809937
ACH-000356,-0.140200306395
ACH-000361,-0.572489200948
ACH-000362,-0.329370042857
ACH-000363,-0.341030180336
ACH-000364,-0.34242433386
ACH-000365,-0.222863788187
ACH-000366,-0.046079314577400006
ACH-000368,-0.160194226673
ACH-000374,-0.559635062773
ACH-000375,-0.253118437844
ACH-000376,-0.348033892857
ACH-000381,-0.318037644184
ACH-000383,-0.261151542245
ACH-000387,-0.382148081016
ACH-000389,-0.301016730931
ACH-000390,-0.333695124982
ACH-000393,-0.7411264084829999
ACH-000395,-0.187103449481
ACH-000397,-0.43954177187700005
ACH-000401,-0.167405320865
ACH-000402,-0.38072753000200005
ACH-000403,-0.37828955161600003
ACH-000404,-0.327194134986
ACH-000406,-0.17674220013300002
ACH-000407,-0.447773303102
ACH-000408,-0.440398483148
ACH-000410,-0.18531357390500003
ACH-000411,-0.517820621533
ACH-000414,-0.484298421413
ACH-000415,-0.43852130645900006
ACH-000416,-0.199710811354
ACH-000420,-0.38014476309399997
ACH-000421,-0.311367757096
ACH-000424,-0.216949934759
ACH-000425,-0.384938243688
ACH-000426,0.0314830339029
ACH-000427,-0.450260106893
ACH-000433,-0.42039057945
ACH-000436,-0.40537550646700005
ACH-000444,-0.0373589549323
ACH-000445,-0.531303247017
ACH-000448,-0.360233177866
ACH-000450,-0.428479647067
ACH-000452,-0.24171762476199998
ACH-000454,-0.11302575359200001
ACH-000458,-0.101184570965
ACH-000459,-0.596518912478
ACH-000460,-0.40762852792599996
ACH-000461,-0.497994825272
ACH-000463,-0.17746499404599997
ACH-000464,-0.472761972724
ACH-000466,-0.069855294399
ACH-000467,-0.683769551923
ACH-000468,-0.243926185452
ACH-000469,-0.193419816757
ACH-000470,-0.315626354051
ACH-000471,-0.180008138809
ACH-000472,-0.65026045111
ACH-000473,-0.414403039006
ACH-000475,-0.701543627254
ACH-000476,-0.741748364507
ACH-000477,-0.368118611164
ACH-000480,-0.408129501284
ACH-000481,-0.22642845354200003
ACH-000483,-0.211421952008
ACH-000484,-0.810804743489
ACH-000485,-0.604941191754
ACH-000486,-0.44101286211
ACH-000487,-0.26276914160799997
ACH-000488,-0.24050735247900001
ACH-000490,-0.36820452135799997
ACH-000491,-0.345348124433
ACH-000495,-1.02142184905
ACH-000496,-0.210449170905
ACH-000499,-0.416523044643
ACH-000500,-0.09392085828050001
ACH-000502,-0.266407069533
ACH-000503,-0.703917476634
ACH-000505,-0.28162772043
ACH-000507,-0.350530567848
ACH-000510,-0.30376959075800003
ACH-000511,-0.36155734452200006
ACH-000512,-0.407993672114
ACH-000516,-0.15724901266799998
ACH-000517,-0.104021115827
ACH-000518,-0.5516187562039999
ACH-000520,-0.9548081028859999
ACH-000521,-0.256322001882
ACH-000522,-0.696485953195
