,NDUFA13 (51079)
ACH-000004,-0.09021189696149999
ACH-000007,-0.320534656224
ACH-000009,-0.218488519361
ACH-000011,0.00785958448768
ACH-000012,-0.45288873959700005
ACH-000013,-0.37666050577699994
ACH-000014,-0.33779185582599996
ACH-000015,-0.671408857158
ACH-000017,-0.4312250127
ACH-000018,-0.226529651184
ACH-000019,-0.521943662414
ACH-000021,-0.382193296562
ACH-000022,-0.277372839957
ACH-000025,-0.39471577269599994
ACH-000028,-0.5062565664109999
ACH-000030,-0.38073587963100003
ACH-000035,-0.210888488661
ACH-000036,-0.267063760876
ACH-000037,-0.462873292657
ACH-000039,-0.380922519771
ACH-000040,-0.127971866414
ACH-000041,-0.231706969361
ACH-000042,-0.20687085140900002
ACH-000045,-0.302024963777
ACH-000047,-0.347734369238
ACH-000052,-0.167742032175
ACH-000053,-0.49800538265600003
ACH-000054,-0.214829885735
ACH-000055,-0.062246131163499994
ACH-000060,-0.16051083853700002
ACH-000067,-0.25287461318300003
ACH-000070,-0.406723496997
ACH-000075,-0.228626104601
ACH-000078,-0.355275623381
ACH-000082,-0.267953477454
ACH-000085,-0.149090203025
ACH-000086,-0.504510094962
ACH-000087,-0.23341427133200002
ACH-000092,-0.409327456694
ACH-000095,-0.211679830703
ACH-000097,-0.41739883971
ACH-000098,-0.342776802937
ACH-000099,-0.25688167081700003
ACH-000108,-0.2699302845
ACH-000113,-0.5044887545560001
ACH-000115,-0.222827943897
ACH-000116,-0.35458510344000005
ACH-000118,-0.399116058253
ACH-000120,-0.34836181867
ACH-000123,-0.275476461241
ACH-000127,-0.226925946852
ACH-000128,-0.24541750443799998
ACH-000132,-0.422644604243
ACH-000133,-0.223672619481
ACH-000137,-0.293081465702
ACH-000138,-0.33349115931999995
ACH-000142,-0.23399992824000002
ACH-000143,-0.22679205291700003
ACH-000146,-0.19931239447000001
ACH-000148,-0.223664198723
ACH-000150,-0.355816738751
ACH-000152,-0.283908321837
ACH-000153,-0.106070982861
ACH-000159,-0.344435827585
ACH-000160,-0.235249339315
ACH-000163,-0.290692658323
ACH-000167,-0.14602155570699998
ACH-000168,-0.278655962775
ACH-000169,-0.369357423658
ACH-000178,-0.236457143028
ACH-000182,-0.659384981998
ACH-000183,-0.26846742183
ACH-000188,-0.49652206001599997
ACH-000189,-0.462055103729
ACH-000190,-0.40537104014799996
ACH-000198,-0.319235091632
ACH-000204,-0.7139072260510001
ACH-000206,0.19856843664999999
ACH-000207,-0.0158476924094
ACH-000211,-0.312307789398
