,RELL2 (285613)
ACH-000004,-0.272581180791
ACH-000007,-0.097987468378
ACH-000009,-0.189276745978
ACH-000011,-0.07557895931900001
ACH-000012,-0.204518215705
ACH-000013,-0.0475619595732
ACH-000014,-0.233941161448
ACH-000015,-0.227590418188
ACH-000017,-0.125685122629
ACH-000018,-0.190539407732
ACH-000019,-0.104209987128
ACH-000021,-0.09897918252049999
ACH-000022,-0.168862317455
ACH-000025,-0.0157928752328
ACH-000028,-0.074170373882
ACH-000030,-0.116067687326
ACH-000035,-0.21079118292800003
ACH-000036,-0.11770897230699999
ACH-000037,-0.184985915124
ACH-000039,-0.27960706539200003
ACH-000040,-0.0941378155961
ACH-000041,-0.0812956330563
ACH-000042,-0.20601509324900003
ACH-000045,-0.07411691024810001
ACH-000047,-0.119983721962
ACH-000052,-0.12178834361600001
ACH-000053,-0.23356138284000003
ACH-000054,-0.222993527442
ACH-000055,-0.316876793156
ACH-000060,-0.20146279675
ACH-000067,-0.0793763572212
ACH-000070,-0.0975031343187
ACH-000075,-0.20007013059
ACH-000078,-0.08005444521130001
ACH-000082,-0.139339575939
ACH-000085,-0.35116765903700004
ACH-000086,-0.19159015421300002
ACH-000087,-0.407605289204
ACH-000092,-0.215852240053
ACH-000095,-0.06484843555
ACH-000097,-0.222576747003
ACH-000098,-0.20434416726100002
ACH-000099,-0.312808845669
ACH-000108,-0.178855283536
ACH-000113,-0.175963128551
ACH-000115,-0.0686825339057
ACH-000116,-0.129640058335
ACH-000118,-0.050450787742
ACH-000120,-0.13031944499
ACH-000123,-0.158606104361
ACH-000127,-0.29755880679200003
ACH-000128,-0.140513438896
ACH-000132,-0.127037160063
ACH-000133,-0.287437972192
ACH-000137,-0.196662024362
ACH-000138,-0.327532418432
ACH-000142,-0.08683300409320001
ACH-000143,-0.178625766507
ACH-000146,-0.104773362357
ACH-000148,-0.163452618622
ACH-000150,-0.39686589145900003
ACH-000152,-0.288468514375
ACH-000153,-0.30696309922
ACH-000159,-0.07117846511869999
ACH-000160,-0.226340491843
ACH-000163,-0.22828512383699998
ACH-000167,-0.15355786551
ACH-000168,-0.09412096416719999
ACH-000169,-0.163183876628
ACH-000178,-0.168025331443
ACH-000182,-0.208831741621
ACH-000183,-0.275388385871
ACH-000188,-0.302628243453
ACH-000189,-0.22799657831599998
ACH-000190,-0.37893335699600006
ACH-000198,-0.320050845248
ACH-000204,-0.07666684547399999
ACH-000206,0.359258252408
ACH-000207,0.0388644163469
ACH-000211,-0.124290851579
ACH-000215,-0.188541008138
ACH-000221,-0.10336774169
