,PIGO (84720)
ACH-000004,-0.459055824463
ACH-000007,-0.32161615153
ACH-000009,-0.666398018395
ACH-000011,-0.457616449921
ACH-000012,-0.20360651297899998
ACH-000013,-0.253325678577
ACH-000014,-0.392514528177
ACH-000015,-0.47265638536000004
ACH-000017,-0.349342457012
ACH-000018,-0.296815803485
ACH-000019,-0.254268799814
ACH-000021,-0.36959637309
ACH-000022,-0.286154997693
ACH-000025,-0.32836902445099997
ACH-000028,-0.311692984918
ACH-000030,-0.39462628516599996
ACH-000035,-0.45474231282899996
ACH-000036,-0.325296378597
ACH-000037,-0.34231403413
ACH-000039,-0.485993393439
ACH-000040,-0.445622506814
ACH-000041,-0.5831389326749999
ACH-000042,-0.432347043283
ACH-000045,-0.27593429825800003
ACH-000047,-0.530540355118
ACH-000052,-0.686197281617
ACH-000053,-0.26915227649900003
ACH-000054,-0.256923117389
ACH-000055,-0.44142476723499996
ACH-000060,-0.151438377255
ACH-000067,-0.312471108674
ACH-000070,-0.259584438491
ACH-000075,-0.448034064529
ACH-000078,-0.5787018467689999
ACH-000082,-0.312245108219
ACH-000085,-0.0256410714828
ACH-000086,-0.300047353663
ACH-000087,-0.461960530293
ACH-000092,-0.518483609703
ACH-000095,-0.23792345903499998
ACH-000097,-0.237372889622
ACH-000098,-0.716700533893
ACH-000099,-0.5470571925419999
ACH-000108,-0.378285221802
ACH-000113,-0.26021057600499997
ACH-000115,-0.328854154557
ACH-000116,-0.182089231335
ACH-000118,-0.41987569235600003
ACH-000120,-0.24362990528
ACH-000123,-0.484648628265
ACH-000127,-0.290097536724
ACH-000128,-0.39705980261
ACH-000132,-0.318339325264
ACH-000133,-0.278400400981
ACH-000137,-0.343123076159
ACH-000138,-0.469986970713
ACH-000142,-0.0474132839994
ACH-000143,-0.495865465155
ACH-000146,-0.267183568691
ACH-000148,-0.549172112049
ACH-000150,-0.407715573155
ACH-000152,-0.29756000086
ACH-000153,-0.23898669263500003
ACH-000159,-0.40590434742299997
ACH-000160,-0.271633026406
ACH-000163,-0.526962515503
ACH-000167,-0.22357538190600001
ACH-000168,-0.469855486036
ACH-000169,-0.257775188351
ACH-000178,-0.306055960982
ACH-000182,-0.243138686235
ACH-000183,-0.651937611931
ACH-000188,-0.493279314666
ACH-000189,-0.334429551349
ACH-000190,-0.38725978225599994
ACH-000198,-0.10558676580600002
ACH-000204,-0.269110217633
ACH-000206,-0.7319115045810001
ACH-000207,-0.048568582064800005
ACH-000211,-0.24987563873100002
ACH-000215,-0.457058304073
ACH-000221,-0.24570016936099998
ACH-000222,-0.7589754117049999
