,TUBA1A (7846)
ACH-000004,-0.24428819797200002
ACH-000007,-0.12163709192199999
ACH-000009,-0.26961830505999995
ACH-000011,-0.22874789401999998
ACH-000012,-0.448701782765
ACH-000013,-0.443667910118
ACH-000014,-0.41804198384499996
ACH-000015,-0.43380452712300005
ACH-000017,-0.370802794666
ACH-000018,-0.528375767003
ACH-000019,-0.422041504375
ACH-000021,-0.383366213172
ACH-000022,-0.231313456695
ACH-000025,-0.356040860076
ACH-000028,-0.271022785439
ACH-000030,-0.306617730713
ACH-000035,-0.145171525561
ACH-000036,-0.272007093343
ACH-000037,-0.377844113795
ACH-000039,-0.17469856197500003
ACH-000040,-0.48966198380900006
ACH-000041,-0.5521800070449999
ACH-000042,-0.15946520414999998
ACH-000045,-0.477013114687
ACH-000047,-0.26941966678199997
ACH-000052,-0.555370534475
ACH-000053,-0.353122553696
ACH-000054,-0.323277819049
ACH-000055,-0.137807940464
ACH-000060,-0.163506786146
ACH-000067,-0.354800394982
ACH-000070,-0.45945929102
ACH-000075,-0.6673448624589999
ACH-000078,-0.00987390753037
ACH-000082,-0.40003872136299995
ACH-000085,-0.254543210234
ACH-000086,-0.48717574957500004
ACH-000087,-0.384097348747
ACH-000092,-0.289579968428
ACH-000095,-0.496427642838
ACH-000097,-0.305499268015
ACH-000098,-0.286116057804
ACH-000099,-0.095481859245
ACH-000108,-0.199133656828
ACH-000113,-0.36715152206699997
ACH-000115,-0.438467965867
ACH-000116,-0.290866324382
ACH-000118,-0.32968867162300003
ACH-000120,-0.19112697808200002
ACH-000123,-0.16139022882999998
ACH-000127,-0.23679573265299997
ACH-000128,-0.538936743983
ACH-000132,-0.310078161497
ACH-000133,-0.449855541857
ACH-000137,-0.330626861268
ACH-000138,-0.302962013444
ACH-000142,-0.257086366267
ACH-000143,-0.0365730363551
ACH-000146,-0.36796390265
ACH-000148,-0.377313879928
ACH-000150,-0.361834127268
ACH-000152,-0.316235820871
ACH-000153,-0.542354020385
ACH-000159,-0.267511358739
ACH-000160,-0.327894512845
ACH-000163,-0.337748998318
ACH-000167,-0.649142625604
ACH-000168,-0.25908382938700003
ACH-000169,-0.289201246799
ACH-000178,-0.25645350739
ACH-000182,-0.28345840360999996
ACH-000183,-0.40303825984700004
ACH-000188,-0.20581879522399998
ACH-000189,-0.39671226295
ACH-000190,-0.23050655654
ACH-000198,-0.35638704028000007
ACH-000204,-0.5185426311110001
ACH-000206,-0.110659982288
ACH-000207,-0.313726496754
ACH-000211,-0.586313835722
ACH-000215,-0.32881642683
ACH-000221,-0.319061368207
ACH-000222,0.0623008481264
ACH-000223,-0.486889272588
ACH-000226,-0.183889168555
ACH-000227,0.0024110941108699997
ACH-000228,-0.269942158349
ACH-000231,-0.331423011359
ACH-000232,-0.221395214314
ACH-000233,-0.341141717113
ACH-000234,-0.316657301056
ACH-000235,-0.354276973491
ACH-000237,-0.372410427843
ACH-000238,-0.218257774699
ACH-000243,-0.22291983253800002
ACH-000244,-0.509250116692
ACH-000246,-0.403697159084
ACH-000248,-0.417762620706
ACH-000250,-0.324989233011
ACH-000251,-0.6731578369239999
ACH-000253,-0.510100397895
ACH-000255,-0.19801871528200002
ACH-000256,-0.31269210072
ACH-000257,0.183319699209
ACH-000258,-0.0663736421899
ACH-000259,-0.334249590045
ACH-000260,-0.197889973162
ACH-000261,-0.452540230652
ACH-000262,-0.137794315647
ACH-000263,-0.3007864909
ACH-000264,-0.317891793852
ACH-000265,-0.24019635516999996
ACH-000266,-0.335475408982
ACH-000272,-0.197894197223
ACH-000273,-0.38673450682899996
ACH-000274,-0.444790395804
ACH-000277,-0.17095383167800002
ACH-000278,-0.31021665394299996
ACH-000279,-0.426145185699
ACH-000280,-0.205604891378
ACH-000281,-0.368733846341
ACH-000288,-0.389187301845
ACH-000291,-0.366640825372
ACH-000293,-0.17221263850699997
ACH-000294,-0.385788000277
ACH-000295,-0.175848104381
ACH-000296,-0.151768029798
ACH-000302,-0.44900952697499996
ACH-000304,-0.320249956208
ACH-000307,-0.321451658839
ACH-000308,-0.343796860672
ACH-000310,-0.125486170579
ACH-000311,-0.0310745376853
ACH-000312,-0.325190960878
ACH-000315,-0.29958581221
ACH-000316,-0.429590034401
ACH-000317,-0.273315882792
ACH-000318,-0.148482509813
ACH-000319,-0.261577849025
ACH-000320,-0.0425451208612
ACH-000322,-0.209923222461
ACH-000323,-0.0530836737426
ACH-000324,-0.29728068783100003
ACH-000329,-0.502448360548
ACH-000330,-0.21908746092300002
ACH-000331,-0.356432549959
ACH-000332,-0.309016925838
ACH-000334,-0.415335687746
ACH-000335,-0.5633182969680001
ACH-000336,-0.436102787132
ACH-000337,-0.535850395335
ACH-000339,-0.285677872181
ACH-000341,-0.021375273263500003
ACH-000348,-0.24051718654800003
ACH-000350,-0.220555263008
ACH-000352,-0.260793671745
ACH-000356,-0.32665632506
ACH-000361,-0.481279317179
ACH-000362,-0.0982628116476
ACH-000363,-0.273585983774
ACH-000364,-0.203695479779
ACH-000365,-0.41973335035099996
ACH-000366,-0.421221939141
ACH-000368,-0.33314130148800003
ACH-000374,-0.592194008757
ACH-000375,-0.393926515375
ACH-000376,-0.33058197034000003
ACH-000381,0.03151114651859999
ACH-000383,-0.151875178166
ACH-000387,-0.33825117355800005
ACH-000389,-0.201028164902
ACH-000390,-0.258427207557
ACH-000393,-0.35400713589599997
ACH-000395,-0.460246939826
ACH-000397,-0.16669315258099998
ACH-000401,-0.549252448401
ACH-000402,-0.33221170526
ACH-000403,-0.194951291099
ACH-000404,-0.197612666483
ACH-000406,-0.309177205941
ACH-000407,-0.433038691568
ACH-000408,-0.328619901318
ACH-000410,-0.298790198329
ACH-000411,-0.433258839418
ACH-000414,-0.363559421851
ACH-000415,-0.244674414441
ACH-000416,-0.32309105481600003
ACH-000420,-0.298353632494
ACH-000421,-0.427197820211
ACH-000424,0.0636444259306
ACH-000425,-0.30495761829
ACH-000426,-0.175686731747
ACH-000427,-0.575391504271
ACH-000433,-0.151416210744
ACH-000436,-0.249265282551
ACH-000444,-0.201305039235
ACH-000445,-0.268520944651
