,USH2A (7399)
ACH-000004,-0.0678872790515
ACH-000007,-0.0480425817736
ACH-000009,0.0524302009432
ACH-000011,0.331864562378
ACH-000012,0.06549571727009999
ACH-000013,0.142250056741
ACH-000014,-0.00421689429709
ACH-000015,0.128521570103
ACH-000017,0.123550852717
ACH-000018,-0.04810917055240001
ACH-000019,0.0258308287019
ACH-000021,0.025741197473900003
ACH-000022,0.027119583714299997
ACH-000025,0.00498358366979
ACH-000028,0.0372620135082
ACH-000030,0.017872096482400002
ACH-000035,0.110659398016
ACH-000036,-0.0310386468436
ACH-000037,0.399781146843
ACH-000039,0.17616746117600002
ACH-000040,-0.107761967291
ACH-000041,0.06560439356060001
ACH-000042,0.170402393335
ACH-000045,0.139664400577
ACH-000047,0.016269568629100003
ACH-000052,0.130635406602
ACH-000053,0.033790226345
ACH-000054,0.08464385773610002
ACH-000055,0.0833952335205
ACH-000060,0.1005609125
ACH-000067,0.185339176459
ACH-000070,-0.224062258382
ACH-000075,-0.0843589430521
ACH-000078,0.11026594426200001
ACH-000082,-0.024287412657499997
ACH-000085,0.00149786709317
ACH-000086,0.16149937497400002
ACH-000087,0.0301504710978
ACH-000092,0.08727057927330001
ACH-000095,0.020416133444700002
ACH-000097,0.148142959124
ACH-000098,0.10609025956700001
ACH-000099,0.0187759685444
ACH-000108,0.0506053971414
ACH-000113,0.144572986954
ACH-000115,0.111536689124
ACH-000116,0.160670465109
ACH-000118,0.0617940758256
ACH-000120,0.09881350057150001
ACH-000123,0.054537018831000005
ACH-000127,0.130894755459
ACH-000128,0.295388352894
ACH-000132,-0.0736924585441
ACH-000133,0.163491257072
ACH-000137,0.11591363189500001
ACH-000138,0.107581373587
ACH-000142,0.141821163338
ACH-000143,0.26459353300599997
ACH-000146,0.049929476785
ACH-000148,0.000667949057432
ACH-000150,0.247340290849
ACH-000152,0.07138223629099999
ACH-000153,0.311145302229
ACH-000159,0.139058007847
ACH-000160,0.198325901431
ACH-000163,0.118996855068
ACH-000167,0.0594215562156
ACH-000168,0.011864142877100001
ACH-000169,0.159886055066
ACH-000178,0.10757609749500001
ACH-000182,-0.0135969889059
