,RFT1 (91869)
ACH-000004,-1.17363320678
ACH-000007,-1.1863654345399999
ACH-000009,-1.17353805747
ACH-000011,-0.8267109904530001
ACH-000012,-1.03125490545
ACH-000013,-1.08461508009
ACH-000014,-1.2067500579100001
ACH-000015,-1.2709539091
ACH-000017,-1.0112425589799998
ACH-000018,-1.08878264525
ACH-000019,-0.984371683065
ACH-000021,-0.945800959516
ACH-000022,-1.0405248642899998
ACH-000025,-0.9429958704539999
ACH-000028,-1.2020387240700001
ACH-000030,-1.20784551927
ACH-000035,-1.04921087832
ACH-000036,-1.03249927458
ACH-000037,-0.981732716701
ACH-000039,-0.813841552069
ACH-000040,-1.08950627046
ACH-000041,-1.2083195343700002
ACH-000042,-1.3561105951399999
ACH-000045,-1.14612422062
ACH-000047,-1.06732883927
ACH-000052,-1.08130176174
ACH-000053,-0.825206946092
ACH-000054,-1.14176313116
ACH-000055,-1.2055950480600002
ACH-000060,-1.10645989495
ACH-000067,-1.3043741249
ACH-000070,-0.880156964316
ACH-000075,-1.09856402665
ACH-000078,-1.23203736958
ACH-000082,-0.8872095518430001
ACH-000085,-1.3851139164700002
ACH-000086,-1.015019963
ACH-000087,-1.14139575245
ACH-000092,-1.17048287938
ACH-000095,-0.839969236336
ACH-000097,-1.0972698651200001
ACH-000098,-1.0706117322
ACH-000099,-0.9198819085250001
ACH-000108,-1.12175578325
ACH-000113,-1.0788248957700002
ACH-000115,-1.4708861087600003
ACH-000116,-1.27023136013
ACH-000118,-1.01730147501
ACH-000120,-1.09334417966
ACH-000123,-0.9546992889399999
ACH-000127,-0.870861728687
ACH-000128,-0.976669417145
ACH-000132,-1.06490477693
ACH-000133,-0.997188634491
ACH-000137,-1.22337586672
ACH-000138,-1.08929435425
ACH-000142,-1.07644491294
ACH-000143,-0.854794232975
ACH-000146,-0.640691561874
ACH-000148,-0.984822685051
ACH-000150,-1.2626605832200002
ACH-000152,-0.8815115444130001
ACH-000153,-1.2509305605399998
ACH-000159,-0.996347373768
ACH-000160,-1.12283007781
ACH-000163,-1.14479124774
ACH-000167,-1.2401401609799998
ACH-000168,-1.03770329186
ACH-000169,-1.46808593433
ACH-000178,-1.14736701184
ACH-000182,-0.982755686434
ACH-000183,-0.956766523618
ACH-000188,-1.08031931972
ACH-000189,-1.28565267299
ACH-000190,-1.10794369362
ACH-000198,-1.10044098379
ACH-000204,-1.0
ACH-000206,-1.49896822476
ACH-000207,-1.2384032002
ACH-000211,-1.11135249352
ACH-000215,-0.9882636997409999
ACH-000221,-1.24850334948
ACH-000222,-1.1564522956299998
ACH-000223,-0.783548486982
ACH-000226,-0.86088638683
ACH-000227,-1.04528626608
ACH-000228,-1.46172242875
ACH-000231,-0.9192956181849999
ACH-000232,-0.9796648898360001
ACH-000233,-0.710593430609
ACH-000234,-1.49384248399
ACH-000235,-1.0832100786499999
ACH-000237,-1.05343236244
ACH-000238,-1.2695248752600001
ACH-000243,-1.15268280277
ACH-000244,-1.25511616045
ACH-000246,-1.18078227311
ACH-000248,-1.20113427291
ACH-000250,-1.16746471271
ACH-000251,-1.12964056085
ACH-000253,-1.1120527913200002
ACH-000255,-1.00485205604
ACH-000256,-0.9635773873100001
ACH-000257,-1.10997352306
ACH-000258,-0.8444157111470001
ACH-000259,-1.2507571973
ACH-000260,-1.29436964218
ACH-000261,-1.1836921280600001
ACH-000262,-0.9711271762829999
ACH-000263,-1.2236883906799998
ACH-000264,-1.15651959514
ACH-000265,-1.31352025552
ACH-000266,-1.06450075928
ACH-000272,-1.4875084742500002
ACH-000273,-1.06037506481
ACH-000274,-1.14850714015
ACH-000277,-0.788159942414
ACH-000278,-0.8603516669700001
ACH-000279,-0.914759696359
ACH-000280,-1.40973928009
ACH-000281,-1.3197238039299999
ACH-000288,-1.12576307093
ACH-000291,-1.31126942742
ACH-000293,-0.888490577226
ACH-000294,-1.10718751184
ACH-000295,-1.21323996688
ACH-000296,-1.29925190607
ACH-000302,-0.695726970698
ACH-000304,-0.9223664798610001
ACH-000307,-1.15920024249
ACH-000308,-1.3813193111000002
ACH-000310,-0.818936930509
ACH-000311,-1.24212323907
ACH-000312,-1.1387074312899998
ACH-000315,-0.9428234099639999
ACH-000316,-1.37325704921
ACH-000317,-1.2632269028
ACH-000318,-1.1721905156799999
ACH-000319,-1.35385076695
ACH-000320,-1.06413472274
ACH-000322,-0.712177541557
ACH-000323,-1.18990232679
ACH-000324,-1.3118387299
ACH-000329,-1.0531062810299998
ACH-000330,-1.05285046874
ACH-000331,-1.1986188689
ACH-000332,-1.1835163177799999
ACH-000334,-0.678804503487
ACH-000335,-0.8808159834299999
ACH-000336,-1.1758571064499999
ACH-000337,-1.1485697053200001
ACH-000339,-1.07073758468
ACH-000341,-0.630279700086
ACH-000348,-0.870162501699
ACH-000350,-1.42152519544
ACH-000352,-0.913152905861
ACH-000356,-0.805212533702
ACH-000361,-0.844902110519
ACH-000362,-1.09005574077
ACH-000363,-1.10258007433
ACH-000364,-1.2900627820200001
ACH-000365,-1.05481547171
ACH-000366,-1.3465383133200002
ACH-000368,-0.90023643235
ACH-000374,-1.1987231945
ACH-000375,-1.2162513319
ACH-000376,-1.01270185294
ACH-000381,-1.11851789745
ACH-000383,-1.02958658912
ACH-000387,-1.0967345288299999
ACH-000389,-0.837502796938
ACH-000390,-1.38521099535
ACH-000393,-1.43521680286
ACH-000395,-1.27940553881
ACH-000397,-1.0
ACH-000401,-1.13203763485
ACH-000402,-0.846513527023
ACH-000403,-1.0634512921500001
ACH-000404,-1.0616491509700001
ACH-000406,-1.2654089839799998
ACH-000407,-1.43554832958
ACH-000408,-1.47628761879
ACH-000410,-0.900180898544
ACH-000411,-1.37886215553
ACH-000414,-1.20120777432
ACH-000415,-1.3432506211500002
ACH-000416,-1.10404860663
ACH-000420,-1.12379235778
ACH-000421,-1.10004571255
ACH-000424,-1.05384508024
ACH-000425,-1.0755551992899999
ACH-000426,-1.3573016665200002
ACH-000427,-1.1151895189299998
ACH-000433,-0.8637121762100001
ACH-000436,-0.715329407357
ACH-000444,-1.03438531502
ACH-000445,-0.747955906125
ACH-000448,-1.1486505105299998
ACH-000450,-0.933869955205
ACH-000452,-1.4804704882
ACH-000454,-0.9990369606749999
ACH-000458,-1.10089910412
ACH-000459,-1.02002746085
ACH-000460,-1.0817587762799998
ACH-000461,-1.05530577513
ACH-000463,-1.2277441015600001
ACH-000464,-1.31621218459
ACH-000466,-1.33225761903
ACH-000467,-1.25448554986
ACH-000468,-1.115917795
ACH-000469,-1.10927281297
ACH-000470,-1.30448137361
ACH-000471,-1.19496042171
ACH-000472,-0.996804875637
ACH-000473,-1.6358138552
ACH-000475,-1.1060532273299999
ACH-000476,-0.9934091255099999
ACH-000477,-1.29700866568
ACH-000480,-1.42545466863
ACH-000481,-0.618558970348
ACH-000483,-0.935577660716
ACH-000484,-0.8697630187459999
ACH-000485,-1.0782449311799998
ACH-000486,-1.24743638082
ACH-000487,-1.15285333127
ACH-000488,-1.06275488545
ACH-000490,-1.0930966863
ACH-000491,-0.7799733231559999
ACH-000495,-1.1474242372
ACH-000496,-1.02417562201
ACH-000499,-1.2047398764100001
ACH-000500,-1.2146358447399999
ACH-000502,-1.24318807102
ACH-000503,-1.28667416683
ACH-000505,-0.9142327754790001
ACH-000507,-1.11294934069
ACH-000510,-0.8778673605670001
ACH-000511,-1.26720481706
ACH-000512,-0.932084123905
ACH-000516,-1.14219719594
ACH-000517,-1.01287646736
ACH-000518,-1.64559405315
ACH-000520,-1.02424234423
ACH-000521,-1.25722035876
ACH-000522,-1.12520887035
ACH-000524,-1.35213245353
ACH-000527,-1.26754621034
ACH-000528,-1.0463013780200001
ACH-000537,-1.4009133319299998
ACH-000541,-1.3063684228299999
ACH-000542,-0.962046680362
ACH-000544,-1.11038965162
ACH-000545,-1.19923068114
ACH-000547,-1.1460783264799999
ACH-000548,-1.4054727836899998
ACH-000549,-1.09784804579
ACH-000550,-0.936392122342
ACH-000552,-1.0536331663
ACH-000556,-1.13605521641
ACH-000557,-0.9586597936390001
ACH-000570,-1.13764824043
ACH-000571,-1.06191488496
ACH-000573,-1.1157448303200002
ACH-000576,-1.1588916602600001
ACH-000580,-0.8465227983560001
