,NOC3L (64318)
ACH-000004,-1.39889796231
ACH-000007,-1.4861992766699998
ACH-000009,-1.32775149315
ACH-000011,-1.4510706706299998
ACH-000012,-1.3695170312600002
ACH-000013,-1.18266580313
ACH-000014,-1.5462495053799998
ACH-000015,-1.25591875617
ACH-000017,-1.51373364493
ACH-000018,-1.1836727874
ACH-000019,-1.0168426533
ACH-000021,-1.29245002834
ACH-000022,-1.3465052748
ACH-000025,-1.4984857732700003
ACH-000028,-1.35794187109
ACH-000030,-1.35140744227
ACH-000035,-1.65442842013
ACH-000036,-1.6603656433200003
ACH-000037,-1.66513898824
ACH-000039,-1.41839105495
ACH-000040,-1.38763025985
ACH-000041,-1.24131322924
ACH-000042,-1.28650196737
ACH-000045,-1.37199505729
ACH-000047,-1.33181138849
ACH-000052,-1.46911462465
ACH-000053,-1.58432117449
ACH-000054,-1.36866084099
ACH-000055,-1.3249581294600001
ACH-000060,-1.34034391955
ACH-000067,-1.5396011738799997
ACH-000070,-1.29357538324
ACH-000075,-1.37046321899
ACH-000078,-1.55953633697
ACH-000082,-1.2907533067499999
ACH-000085,-1.57228864254
ACH-000086,-1.10946509663
ACH-000087,-1.06964913835
ACH-000092,-1.03048542634
ACH-000095,-1.4531013179199999
ACH-000097,-1.27957138588
ACH-000098,-1.343630335
ACH-000099,-1.32403559957
ACH-000108,-1.2683232333399999
ACH-000113,-1.4377580131099998
ACH-000115,-1.1947904912799998
ACH-000116,-1.4157421653600002
ACH-000118,-1.3969271954700002
ACH-000120,-1.24847052038
ACH-000123,-1.56264134402
ACH-000127,-1.43699162045
ACH-000128,-1.55720622368
ACH-000132,-1.29256281058
ACH-000133,-1.14675488189
ACH-000137,-1.47192521317
ACH-000138,-1.46595958413
ACH-000142,-1.22419850518
ACH-000143,-1.0630160042399999
ACH-000146,-1.6191035478799998
ACH-000148,-1.40392318447
ACH-000150,-1.26748233774
ACH-000152,-1.42118078032
ACH-000153,-1.39178114136
ACH-000159,-1.41953091639
ACH-000160,-1.5156513909600002
ACH-000163,-1.4394534879700003
ACH-000167,-2.00183561271
ACH-000168,-1.6090001521700001
ACH-000169,-1.0809596293100001
ACH-000178,-1.16474151041
ACH-000182,-1.4589959913100001
ACH-000183,-1.30620265911
ACH-000188,-1.53209740094
ACH-000189,-1.2303714075299998
ACH-000190,-1.57926881816
ACH-000198,-1.30193843118
ACH-000204,-0.812456479065
ACH-000206,-1.2091018743000002
ACH-000207,-1.3057914631299998
ACH-000211,-1.2488887525399999
ACH-000215,-1.30549414105
ACH-000221,-1.18150756194
ACH-000222,-1.51030792278
ACH-000223,-1.46221724597
ACH-000226,-1.32397808025
ACH-000227,-1.47777099319
ACH-000228,-1.3441443549399998
ACH-000231,-1.35583242094
