,MARS (4141)
ACH-000004,-1.17434250745
ACH-000007,-1.3728511195
ACH-000009,-1.32693135722
ACH-000011,-1.1532860176100002
ACH-000012,-1.5015579631
ACH-000013,-1.27174778605
ACH-000014,-1.4427769727200002
ACH-000015,-1.2522354447700002
ACH-000017,-1.31620042692
ACH-000018,-1.3524485396
ACH-000019,-0.9185749367560001
ACH-000021,-1.2964733572299998
ACH-000022,-1.55645830518
ACH-000025,-1.3586702802700001
ACH-000028,-1.1387672879100001
ACH-000030,-1.1552269879600001
ACH-000035,-1.3511534769
ACH-000036,-1.27552765578
ACH-000037,-2.0397427892400004
ACH-000039,-1.37377274507
ACH-000040,-1.12683043595
ACH-000041,-1.32720332014
ACH-000042,-1.5572896622499999
ACH-000045,-1.43280698565
ACH-000047,-1.23801927146
ACH-000052,-1.3732587186399998
ACH-000053,-1.34894176367
ACH-000054,-1.24796965031
ACH-000055,-1.47647750825
ACH-000060,-1.2979635737200002
ACH-000067,-1.24947714218
ACH-000070,-1.3215383575
ACH-000075,-1.32306709939
ACH-000078,-1.4750446526499998
ACH-000082,-1.23030005291
ACH-000085,-1.21262578078
ACH-000086,-0.9187224505249999
ACH-000087,-1.36101996199
ACH-000092,-1.24185216094
ACH-000095,-1.4629890086500001
ACH-000097,-1.4249652531900001
ACH-000098,-1.40686675419
ACH-000099,-1.37327525585
ACH-000108,-1.4842475610299999
ACH-000113,-1.4251477736899998
ACH-000115,-1.69354151563
ACH-000116,-1.33695117881
ACH-000118,-1.2587581570200002
ACH-000120,-1.5155266232700002
ACH-000123,-1.45306561666
ACH-000127,-1.17393098112
ACH-000128,-1.64622056229
ACH-000132,-1.0296396711799998
ACH-000133,-1.0846226574700002
ACH-000137,-1.36357236831
ACH-000138,-1.47309331946
ACH-000142,-1.0986433139299998
ACH-000143,-1.57690664276
ACH-000146,-1.7840225213699998
ACH-000148,-1.4101655964
ACH-000150,-1.39127403592
ACH-000152,-1.3016316313
ACH-000153,-1.6908045867
ACH-000159,-1.19291866534
ACH-000160,-1.78468701602
ACH-000163,-1.3053298503200002
ACH-000167,-1.26295890045
ACH-000168,-1.33358679778
ACH-000169,-1.06084165266
ACH-000178,-1.35797631005
ACH-000182,-1.48652220362
ACH-000183,-1.4020983275799999
ACH-000188,-1.1165392836
ACH-000189,-0.763475362354
ACH-000190,-1.2158234299600001
ACH-000198,-1.32811812501
ACH-000204,-1.33462463122
ACH-000206,-1.11545476405
ACH-000207,-1.0925252944600001
ACH-000211,-1.2600534397299998
ACH-000215,-1.29477529526
ACH-000221,-1.20647067416
ACH-000222,-1.4530821245399999
ACH-000223,-1.2878956540100002
ACH-000226,-1.26598624539
ACH-000227,-1.2471253958
ACH-000228,-1.61416207742
ACH-000231,-1.24723926125
ACH-000232,-1.30043775116
ACH-000233,-1.4356955116799999
ACH-000234,-1.36304674598
ACH-000235,-1.41974221991
ACH-000237,-1.07711989812
ACH-000238,-1.16220596911
ACH-000243,-1.47896977593
ACH-000244,-1.30065869977
ACH-000246,-1.1707490200200001
ACH-000248,-1.23726586549
ACH-000250,-1.18452313698
ACH-000251,-1.31123421693
ACH-000253,-1.0876667576299999
ACH-000255,-1.32850829589
ACH-000256,-1.68740510738
ACH-000257,-1.5708244054499998
ACH-000258,-1.3550287806
ACH-000259,-1.5001018975100002
ACH-000260,-1.35795780784
ACH-000261,-1.36922556341
ACH-000262,-1.20352780648
ACH-000263,-1.6306250420200001
ACH-000264,-1.21375533875
ACH-000265,-1.2566315588299999
ACH-000266,-1.56071336491
ACH-000272,-1.24036214617
ACH-000273,-1.2574573285
ACH-000274,-1.14352149049
ACH-000277,-1.52691992408
ACH-000278,-0.9874572350399999
ACH-000279,-1.34371152535
ACH-000280,-1.59684774655
ACH-000281,-1.59352492115
ACH-000288,-1.43775657675
ACH-000291,-1.4358898998700003
ACH-000293,-1.15851547387
ACH-000294,-1.50067318249
ACH-000295,-1.5962524636000002
ACH-000296,-1.31524515531
ACH-000302,-1.65850067039
ACH-000304,-1.7821437269999998
ACH-000307,-1.30234801956
ACH-000308,-1.22231385461
ACH-000310,-1.25708410064
ACH-000311,-1.6336831225600001
ACH-000312,-1.5735923063100001
ACH-000315,-1.2077009161399999
ACH-000316,-1.3574669275100002
ACH-000317,-0.998310106238
ACH-000318,-1.34494342
ACH-000319,-1.31280370069
ACH-000320,-1.5651943937000001
ACH-000322,-1.4904580079299998
ACH-000323,-1.27116494637
ACH-000324,-1.34204381792
ACH-000329,-1.43107052744
ACH-000330,-1.18322431967
ACH-000331,-0.985478367702
ACH-000332,-1.3727270999599999
ACH-000334,-1.17499430483
ACH-000335,-1.05444981621
ACH-000336,-1.06227540446
ACH-000337,-1.0654613923799998
ACH-000339,-1.4494301179700002
ACH-000341,-1.41824095614
ACH-000348,-1.4988883202399998
ACH-000350,-1.46964444604
ACH-000352,-1.27017699967
ACH-000356,-1.2634416698
ACH-000361,-1.1941553208700002
ACH-000362,-1.5437669333500001
ACH-000363,-1.0226749057
ACH-000364,-1.40411818681
ACH-000365,-1.20122058087
ACH-000366,-1.45381264484
ACH-000368,-1.46525651909
ACH-000374,-1.35665393516
ACH-000375,-1.25826228959
ACH-000376,-1.20178871169
ACH-000381,-1.34260999348
ACH-000383,-1.1235042798600001
ACH-000387,-1.46108340737
ACH-000389,-1.13423511467
ACH-000390,-1.09468485107
ACH-000393,-1.26673060099
ACH-000395,-1.2329167377899999
ACH-000397,-1.12616912332
ACH-000401,-1.27990768327
ACH-000402,-1.6084098954799997
ACH-000403,-1.32646610238
ACH-000404,-1.19539335154
ACH-000406,-1.58890065493
ACH-000407,-0.76913498043
ACH-000408,-1.5185449978499999
ACH-000410,-1.24616019883
ACH-000411,-1.28648417972
ACH-000414,-1.64128518099
ACH-000415,-1.492550935
ACH-000416,-1.20214141579
ACH-000420,-1.51171058037
ACH-000421,-1.3872099898299999
ACH-000424,-1.1738592804299999
ACH-000425,-1.41687509866
ACH-000426,-1.18499232036
ACH-000427,-1.3738014278400001
ACH-000433,-1.4994450546200002
ACH-000436,-1.14427098707
ACH-000444,-1.41601410912
ACH-000445,-1.2082061885200002
ACH-000448,-1.45667094139
ACH-000450,-1.4188595375100002
ACH-000452,-1.21577052712
ACH-000454,-1.29010555633
ACH-000458,-1.04354025301
ACH-000459,-0.9085136594159999
ACH-000460,-1.3633175034399998
ACH-000461,-1.5102079728100002
ACH-000463,-1.51041435676
ACH-000464,-1.36368557424
ACH-000466,-1.29142929451
ACH-000467,-1.32513587135
ACH-000468,-1.67120321956
ACH-000469,-1.1993784053299998
ACH-000470,-1.42408925252
ACH-000471,-1.24803551246
