,BCL7C (9274)
ACH-000898,-0.17038623626899999
ACH-000900,-0.094500126256
ACH-000901,-0.168379985979
ACH-000905,-0.123565491568
ACH-000906,0.120156593802
ACH-000907,-0.22697215601799997
ACH-000910,0.0831269267604
ACH-000911,-0.0371472696682
ACH-000912,-0.0728823421978
ACH-000913,-0.0275276166689
ACH-000915,-0.0192390114997
ACH-000916,-0.07495377393519999
ACH-000917,-0.272035661818
ACH-000921,-0.0250078206226
ACH-000924,-0.0309496002
ACH-000926,-0.0677985295592
ACH-000928,0.0419287749062
ACH-000929,0.025916032633199998
ACH-000932,-0.00216879701866
ACH-000935,-0.178941454845
ACH-000936,-0.0683566431199
ACH-000937,0.011806318650499999
ACH-000938,-0.061280510587300004
ACH-000939,-0.10831399322100001
ACH-000941,-0.11357578082
ACH-000943,0.0119027460935
ACH-000946,-0.110054908941
ACH-000947,0.0467720979101
ACH-000948,-0.03804712781669999
ACH-000950,-0.261348785343
ACH-000953,-0.24179573270399998
ACH-000957,0.0762645480982
ACH-000958,0.0768653492608
ACH-000960,-0.0425196725908
ACH-000963,-0.024892106724700002
ACH-000968,0.126348940581
ACH-000969,-0.143926117719
ACH-000973,-0.0571770226114
ACH-000974,-0.0736096663814
ACH-000975,0.019188929313099998
ACH-000976,-0.144124999242
ACH-000978,0.36890140090400003
ACH-000980,0.004607494964439999
ACH-000984,-0.128414156731
ACH-000986,-0.100756605895
ACH-000988,0.000816110637768
ACH-000993,-0.16887299369199998
ACH-000994,-0.0172831482983
ACH-000996,-0.06276609299859999
ACH-001001,0.0808169718015
ACH-001020,-0.493608999192
ACH-001028,0.0291531288375
ACH-001031,0.00880354304841
ACH-001038,-0.0860109210291
ACH-001048,-0.026414471921700003
ACH-001050,-0.145531300527
ACH-001053,0.222609723307
ACH-001054,-0.005802058370779999
ACH-001061,0.059516722052100006
ACH-001067,-0.0711605870283
ACH-001075,-0.0365184930251
ACH-001096,0.018544236808400002
ACH-001128,-0.470208292091
ACH-001134,0.0711575921655
ACH-001151,0.0184917005682
ACH-001163,-0.0417656535041
ACH-001164,-0.154575876525
ACH-001173,0.0171230154192
ACH-001183,0.030160627949900005
ACH-001184,0.009245988364120002
ACH-001190,-0.10532774479399999
ACH-001192,0.156603656804
ACH-001193,0.103882708658
ACH-001196,0.0919224970059
ACH-001197,0.340942118152
ACH-001205,0.150814351647
ACH-001211,-0.346629813546
ACH-001212,-0.359710875482
ACH-001228,-0.101361859335
ACH-001232,0.157051863061
ACH-001239,-0.053289886818399995
ACH-001274,0.09309018420939999
ACH-001275,0.0828562949305
ACH-001277,0.24286174689599999
ACH-001278,0.240504891379
ACH-001280,-0.155142461074
ACH-001283,-0.243386454208
ACH-001289,-0.058902524593500004
ACH-001295,-0.05376099775859999
ACH-001300,-0.062692610214
ACH-001301,0.08802797415920001
ACH-001302,-0.260108647561
ACH-001303,0.296372476071
ACH-001306,-0.27263140366
ACH-001318,-0.09783629838189999
ACH-001322,-0.027144425897499998
ACH-001328,0.028914867329099998
ACH-001332,0.0296661293367
ACH-001333,0.0559178450605
ACH-001336,-0.0566375104531
ACH-001340,-0.03395545359
ACH-001346,-0.0361896420417
ACH-001353,0.018538094305599998
ACH-001354,0.057003064123800004
ACH-001367,0.20837408636500002
ACH-001368,-0.0311413337864
