,GCN1L1 (10985)
ACH-000004,-0.708460253725
ACH-000007,-1.24531784002
ACH-000009,-1.0237927836
ACH-000011,-0.992379873621
ACH-000012,-0.8695606697660001
ACH-000013,-0.417218229879
ACH-000014,-0.755059801321
ACH-000015,-0.557064754818
ACH-000017,-0.9120468302470001
ACH-000018,-0.715700133654
ACH-000019,-0.50165541324
ACH-000021,-0.8684027722579999
ACH-000022,-0.62448010756
ACH-000025,-1.06346890219
ACH-000028,-0.7951756118950001
ACH-000030,-0.8871881597169999
ACH-000035,-0.725103663585
ACH-000036,-0.963873614384
ACH-000037,-0.81619692853
ACH-000039,-1.5329184866799999
ACH-000040,-0.432912708992
ACH-000041,-0.553791707769
ACH-000042,-0.6820909877760001
ACH-000045,-0.6487465596890001
ACH-000047,-0.30988781963100004
ACH-000052,-0.7291975675579999
ACH-000053,-0.8336074106129999
ACH-000054,-0.880165578255
ACH-000055,-0.902256178707
ACH-000060,-0.567581378604
ACH-000067,-0.689788547563
ACH-000070,-0.8404203411200001
ACH-000075,-1.33349835037
ACH-000078,-0.850474165922
ACH-000082,-0.711249260534
ACH-000085,-0.9556341285150001
ACH-000086,-0.814447577412
ACH-000087,-0.757145436818
ACH-000092,-0.561673786937
ACH-000095,-0.604674838246
ACH-000097,-0.481482385069
ACH-000098,-0.58552950102
ACH-000099,-0.616584939552
ACH-000108,-0.884556848311
ACH-000113,-0.6298130232720001
ACH-000115,-0.5878870997569999
ACH-000116,-0.604474793278
ACH-000118,-0.766098621171
ACH-000120,-0.29947172368299996
ACH-000123,-0.8498073215080001
ACH-000127,-0.6202486611429999
ACH-000128,-0.843447296041
ACH-000132,-0.073790305313
ACH-000133,-0.6450640312470001
ACH-000137,-0.937215234305
ACH-000138,-1.17660966705
ACH-000142,-0.968604964598
ACH-000143,-0.7335915701119999
ACH-000146,-0.251050359319
ACH-000148,-0.9023080310609999
ACH-000150,-0.805818105296
ACH-000152,-0.8014430831389999
ACH-000153,-1.03702174685
ACH-000159,-0.5810224153760001
ACH-000160,-0.6989393720329999
ACH-000163,-0.859948774868
ACH-000167,-0.783820691989
ACH-000168,-0.779936959141
ACH-000169,-0.47897187352799997
ACH-000178,-0.8462535970080001
ACH-000182,-0.633602385263
ACH-000183,-0.81430390746
ACH-000188,-0.502167391693
ACH-000189,-0.416650379794
ACH-000190,-0.656167915507
ACH-000198,-0.913597053955
ACH-000204,-0.577141313766
ACH-000206,-0.5834269986439999
ACH-000207,-0.850747102826
ACH-000211,-1.3981314984200002
ACH-000215,-0.564642083502
ACH-000221,-0.5251858118580001
ACH-000222,-1.04354887676
ACH-000223,-0.645927161682
ACH-000226,-1.03989944165
ACH-000227,-0.874195723648
ACH-000228,-0.880446178308
ACH-000231,-0.446411634152
ACH-000232,-0.8225491482009999
ACH-000233,-0.514075881478
ACH-000234,-0.811409031325
ACH-000235,-0.567430436094
ACH-000237,-0.651806246898
ACH-000238,-0.307441608307
ACH-000243,-0.833069132877
ACH-000244,-0.36154357046499996
ACH-000246,-0.646417099964
ACH-000248,-0.7833225964910001
ACH-000250,-0.49895550581299997
ACH-000251,-0.818294445001
ACH-000253,-0.832553997601
ACH-000255,-0.6168861804770001
ACH-000256,-0.909083784733
ACH-000257,-0.645090703544
ACH-000258,-0.8224347376510001
ACH-000259,-0.770529628614
ACH-000260,-0.5994424677579999
ACH-000261,-1.40955821177
ACH-000262,-0.996827651827
ACH-000263,-0.5451887632410001
ACH-000264,-0.902470506151
ACH-000265,-0.745104891104
ACH-000266,-0.8193657534700001
ACH-000272,-0.36195103853200006
ACH-000273,-0.515992871262
ACH-000274,-0.592616234318
ACH-000277,-0.27716602391999995
ACH-000278,-0.548142188327
ACH-000279,-0.6725145243199999
ACH-000280,-0.647974919744
ACH-000281,-1.0582032103399999
ACH-000288,-0.7093635784569999
ACH-000291,-0.7659358318610001
ACH-000293,-0.585236111899
ACH-000294,-0.903901412726
ACH-000295,-0.5052807360279999
ACH-000296,-0.843750455287
ACH-000302,-0.7889423337289999
ACH-000304,-0.616134161778
ACH-000307,-0.87134436892
ACH-000308,-0.666045997778
ACH-000310,-0.275678634501
ACH-000311,-0.9276625689460001
ACH-000312,-0.839667267797
ACH-000315,-0.908364904507
ACH-000316,-0.753137483043
ACH-000317,-0.6253794738139999
ACH-000318,-0.8643036779209999
ACH-000319,-0.8997146066399999
ACH-000320,-0.7386228616760001
ACH-000322,-0.328773731104
ACH-000323,-0.857808841599
ACH-000324,-0.983597512748
ACH-000329,-0.319372409388
ACH-000330,-0.5927353463080001
ACH-000331,-0.634620590862
ACH-000332,-0.8793213669059999
ACH-000334,-0.792762291131
ACH-000335,-1.0911255580099999
ACH-000336,-0.123274345301
ACH-000337,-0.859593568173
ACH-000339,-0.6360683689500001
ACH-000341,-0.9314605008399999
ACH-000348,-0.595867038363
ACH-000350,-0.6561469887120001
ACH-000352,-0.8132251125100001
ACH-000356,-0.881658506232
ACH-000361,-0.935017395232
ACH-000362,-0.940164762737
ACH-000363,-0.6909867271950001
ACH-000364,-0.987537134813
ACH-000365,-0.569398102699
ACH-000366,-0.655790340082
ACH-000368,-0.5671371205219999
ACH-000374,-0.39914148247000003
ACH-000375,-0.7642064551980001
ACH-000376,-0.497269521297
ACH-000381,-0.7729005894769999
ACH-000383,-0.7157125825689999
ACH-000387,-1.2170092693899999
ACH-000389,-0.485634625607
ACH-000390,-0.273669196991
ACH-000393,-1.2405627979
ACH-000395,-0.832594353527
ACH-000397,-1.02555119156
ACH-000401,-0.644604939691
ACH-000402,-0.993514371687
ACH-000403,-0.8272132011869999
ACH-000404,-0.843273641274
ACH-000406,-0.869268277422
ACH-000407,-0.262229564846
ACH-000408,-0.864946809807
ACH-000410,-0.589715146883
ACH-000411,-0.65435242292
ACH-000414,-0.5722320665839999
ACH-000415,-0.549398600242
ACH-000416,-0.680322647742
ACH-000420,-0.227791760653
ACH-000421,-0.929833225083
ACH-000424,-0.747596936549
ACH-000425,-0.926806426745
ACH-000426,-0.49768875465400003
ACH-000427,-0.726164465639
ACH-000433,-0.473555292171
ACH-000436,-0.667224120355
ACH-000444,-0.613962675169
ACH-000445,-0.7934683170479999
ACH-000448,-0.6880062824459999
ACH-000450,-0.8983874692560001
ACH-000452,-0.748584432033
ACH-000454,-0.8350431845890001
ACH-000458,-0.818168071584
ACH-000459,-0.41296321195200003
ACH-000460,-0.8845405325419999
ACH-000461,-0.8657028322600001
ACH-000463,-0.81207177347
ACH-000464,-0.683429017338
ACH-000466,-0.5542340123780001
ACH-000467,-1.17569916533
ACH-000468,-0.5796818127109999
ACH-000469,-0.859096205376
ACH-000470,-1.06825692154
ACH-000471,-0.7473814416879999
ACH-000472,-1.2930719102
ACH-000473,-0.37244442110299997
ACH-000475,-0.691159215376
ACH-000476,-1.09009105769
ACH-000477,-0.34048270291
ACH-000480,-0.92332455445
ACH-000481,-0.63104882467
ACH-000483,-0.865058048026
ACH-000484,-1.54527327167
ACH-000485,-0.6677021867149999
ACH-000486,-1.0437966958299998
ACH-000487,-0.6828846471269999
ACH-000488,-0.856555445558
ACH-000490,-0.6439426437
ACH-000491,-0.49080231541999997
ACH-000495,-0.752211609155
ACH-000496,-0.741802143715
ACH-000499,-0.967158625372
ACH-000500,-0.298412269727
ACH-000502,-0.621548115213
ACH-000503,-0.429706382058
ACH-000505,-0.49907812241599997
ACH-000507,-0.436870425744
ACH-000510,-0.664243971312
ACH-000511,-0.5843410668169999
ACH-000512,-0.6343498367779999
ACH-000516,-0.42456976102399996
ACH-000517,-0.292297233434
ACH-000518,-1.0870916985899999
ACH-000520,-1.01405573101
ACH-000521,-0.711395255186
