,BANK1 (55024)
ACH-000004,-0.37035210603200003
ACH-000007,0.0008652783951369999
ACH-000009,-0.213327270544
ACH-000011,0.137234142413
ACH-000012,-0.159600938848
ACH-000013,0.0070966953568800005
ACH-000014,-0.275218984684
ACH-000015,-0.169341913372
ACH-000017,0.0825749643763
ACH-000018,-0.07297110159839999
ACH-000019,-0.222214268874
ACH-000021,-0.09096031101299999
ACH-000022,-0.154876036139
ACH-000025,-0.0862520040498
ACH-000028,-0.130387214069
ACH-000030,-0.042071813433999995
ACH-000035,-0.059003131666699994
ACH-000036,-0.12018891375600001
ACH-000037,-0.134789602497
ACH-000039,0.026536954441299998
ACH-000040,0.102806757688
ACH-000041,-0.139057231179
ACH-000042,-0.18281494655000002
ACH-000045,0.23286576051999996
ACH-000047,-0.20795893137200003
ACH-000052,0.047082307015699994
ACH-000053,-0.0735873027544
ACH-000054,-0.14409272463199999
ACH-000055,-0.129255249801
ACH-000060,-0.341011455084
ACH-000067,-0.009960975466
ACH-000070,-0.250509234759
ACH-000075,-0.209477538213
ACH-000078,-0.161895958347
ACH-000082,-0.035008621544199994
ACH-000085,0.175631530836
ACH-000086,-0.043227492051300005
ACH-000087,-0.0640581552098
ACH-000092,-0.231473904571
ACH-000095,-0.23071198681299998
ACH-000097,-0.0971932491584
ACH-000098,-0.0931969883035
ACH-000099,-0.09831904320860001
ACH-000108,0.00121395262198
ACH-000113,-0.0802550135723
ACH-000115,-0.10247298162599999
ACH-000116,-0.15359542783299998
ACH-000118,0.00298499960127
ACH-000120,-0.0662451392009
ACH-000123,0.0207651906899
ACH-000127,-0.209116256309
ACH-000128,-0.138319509176
ACH-000132,-0.07910588951980001
ACH-000133,-0.26832878887
ACH-000137,0.032964486305400005
ACH-000138,-0.050871561600900006
ACH-000142,-0.0851313835853
ACH-000143,-0.12006111381699999
ACH-000146,-0.122714931314
ACH-000148,-0.16826647201699999
ACH-000150,0.0169563030419
ACH-000152,0.00451291978968
ACH-000153,0.123905903497
ACH-000159,-0.0541068536984
ACH-000160,-0.270010824835
ACH-000163,-0.160936005312
ACH-000167,-0.36439345007
ACH-000168,-0.011975879296299998
ACH-000169,-0.119319537366
ACH-000178,-0.057612279412
ACH-000182,-0.19580292918900002
ACH-000183,-0.0588315950486
ACH-000188,-0.086878025331
