,PRAP1 (118471)
ACH-000004,0.04814173950969999
ACH-000007,0.041095585770699994
ACH-000009,-0.112584559324
ACH-000011,-0.10067107170600001
ACH-000012,-0.0798722994712
ACH-000013,0.1489223853
ACH-000014,-0.06875794626239999
ACH-000015,0.0101510543062
ACH-000017,0.0468624337166
ACH-000018,-0.305989469956
ACH-000019,0.0652216510468
ACH-000021,0.055493211241499994
ACH-000022,-0.106276853806
ACH-000025,-0.0610241400636
ACH-000028,0.008419397722539999
ACH-000030,-0.0167491788064
ACH-000035,-0.0502320582629
ACH-000036,-0.16274070974000002
ACH-000037,-0.0831595122372
ACH-000039,0.00694703465357
ACH-000040,-0.020189139891299997
ACH-000041,0.160261442343
ACH-000042,-0.034629722220099995
ACH-000045,-0.0620140349299
ACH-000047,0.013022469943799998
ACH-000052,0.0110326805185
ACH-000053,0.0761401214814
ACH-000054,-0.17657581128400002
ACH-000055,-0.0404043515598
ACH-000060,-0.0470800324226
ACH-000067,-0.008760237106649998
ACH-000070,0.124350088621
ACH-000075,0.109865505101
ACH-000078,-0.09552161535010001
ACH-000082,-0.0585953260705
ACH-000085,0.0257171006256
ACH-000086,-0.09592758021150001
ACH-000087,-0.171971760282
ACH-000092,-0.0388486219624
ACH-000095,-0.0718836113163
ACH-000097,-0.0886267414982
ACH-000098,0.0659597118302
ACH-000099,-0.0761921766483
ACH-000108,-0.263349638941
ACH-000113,-0.0809916614905
ACH-000115,-0.013775862002900001
ACH-000116,0.0566776952893
ACH-000118,-0.11293737277799999
ACH-000120,-0.302773219128
ACH-000123,-0.125950482016
ACH-000127,0.013336753331599999
ACH-000128,-0.139084473281
ACH-000132,-0.18693782511100002
ACH-000133,-0.0808963724977
ACH-000137,0.239183833196
ACH-000138,-0.09677301462539999
ACH-000142,-0.027900601298599996
ACH-000143,-0.11309232323599999
ACH-000146,0.07429784697889999
ACH-000148,-0.12522493481799998
ACH-000150,-0.0976653837776
ACH-000152,0.0998958022236
ACH-000153,-0.0678219316009
ACH-000159,-0.102991624397
ACH-000160,-0.0142076691091
ACH-000163,0.0298133316668
ACH-000167,0.100181174338
ACH-000168,-0.012644880894899999
ACH-000169,-0.273544120264
ACH-000178,-0.159560367236
ACH-000182,0.00954954184833
ACH-000183,0.070135075854
ACH-000188,0.0612323896565
ACH-000189,-0.0799750213024
ACH-000190,0.135435512398
ACH-000198,-0.104516226767
ACH-000204,0.09120171544119998
ACH-000206,-0.112467266708
ACH-000207,-0.216690760687
ACH-000211,-0.155491776232
ACH-000215,0.00926034657195
ACH-000221,-0.00878333876576
ACH-000222,0.11797272277899999
ACH-000223,-0.106314175025
ACH-000226,0.032186638750900005
ACH-000227,0.11475441283099999
ACH-000228,0.130049663174
ACH-000231,-0.010300646694
ACH-000232,-0.103672050225
ACH-000233,0.00224660467683
ACH-000234,0.0978713160248
ACH-000235,-0.05882012246180001
ACH-000237,-0.132525269586
ACH-000238,-0.24429412332699998
ACH-000243,-0.0144966179012
ACH-000244,0.021916412298
ACH-000246,-0.114306371015
ACH-000248,0.126932292362
ACH-000250,-0.0794630710965
ACH-000251,-0.09726299363469999
ACH-000253,-0.135774515984
ACH-000255,-0.102183507183
ACH-000256,-0.0399515253467
ACH-000257,0.217387782728
ACH-000258,-0.028410355092500002
ACH-000259,-0.0965190302497
ACH-000260,-0.145870109448
ACH-000261,0.044536045445400005
ACH-000262,-0.19573814716200003
ACH-000263,0.22088806593600002
ACH-000264,0.029888001430299998
ACH-000265,0.0516969734565
ACH-000266,-0.0492298283978
ACH-000272,0.111705019978
ACH-000273,-0.0961553861603
ACH-000274,0.0203481712669
ACH-000277,-0.109992635243
ACH-000278,-0.08411121417860001
ACH-000279,0.0660031491378
ACH-000280,-0.061877612577
ACH-000281,-0.208438748688
ACH-000288,-0.0255860342686
ACH-000291,-0.051340151161699994
ACH-000293,-0.011511661760400001
ACH-000294,-0.321744071477
ACH-000295,-0.0691013301743
ACH-000296,-0.0848795836046
ACH-000302,0.0963284565537
ACH-000304,0.144449094577
ACH-000307,0.013795964403799998
ACH-000308,-0.051015802471199995
ACH-000310,-0.047772270367
ACH-000311,-0.189344432888
ACH-000312,-0.141657962064
ACH-000315,0.141828000757
ACH-000316,-0.0291144718247
ACH-000317,-0.251676297475
ACH-000318,0.146381025965
ACH-000319,0.09376711279920001
ACH-000320,-0.0025361795500300002
ACH-000322,-0.00682752156749
ACH-000323,0.052364831432600005
ACH-000324,-0.10180076961300001
ACH-000329,0.0127650136858
ACH-000330,0.134703155397
ACH-000331,-0.111764146441
ACH-000332,-0.201885870667
ACH-000334,0.16549249795499998
ACH-000335,-0.00365121927909
ACH-000336,0.026582512508499998
ACH-000337,0.05405463675890001
ACH-000339,0.0317293361276
ACH-000341,-0.193615781668
ACH-000348,-0.018487757053
ACH-000350,-0.25884670619399996
ACH-000352,-0.048212912663400005
ACH-000356,0.117092273106
ACH-000361,0.132386835668
ACH-000362,0.0212450695115
ACH-000363,0.0319041337041
ACH-000364,-0.134180757253
ACH-000365,-0.026465995759299997
ACH-000366,0.0426022960688
ACH-000368,-0.23225279325999998
ACH-000374,-0.033263924201500004
ACH-000375,-0.422796737835
ACH-000376,-0.0206003665955
ACH-000381,-0.213481009367
ACH-000383,-0.160520618779
ACH-000387,-0.0211475418163
ACH-000389,-0.177207210942
ACH-000390,-0.09844661856180001
