,BUD31 (8896)
ACH-000004,-1.91123266375
ACH-000007,-1.81060614964
ACH-000009,-1.88425888307
ACH-000011,-1.8765425517299998
ACH-000012,-1.6950682973
ACH-000013,-1.6322693713999998
ACH-000014,-1.808418585
ACH-000015,-1.6625451473299997
ACH-000017,-1.61565970349
ACH-000018,-1.5791727640399997
ACH-000019,-1.4827939250400002
ACH-000021,-1.7976936775
ACH-000022,-1.62884068639
ACH-000025,-1.7984223873099998
ACH-000028,-1.5065376950100002
ACH-000030,-1.7047360566499998
ACH-000035,-1.6067348848899998
ACH-000036,-1.4786318762600001
ACH-000037,-2.47476407354
ACH-000039,-1.8737919304400004
ACH-000040,-1.4631548753299999
ACH-000041,-1.7668021395500002
ACH-000042,-1.8534866988900003
ACH-000045,-1.64614008915
ACH-000047,-1.8292515856799998
ACH-000052,-1.7214562402400002
ACH-000053,-1.80580033107
ACH-000054,-1.5211446197799998
ACH-000055,-1.66159456153
ACH-000060,-1.92129415872
ACH-000067,-1.5163137649399998
ACH-000070,-1.51180637598
ACH-000075,-1.76211229717
ACH-000078,-1.8486747406400001
ACH-000082,-1.9349915951700003
ACH-000085,-1.7275018537599998
ACH-000086,-1.42270655789
ACH-000087,-1.65947920791
ACH-000092,-1.68642392542
ACH-000095,-1.8512171415
ACH-000097,-1.7178658477700002
ACH-000098,-1.4136756396799999
ACH-000099,-1.6912384047
ACH-000108,-1.819722265
ACH-000113,-2.02256202602
ACH-000115,-1.8256658373299999
ACH-000116,-1.503500651
ACH-000118,-1.69967938257
ACH-000120,-1.7796197642299998
ACH-000123,-1.8316454227
ACH-000127,-1.5703613574200002
ACH-000128,-2.16441391435
ACH-000132,-1.7954678867400002
ACH-000133,-1.7493261815799999
ACH-000137,-1.54858104018
ACH-000138,-1.57736655275
ACH-000142,-1.4077751837399999
ACH-000143,-1.43970601287
ACH-000146,-2.12506752114
ACH-000148,-1.7261992298
ACH-000150,-1.67789405685
ACH-000152,-1.6764945152700002
ACH-000153,-1.57456105966
ACH-000159,-1.61080063655
ACH-000160,-1.9288120273400002
ACH-000163,-1.83600925246
ACH-000167,-0.715765276448
ACH-000168,-1.7302896032900004
ACH-000169,-1.5942254392700002
ACH-000178,-1.6483935789700002
ACH-000182,-1.83814673271
ACH-000183,-1.6484612029700003
ACH-000188,-1.73792561002
ACH-000189,-1.5051407341299998
ACH-000190,-1.5034843437
ACH-000198,-1.9689822620700002
ACH-000204,-1.43757805576
ACH-000206,-1.3666063257799999
ACH-000207,-1.70673876868
ACH-000211,-1.5318301049
ACH-000215,-1.46802933917
ACH-000221,-1.91241737879
ACH-000222,-1.62257989174
ACH-000223,-1.80130051509
ACH-000226,-1.6351591552899998
ACH-000227,-1.9181214921
ACH-000228,-1.58007443114
ACH-000231,-1.68076852198
ACH-000232,-1.8406061245599996
ACH-000233,-1.7314927707799999
ACH-000234,-1.61885355104
ACH-000235,-1.7427103878599999
ACH-000237,-1.65005153473
ACH-000238,-1.6084005853999999
ACH-000243,-1.60540336317
ACH-000244,-1.7757586276800001
ACH-000246,-1.56786139711
ACH-000248,-1.47629780681
ACH-000250,-1.56923878095
ACH-000251,-1.53638088727
ACH-000253,-1.6479404166100002
ACH-000255,-1.49222263541
ACH-000256,-1.5749453405
ACH-000257,-1.15422054157
ACH-000258,-1.627860874
ACH-000259,-1.57254670213
ACH-000260,-1.69641991804
ACH-000261,-1.5940481897
ACH-000262,-1.67628967754
ACH-000263,-2.0216906049000003
ACH-000264,-1.4872048552200001
ACH-000265,-1.68134769533
ACH-000266,-1.3580370573700002
ACH-000272,-1.6352061666600002
ACH-000273,-1.76181388126
ACH-000274,-1.6047131083700001
ACH-000277,-1.8441509195099997
ACH-000278,-1.57941624509
ACH-000279,-1.6286063285499999
ACH-000280,-1.6665748183000002
ACH-000281,-1.62360218928
