,AGMAT (79814)
ACH-000004,-0.164103700751
ACH-000007,0.015435433911700002
ACH-000009,-0.39786218694799996
ACH-000011,-0.219378051261
ACH-000012,-0.0829832852454
ACH-000013,-0.158137169209
ACH-000014,-0.176840770626
ACH-000015,-0.056683296043699996
ACH-000017,-0.106758857403
ACH-000018,-0.0318594976909
ACH-000019,-0.08614377800419999
ACH-000021,-0.12573449605
ACH-000022,-0.11558122313500001
ACH-000025,-0.297844296001
ACH-000028,-0.163877829798
ACH-000030,-0.13041411931500002
ACH-000035,-0.230855568018
ACH-000036,-0.08743608127360002
ACH-000037,-0.57638770964
ACH-000039,0.055421050295599995
ACH-000040,-0.255020564817
ACH-000041,-0.18717559928
ACH-000042,-0.0756278313497
ACH-000045,0.028185009893400004
ACH-000047,-0.404601125844
ACH-000052,-0.22278245279599998
ACH-000053,-0.174056646001
ACH-000054,-0.18510340966699998
ACH-000055,-0.07220724250789999
ACH-000060,-0.125578974367
ACH-000067,-0.09369662257549999
ACH-000070,-0.0426536836147
ACH-000075,-0.534354941654
ACH-000078,0.020189071909700002
ACH-000082,-0.345421271974
ACH-000085,-0.335218104033
ACH-000086,-0.281381647447
ACH-000087,-0.331729000535
ACH-000092,-0.34508208738799995
ACH-000095,-0.0780664477696
ACH-000097,-0.175544563392
ACH-000098,-0.30448561706099997
ACH-000099,-0.10556852853700001
ACH-000108,-0.197477913607
ACH-000113,-0.226389886955
ACH-000115,-0.17008375308899998
ACH-000116,-0.00330304850891
ACH-000118,-0.120016834448
ACH-000120,-0.113819237498
ACH-000123,-0.16392062498600002
ACH-000127,-0.117696429541
ACH-000128,-0.439664754901
ACH-000132,-0.09107500935599999
ACH-000133,-0.131287486816
ACH-000137,-0.296684580019
ACH-000138,-0.065989592432
ACH-000142,-0.25491616920800003
ACH-000143,0.123309482072
ACH-000146,-0.118383857102
ACH-000148,-0.17009388726
ACH-000150,-0.652888864265
ACH-000152,-0.373742914717
ACH-000153,0.127931111427
ACH-000159,-0.303219149177
ACH-000160,-0.0782414327519
ACH-000163,-0.17190157596900002
ACH-000167,-0.16732628743300001
ACH-000168,-0.196615836196
ACH-000169,-0.259339035396
ACH-000178,-0.0708912373919
ACH-000182,-0.09175537775969998
ACH-000183,-0.39447183765
ACH-000188,-0.219779290942
ACH-000189,-0.125881901229
ACH-000190,-0.174639054791
ACH-000198,-0.120577952927
ACH-000204,-0.292320001725
ACH-000206,-0.246711748474
ACH-000207,-0.0408212377245
ACH-000211,-0.0853261429724
ACH-000215,-0.25523480454
ACH-000221,-0.215294631374
ACH-000222,0.20675925712
ACH-000223,-0.26313236656800004
ACH-000226,-0.251772857762
ACH-000227,-0.153641262863
ACH-000228,-0.323742918099
ACH-000231,-0.18016326688200002
ACH-000232,-0.106662705459
