,GPA33 (10223)
ACH-000004,-0.0968199086924
ACH-000007,-0.0419257415631
ACH-000009,-0.227755172156
ACH-000011,0.012459972861600001
ACH-000012,-0.13637165511399998
ACH-000013,-0.0137537335241
ACH-000014,-0.101776195181
ACH-000015,-0.09498146516339999
ACH-000017,-0.117969977007
ACH-000018,-0.041829446895
ACH-000019,-0.0752401793877
ACH-000021,-0.12480822169000001
ACH-000022,0.0337467627314
ACH-000025,-0.09802145850680001
ACH-000028,-0.13139607609999998
ACH-000030,-0.0408008980034
ACH-000035,-0.17337414277899998
ACH-000036,-0.0307376608475
ACH-000037,-0.346958498357
ACH-000039,-0.0610338001189
ACH-000040,-0.0027476657646900004
ACH-000041,-0.06333088119210001
ACH-000042,-0.00647742308622
ACH-000045,0.06609951801969999
ACH-000047,0.09418516743930001
ACH-000052,0.106356436885
ACH-000053,-0.178644615151
ACH-000054,-0.13706642985200002
ACH-000055,-0.14471002546700001
ACH-000060,0.0812003627976
ACH-000067,0.21702475264499999
ACH-000070,-0.10247536669099999
ACH-000075,-0.0388545420969
ACH-000078,0.0518853596882
ACH-000082,-0.16414535785700002
ACH-000085,-0.0037060872447100004
ACH-000086,-0.325669498895
ACH-000087,0.10029583398700001
ACH-000092,-0.0106481101676
ACH-000095,-0.0586018332235
ACH-000097,-0.0327890808328
ACH-000098,-0.168777868533
ACH-000099,-0.035856942147400005
ACH-000108,-0.027901371526
ACH-000113,-0.00284647453897
ACH-000115,0.0125163079456
ACH-000116,-0.0603095140157
ACH-000118,-0.0139305378514
ACH-000120,-0.00824497487228
ACH-000123,-0.046482222358300004
ACH-000127,-0.164738766928
ACH-000128,0.070714545183
ACH-000132,-0.0789274667266
ACH-000133,-0.13599825352800002
ACH-000137,0.07357641671569999
ACH-000138,0.05059526668330001
ACH-000142,-0.148403287101
ACH-000143,-0.07936784375099999
ACH-000146,-0.102810837862
ACH-000148,-0.10855101739600001
ACH-000150,0.0968705659956
ACH-000152,-0.0688786474542
ACH-000153,-0.00496976731052
ACH-000159,-0.19557437844999997
ACH-000160,0.025954517676
ACH-000163,0.09128381510669999
ACH-000167,0.0418661474685
ACH-000168,-0.0986181940185
ACH-000169,-0.06276252134469999
ACH-000178,-0.0168534182984
ACH-000182,0.0817868583495
ACH-000183,-0.07959941457860001
ACH-000188,0.106448777368
ACH-000189,0.170795461282
ACH-000190,-0.0792828975367
ACH-000198,-0.042151631324199995
ACH-000204,-0.457011282789
ACH-000206,-0.23397568014800002
ACH-000207,0.110893824836
ACH-000211,-0.06810682261710001
ACH-000215,-0.116891636043
ACH-000221,-0.0317013571388
ACH-000222,0.00831672625609
ACH-000223,-0.184045055471
ACH-000226,-0.054282020698499994
ACH-000227,-0.126896574704
ACH-000228,-0.048684062831600004
ACH-000231,-0.09284498382300001
ACH-000232,-0.150240919345
ACH-000233,-0.0245218796429
ACH-000234,-0.124080367864
ACH-000235,-0.043092422274199994
ACH-000237,-0.0815296199837
ACH-000238,0.008661945684549999
ACH-000243,-0.115824028698
ACH-000244,-0.28114812676600004
ACH-000246,-0.067392373274
ACH-000248,-0.121109049342
ACH-000250,-0.139983687493
ACH-000251,-0.0385712779885
ACH-000253,-0.0466820542903
ACH-000255,-0.0803410784661
ACH-000256,0.067660988655
ACH-000257,0.441330785876
ACH-000258,-0.42971550631800004
ACH-000259,-0.0670197725616
ACH-000260,-0.032247995203100004
ACH-000261,0.006276485246560001
ACH-000262,0.27862357666
ACH-000263,-0.09656200392179999
ACH-000264,-0.19713644340999997
ACH-000265,-0.020163005164400002
ACH-000266,-0.111755543476
ACH-000272,-0.0923056285981
ACH-000273,-0.052312133902400006
ACH-000274,0.200913776629
ACH-000277,-0.009229315328129999
ACH-000278,0.0237915647827
ACH-000279,-0.009982133791290001
ACH-000280,0.0227372897003
ACH-000281,-0.225581646499
ACH-000288,-0.06598896749239999
ACH-000291,-0.00393114781831
ACH-000293,0.0197702733525
ACH-000294,-0.115595160899
ACH-000295,4.39416502346e-05
ACH-000296,-0.062665633389
ACH-000302,-0.039176621683099995
ACH-000304,-0.0044580447326300005
ACH-000307,-0.016668527415100002
ACH-000308,-0.111787467926
ACH-000310,-0.27228832925
ACH-000311,-0.0603010715815
ACH-000312,-0.169203231958
ACH-000315,-0.301285842656
ACH-000316,0.09327786380000001
ACH-000317,-0.117026984846
ACH-000318,-0.0727709778107
ACH-000319,-0.152748354799
ACH-000320,-0.163437170563
ACH-000322,0.0381735009171
ACH-000323,-0.055390820171499995
ACH-000324,-0.0584856221096
ACH-000329,-0.0211167240069
ACH-000330,-0.006750676750729999
ACH-000331,-0.12329947355799999
ACH-000332,-0.157372765987
ACH-000334,0.10800193005200001
