,AUNIP (79000)
ACH-000004,-0.033573088654
ACH-000007,-0.631301894368
ACH-000009,-0.325703843576
ACH-000011,-0.43982970073100003
ACH-000012,-0.08984083189179999
ACH-000013,-0.277662043462
ACH-000014,-0.277504220638
ACH-000015,0.00574873198203
ACH-000017,-0.05868352085300001
ACH-000018,-0.0630189183115
ACH-000019,-0.293278031112
ACH-000021,-0.111987587571
ACH-000022,-0.152101898256
ACH-000025,-0.20520973095199999
ACH-000028,-0.213750383558
ACH-000030,-0.15539648229
ACH-000035,-0.0657297883381
ACH-000036,-0.12629465425
ACH-000037,-0.00024619531977900004
ACH-000039,-0.12284251005300001
ACH-000040,-0.191411188972
ACH-000041,-0.103635049341
ACH-000042,0.0930718185791
ACH-000045,0.043977546926
ACH-000047,0.024485585030700002
ACH-000052,-0.413253049077
ACH-000053,-0.126627003111
ACH-000054,-0.262835388596
ACH-000055,-0.397046562546
ACH-000060,-0.232198700973
ACH-000067,-0.0580763665089
ACH-000070,-0.19144735674000002
ACH-000075,-0.390801570444
ACH-000078,-0.017310237288799997
ACH-000082,-0.217600852212
ACH-000085,-0.242875520517
ACH-000086,-0.22843302556999998
ACH-000087,-0.152928828668
ACH-000092,-0.376521486
ACH-000095,-0.114491025637
ACH-000097,-0.04436876584919999
ACH-000098,-0.19269085401900002
ACH-000099,-0.199855399142
ACH-000108,-0.23745382387400002
ACH-000113,-0.223084644224
ACH-000115,-0.27803158994000005
ACH-000116,-0.18185321093499998
ACH-000118,-0.0482534031296
ACH-000120,-0.197024092501
ACH-000123,-0.18137109596
ACH-000127,-0.159782563882
ACH-000128,-0.153961371531
ACH-000132,-0.332489938764
ACH-000133,-0.09464728980210001
ACH-000137,-0.260612366286
ACH-000138,-0.0461431555017
ACH-000142,-0.00837717423027
ACH-000143,-0.0167680069379
ACH-000146,-0.05666921150359999
ACH-000148,-0.31718550075
ACH-000150,-0.470934372037
ACH-000152,-0.607112050876
ACH-000153,-0.416564285953
ACH-000159,-0.160357662577
ACH-000160,-0.13792265055199998
ACH-000163,-0.110914154125
ACH-000167,-0.0702245027432
ACH-000168,-0.162383883588
