,GRAMD1A (57655)
ACH-000004,0.00640108244453
ACH-000007,-0.260928885041
ACH-000009,0.0571071729072
ACH-000011,-0.0605696073802
ACH-000012,0.050385331133000005
ACH-000013,-0.21914378633099998
ACH-000014,-0.0013628045215599998
ACH-000015,-0.238162956824
ACH-000017,0.084487184267
ACH-000018,0.067354045062
ACH-000019,-0.08752281307250001
ACH-000021,-0.0706543548337
ACH-000022,-0.198744615073
ACH-000025,0.190498955955
ACH-000028,-0.0538908760573
ACH-000030,-0.137286090699
ACH-000035,-0.140475274817
ACH-000036,0.08632695039889998
ACH-000037,-0.0985518488425
ACH-000039,0.12154561221599999
ACH-000040,0.137262900134
ACH-000041,0.343817453719
ACH-000042,-0.054813359156599996
ACH-000045,-0.05524810523009999
ACH-000047,0.022452520953000002
ACH-000052,-0.243689927401
ACH-000053,0.010984859460499999
ACH-000054,-0.10257049666000001
ACH-000055,-0.0898966599133
ACH-000060,-0.025531638110099997
ACH-000067,0.0407420669181
ACH-000070,-0.0014155531963900001
ACH-000075,-0.23754315570099999
ACH-000078,0.164243704099
ACH-000082,-0.0123087882982
ACH-000085,-0.172500178478
ACH-000086,-0.292384508134
ACH-000087,0.0723715674383
ACH-000092,-0.030425156921900003
ACH-000095,0.0133170149298
ACH-000097,0.0812169492908
ACH-000098,-0.17256523513799998
ACH-000099,0.00393690422072
ACH-000108,-0.05139227142
ACH-000113,0.123264673756
ACH-000115,0.113577845288
ACH-000116,0.000975716803945
ACH-000118,0.0134536248092
ACH-000120,0.009515780602209999
ACH-000123,-0.15445962824
ACH-000127,-0.036080156965099995
ACH-000128,0.16354983070999998
ACH-000132,0.0686881945319
ACH-000133,-0.032766448629900004
ACH-000137,-0.093441700512
ACH-000138,-0.0164438106872
ACH-000142,0.011759202302899998
ACH-000143,0.0811974121195
ACH-000146,0.0921555661627
ACH-000148,0.0333487769985
ACH-000150,0.128690703027
ACH-000152,-0.14861232646199998
ACH-000153,-0.054712628403500004
ACH-000159,0.119083099174
ACH-000160,-0.00917987072412
ACH-000163,-0.0582818717189
ACH-000167,0.230826195865
ACH-000168,-0.117780894682
ACH-000169,-0.021910973424499998
ACH-000178,-0.00697012847025
ACH-000182,0.0017192426301
ACH-000183,-0.12125877919700001
ACH-000188,-0.160708816493
ACH-000189,0.0907161947824
ACH-000190,-0.237746359326
ACH-000198,-0.09333800494989998
ACH-000204,-0.043901836243199995
ACH-000206,-0.08033037414139998
ACH-000207,-0.151658393831
ACH-000211,0.0306071572065
