,RAPGEF6 (51735)
ACH-000004,0.144232087676
ACH-000007,-0.317917017961
ACH-000009,-0.224947670229
ACH-000011,-0.121345515824
ACH-000012,-0.09075915260680001
ACH-000013,0.0625432053602
ACH-000014,-0.269974274725
ACH-000015,-0.21491802278900002
ACH-000017,0.062634479969
ACH-000018,-0.227870256393
ACH-000019,0.0279320753262
ACH-000021,-0.00249059561985
ACH-000022,0.0890864869541
ACH-000025,-0.391919494242
ACH-000028,-0.12732907337899999
ACH-000030,0.0028366155332
ACH-000035,0.0366361312912
ACH-000036,-0.05983256362509999
ACH-000037,-0.24064534282900002
ACH-000039,0.236132410628
ACH-000040,-0.275779422833
ACH-000041,0.151705732501
ACH-000042,-0.210066568349
ACH-000045,-0.165390555624
ACH-000047,-0.15927064208900002
ACH-000052,-0.340108046283
ACH-000053,-0.009064663764629999
ACH-000054,-0.22266030112399998
ACH-000055,0.105323716435
ACH-000060,-0.279447953302
ACH-000067,-0.28407522362599996
ACH-000070,0.06865759495939999
ACH-000075,-0.188406816789
ACH-000078,0.160255201226
ACH-000082,-0.18979299324999999
ACH-000085,0.0317998046359
ACH-000086,-0.288098674662
ACH-000087,-0.052844548322300004
ACH-000092,-0.28609765970400003
ACH-000095,-0.051401373777
ACH-000097,0.148238624749
ACH-000098,-0.36863356546400006
ACH-000099,0.00640079110222
ACH-000108,-0.22685251738499998
ACH-000113,-0.277023600911
ACH-000115,0.0347646273303
ACH-000116,-0.029555655941400003
ACH-000118,-0.1306418957
ACH-000120,-0.23257176403299998
ACH-000123,0.0281331960003
ACH-000127,-0.294033367836
ACH-000128,-0.0159555814757
ACH-000132,-0.0737744959169
ACH-000133,-0.0503477821351
ACH-000137,-0.07086243133110001
ACH-000138,-0.177566666934
ACH-000142,0.0700273410774
ACH-000143,0.047753739048300006
ACH-000146,-0.150262437753
ACH-000148,-0.185542202023
ACH-000150,-0.136595954465
ACH-000152,-0.203131196125
ACH-000153,0.18407895844900002
ACH-000159,-0.147637535859
ACH-000160,0.032130336299
ACH-000163,-0.19606448793200001
ACH-000167,-0.27878512404
ACH-000168,-0.115082843777
ACH-000169,-0.07617858290969999
ACH-000178,-0.044623553361
ACH-000182,-0.0140946096056
ACH-000183,-0.378391063803
ACH-000188,-0.151931797885
ACH-000189,-0.08631086916139999
ACH-000190,-0.124008164868
ACH-000198,-0.25103779292
ACH-000204,-0.0776247240609
ACH-000206,-0.179837884492
ACH-000207,0.00414590431695
ACH-000211,-0.26048296123500003
ACH-000215,-0.0696325318197
ACH-000221,-0.126044481662
ACH-000222,-0.174958581934
ACH-000223,-0.042958650281999994
ACH-000226,0.053282175992400004
ACH-000227,0.0363895876889
ACH-000228,0.0634985329636
ACH-000231,-0.0801381919575
ACH-000232,-0.345411734757
ACH-000233,-0.134789041301
ACH-000234,-0.323245860253
ACH-000235,-0.239204210895
ACH-000237,-0.0348429426786
ACH-000238,-0.0428286867468
ACH-000243,-0.154546283147
ACH-000244,-0.23106810239300002
ACH-000246,-0.052658841607599996
ACH-000248,0.0456557775531
ACH-000250,-0.06605504242959999
ACH-000251,-0.42772860547200003
ACH-000253,-0.0788136874087
ACH-000255,-0.259402162115
ACH-000256,0.129584420746
ACH-000257,0.139182007936
ACH-000258,-0.103898439386
ACH-000259,0.0449037218597
ACH-000260,0.09169920864600001
ACH-000261,-0.179859057064
ACH-000262,-0.36901724511
ACH-000263,-0.09516476320049999
ACH-000264,-0.144913107323
ACH-000265,0.047213136889199994
ACH-000266,-0.173793407101
ACH-000272,-0.0590118917285
ACH-000273,-0.20801817301699999
ACH-000274,-0.155227166906
ACH-000277,0.224406343272
ACH-000278,0.13065149808
ACH-000279,-0.0681925075074
ACH-000280,-0.09354002142710001
ACH-000281,-0.0428910180225
ACH-000288,-0.201101465899
ACH-000291,-0.00658314207543
ACH-000293,0.0509203875255
ACH-000294,-0.09321665894339999
ACH-000295,-0.06978085214589999
ACH-000296,-0.39024268497299996
ACH-000302,-0.20857975614500002
ACH-000304,-0.230477128087
ACH-000307,0.020059810998200003
ACH-000308,0.015159746716200002
ACH-000310,-0.018271457888099998
ACH-000311,0.104416692027
ACH-000312,-0.11041432230699999
ACH-000315,-0.47542775873800003
ACH-000316,-0.181375136858
ACH-000317,-0.0312265983819
ACH-000318,0.033258912939999996
ACH-000319,-0.254871778085
ACH-000320,-0.150146834209
ACH-000322,-0.06146512542219999
ACH-000323,-0.304611430216
ACH-000324,-0.13749679756799998
ACH-000329,-0.141311833674
ACH-000330,-0.16940158406199998
