,SEBOX (645832)
ACH-000004,-0.101548638914
ACH-000007,-0.151729321608
ACH-000009,-0.21793470315299998
ACH-000011,-0.421858548821
ACH-000012,-0.104259960735
ACH-000013,-0.240747288072
ACH-000014,-0.128259386434
ACH-000015,-0.0610674557675
ACH-000017,-0.368705243311
ACH-000018,-0.318249649773
ACH-000019,-0.247357790736
ACH-000021,-0.270148864853
ACH-000022,-0.631558068975
ACH-000025,-0.0323355266945
ACH-000028,-0.25178666810600003
ACH-000030,-0.24139636181200003
ACH-000035,-0.258608829877
ACH-000036,-0.145726473814
ACH-000037,-0.101758297282
ACH-000039,-0.330218008638
ACH-000040,-0.08560625048139998
ACH-000041,-0.465427499005
ACH-000042,-0.0557467280321
ACH-000045,-0.10291445469900001
ACH-000047,-0.234638415297
ACH-000052,-0.17844837133299998
ACH-000053,0.033941900455299996
ACH-000054,-0.176554963966
ACH-000055,-0.061655090353499996
ACH-000060,-0.102843223152
ACH-000067,-0.25753495399099996
ACH-000070,-0.214995873202
ACH-000075,-0.208556930513
ACH-000078,-0.07373644926730001
ACH-000082,-0.2681368035
ACH-000085,-0.122783428204
ACH-000086,-0.171350133575
ACH-000087,-0.0392643922385
ACH-000092,-0.0416586403661
ACH-000095,-0.436466261791
ACH-000097,-0.17388620463799997
ACH-000098,-0.0389474798421
ACH-000099,-0.0477394531895
ACH-000108,-0.158612910666
ACH-000113,-0.172225333035
ACH-000115,-0.299234441531
ACH-000116,-0.332934564335
ACH-000118,-0.06945657571910001
ACH-000120,-0.012175289085299999
ACH-000123,-0.149369018601
ACH-000127,-0.0361052603101
ACH-000128,-0.296477181204
ACH-000132,-0.00182204348244
ACH-000133,-0.0593119920758
ACH-000137,-0.19112083729899998
ACH-000138,-0.12153359359400001
ACH-000142,-0.26705206032699996
ACH-000143,-0.17943468887000003
ACH-000146,-0.20266325859700002
ACH-000148,-0.24621000882199998
ACH-000150,-0.101993809464
ACH-000152,-0.177376395097
ACH-000153,-0.11302132886
ACH-000159,-0.0429120600722
ACH-000160,-0.22600575440200002
ACH-000163,-0.0960866763862
ACH-000167,0.00587998628569
ACH-000168,0.133708660379
ACH-000169,-0.291472106468
ACH-000178,-0.184820626147
ACH-000182,-0.310346534589
ACH-000183,-0.20901591010099999
ACH-000188,-0.19434664495499998
ACH-000189,-0.171138937233
ACH-000190,-0.37539498255900006
ACH-000198,-0.09588165169730001
ACH-000204,-0.326297741115
ACH-000206,0.141550722288
ACH-000207,0.09970801542439998
ACH-000211,-0.269502240547
ACH-000215,-0.22820264523699998
ACH-000221,-0.15815981311799998
