,PDE12 (201626)
ACH-000004,-0.193241951621
ACH-000007,-0.534259826921
ACH-000009,-0.35777927561800005
ACH-000011,-0.225994642911
ACH-000012,-0.615329932985
ACH-000013,-0.707679586561
ACH-000014,-0.411724041619
ACH-000015,-0.503692789848
ACH-000017,-0.40518032626
ACH-000018,-0.380628770216
ACH-000019,-0.474017913797
ACH-000021,-0.605938478306
ACH-000022,-0.534972843299
ACH-000025,-0.703284031865
ACH-000028,-0.646628888918
ACH-000030,-0.335735305714
ACH-000035,-0.572961008204
ACH-000036,-0.113222597439
ACH-000037,-0.406231803248
ACH-000039,-0.594967379513
ACH-000040,-0.416304588666
ACH-000041,-0.397629822323
ACH-000042,-0.322991974635
ACH-000045,-0.824576150396
ACH-000047,-0.8642719633879999
ACH-000052,-0.20684436728100003
ACH-000053,-0.24519762484299998
ACH-000054,-0.363482648043
ACH-000055,-0.0810837958787
ACH-000060,-0.450281551517
ACH-000067,-0.408345343208
ACH-000070,-0.343919473803
ACH-000075,-0.502052906498
ACH-000078,-0.250787355052
ACH-000082,-0.29122629258
ACH-000085,-0.242193097218
ACH-000086,-0.41408669070200005
ACH-000087,-0.45657722813999996
ACH-000092,-0.4585314468
ACH-000095,-0.323213806038
ACH-000097,-0.585448081628
ACH-000098,-0.481704613007
ACH-000099,-0.708883018821
ACH-000108,-0.222447951266
ACH-000113,-0.759403445394
ACH-000115,-0.17630506957400002
ACH-000116,-0.300846073795
ACH-000118,-0.612269515175
ACH-000120,-0.36268812062899997
ACH-000123,-0.6112421482429999
ACH-000127,-0.12467013572899999
ACH-000128,-0.602817543339
ACH-000132,-0.12462180570800001
ACH-000133,-0.547360504205
ACH-000137,-0.197822432583
ACH-000138,-0.498675407382
ACH-000142,-0.388889953138
ACH-000143,-0.364804598517
ACH-000146,-0.5798253374310001
ACH-000148,-0.41737207132200005
ACH-000150,-0.65913123511
ACH-000152,-0.48449115825000005
ACH-000153,-0.44567009783999995
ACH-000159,-0.38516555841300004
ACH-000160,-0.447912128179
ACH-000163,-0.11322834921800001
ACH-000167,-0.13297581951600002
ACH-000168,0.0923428611731
ACH-000169,-0.41151158807899996
ACH-000178,-0.213646645202
ACH-000182,-0.23479452928800001
ACH-000183,-0.177518247291
ACH-000188,-0.324261897368
ACH-000189,-0.556900121667
ACH-000190,-0.272463568092
ACH-000198,-0.7092525182889999
ACH-000204,-0.655852064839
ACH-000206,-0.197625660195
ACH-000207,-0.721802002693
ACH-000211,-0.5148586281490001
ACH-000215,-0.424091624526
ACH-000221,-0.5638661188440001
ACH-000222,-0.23682884224
ACH-000223,-0.47023183244499994
ACH-000226,-0.291998729176
ACH-000227,-0.347452693508
ACH-000228,-0.530285435014
ACH-000231,-0.275753648088
ACH-000232,-0.418130644913
ACH-000233,-0.305474061154
ACH-000234,-0.356360194835
ACH-000235,-0.193638250558
ACH-000237,-0.187944811747
ACH-000238,-0.256840008107
ACH-000243,-0.501498884341
ACH-000244,-0.482395052522
ACH-000246,-0.919703220844
ACH-000248,-0.399872791863
ACH-000250,-0.257410160692
ACH-000251,-0.374869755986
ACH-000253,-0.25293316522
ACH-000255,-0.492924083036
ACH-000256,-0.280611899855
ACH-000257,-0.570922535517
ACH-000258,-0.9558298874860001
