,MCFD2 (90411)
ACH-000004,-0.033416231947200004
ACH-000007,-0.103604685917
ACH-000009,-0.0034144352187399996
ACH-000011,-0.176999509912
ACH-000012,-0.103138232829
ACH-000013,-0.109352992655
ACH-000014,-0.17416805661499998
ACH-000015,0.0211565785957
ACH-000017,-0.15954483247600001
ACH-000018,-0.057524478310900004
ACH-000019,-0.148124633096
ACH-000021,-0.08928691821939999
ACH-000022,-0.0854780830877
ACH-000025,-0.0654232719388
ACH-000028,-0.10821211452
ACH-000030,-0.211132865087
ACH-000035,-0.315127323551
ACH-000036,-0.242000015992
ACH-000037,-0.17924928872499998
ACH-000039,-0.246431261428
ACH-000040,-0.07146843220139999
ACH-000041,-0.08223681956039999
ACH-000042,-0.120958790926
ACH-000045,-0.204023901794
ACH-000047,-0.243485864462
ACH-000052,-0.11094868181800001
ACH-000053,-0.177199353234
ACH-000054,-0.200153076391
ACH-000055,-0.341248621268
ACH-000060,-0.112810039045
ACH-000067,-0.141146708318
ACH-000070,-0.22268948030299998
ACH-000075,-0.476961501126
ACH-000078,-0.20073655237500002
ACH-000082,-0.045398086712499994
ACH-000085,-0.307939831087
ACH-000086,-0.127260779218
ACH-000087,-0.35870226365900004
ACH-000092,-0.325190187093
ACH-000095,-0.20540919832600002
ACH-000097,-0.16798511235999997
ACH-000098,-0.00781456057637
ACH-000099,-0.266251992176
ACH-000108,-0.0642051602575
ACH-000113,0.0178080295864
ACH-000115,-0.248721150372
ACH-000116,-0.18618272300299998
ACH-000118,-0.23657891377300003
ACH-000120,-0.166389071401
ACH-000123,-0.10966406264499999
ACH-000127,-0.289415384287
ACH-000128,-0.111462803074
ACH-000132,-0.248306984515
ACH-000133,-0.31685945313999997
ACH-000137,-0.0280241830693
ACH-000138,-0.104608945889
ACH-000142,-0.26264592217599997
ACH-000143,0.160119363476
ACH-000146,-0.229728247161
ACH-000148,-0.121078604021
ACH-000150,0.0439905008546
ACH-000152,-0.169146201586
ACH-000153,-0.00655795195221
ACH-000159,-0.146575341079
ACH-000160,-0.210616414226
ACH-000163,-0.17108556322299998
ACH-000167,-0.204299494113
ACH-000168,-0.0840962318542
ACH-000169,-0.0482026872839
ACH-000178,-0.12055874688899999
ACH-000182,-0.156498460081
ACH-000183,-0.0630255941605
ACH-000188,-0.124538201873
ACH-000189,-0.391860501715
ACH-000190,0.0174430915292
ACH-000198,-0.0801087348087
ACH-000204,-0.10726285306700001
ACH-000206,-0.10652244663999999
ACH-000207,-0.235219176747
ACH-000211,-0.061136136164999993
ACH-000215,-0.18641234436
ACH-000221,-0.050665478525900004
ACH-000222,-0.206311907423
ACH-000223,-0.382879111316
ACH-000226,-0.18977570385499998
ACH-000227,-0.0797662219903
ACH-000228,-0.218052990588
ACH-000231,-0.289481497372
ACH-000232,-0.08132344831039999
ACH-000233,-0.229305935818
ACH-000234,-0.19797940704999997
ACH-000235,-0.020019369719900003
ACH-000237,-0.155635702135
ACH-000238,-0.17512175450999998
ACH-000243,-0.29682094826
ACH-000244,-0.20309761225099998
ACH-000246,-0.153689567801
ACH-000248,-0.439225688827
ACH-000250,-0.150783821715
ACH-000251,0.141376751948
ACH-000253,-0.124049613857
ACH-000255,-0.0881053842034
ACH-000256,-0.333390132579
ACH-000257,0.0178206019006
ACH-000258,-0.23812383788199998
ACH-000259,-0.16756446106200001
ACH-000260,-0.223507393068
ACH-000261,-0.055941537282800005
ACH-000262,-0.08493449128410001
ACH-000263,-0.117994683563
ACH-000264,-0.26646118070700003
ACH-000265,-0.15944095764900001
ACH-000266,-0.19208310295699998
ACH-000272,-0.18654844765
ACH-000273,-0.188595577226
ACH-000274,-0.17202975188099998
ACH-000277,-0.0625266801879
ACH-000278,0.0138642647475
ACH-000279,-0.08800098872850001
ACH-000280,-0.117849975902
ACH-000281,-0.242544128807
ACH-000288,-0.216408258025
ACH-000291,-0.22792920791700003
ACH-000293,-0.148149686982
ACH-000294,-0.18062723441
ACH-000295,-0.273985265022
ACH-000296,0.135062342152
ACH-000302,0.0478902275012
ACH-000304,0.07969108574969999
ACH-000307,-0.12850374992900002
ACH-000308,-0.3592058829
ACH-000310,-0.27483574005
ACH-000311,-0.49458795339100003
ACH-000312,-0.35326535075800003
ACH-000315,-0.452151841916
ACH-000316,-0.028420528065200002
ACH-000317,-0.387730573178
ACH-000318,-0.220989194424
ACH-000319,-0.048274361805499995
ACH-000320,-0.419134405177
ACH-000322,-0.0424164070851
ACH-000323,-0.406928720455
ACH-000324,-0.23675176128199998
ACH-000329,0.013628471721700001
ACH-000330,-0.20606130693799998
ACH-000331,-0.12951233868200002
ACH-000332,-0.130513644017
ACH-000334,-0.061347225079800005
ACH-000335,-0.0761134574221
ACH-000336,-0.00214016307076
ACH-000337,0.0832254912855
ACH-000339,-0.110120817925
ACH-000341,-0.212569473629
ACH-000348,-0.132617888104
ACH-000350,-0.362241378693
ACH-000352,-0.0775184567715
ACH-000356,-0.131163010089
ACH-000361,-0.20508644822500002
ACH-000362,-0.149968496347
ACH-000363,0.125760990337
ACH-000364,-0.025195722157099996
ACH-000365,-0.009906058388700002
ACH-000366,-0.040561545490900006
ACH-000368,-0.150484855086
ACH-000374,-0.06841255556480001
ACH-000375,-0.074951888277
ACH-000376,-0.203746591813
ACH-000381,-0.42816938248099995
ACH-000383,-0.03373524430390001
ACH-000387,-0.199121286649
ACH-000389,-0.22663170114599998
ACH-000390,-0.0651607313399
ACH-000393,-0.101754348454
ACH-000395,-0.22209877608800002
ACH-000397,-0.125503534019
ACH-000401,-0.330716103351
ACH-000402,-0.149521274271
ACH-000403,-0.15408748646099998
ACH-000404,0.0742773161461
ACH-000406,-0.127753678533
ACH-000407,-0.16376079807
ACH-000408,-0.292810595835
ACH-000410,-0.176245373913
ACH-000411,-0.15910980142
ACH-000414,-0.23340902746800002
ACH-000415,-0.137713499282
ACH-000416,-0.059774579034699994
ACH-000420,-0.09316309208319999
ACH-000421,-0.128063639984
ACH-000424,-0.10709890856799999
ACH-000425,-0.17824730409200001
ACH-000426,-0.055288780032599995
ACH-000427,-0.0821464697416
ACH-000433,-0.233454435978
ACH-000436,-0.20851692870000002
ACH-000444,-0.10427642546299999
ACH-000445,-0.193913635621
ACH-000448,-0.264399910381
ACH-000450,-0.21013657070099998
ACH-000452,-0.0741831661975
ACH-000454,-0.460794911723
ACH-000458,-0.0858337860996
ACH-000459,-0.0318888085663
ACH-000460,-0.26503049579
ACH-000461,-0.11270162900999998
ACH-000463,-0.187533329881
ACH-000464,-0.028575997833599997
ACH-000466,-0.0179095760878
ACH-000467,-0.245774940318
ACH-000468,-0.180204285149
ACH-000469,-0.107194247368
ACH-000470,-0.197279536092
ACH-000471,0.0025222165461799995
ACH-000472,-0.0026046145652399997
ACH-000473,-0.165753398644
ACH-000475,-0.103186344122
ACH-000476,-0.0341360310759
ACH-000477,-0.18659569125300002
ACH-000480,-0.0612104948157
ACH-000481,0.012237809113200002
ACH-000483,-0.0944244808123
ACH-000484,-0.216812405462
ACH-000485,0.0072111050400900005
ACH-000486,-0.207766465411
ACH-000487,-0.06688392809759999
ACH-000488,-0.18604175608399998
ACH-000490,-0.35628621097499996
ACH-000491,-0.120123011681
ACH-000495,-0.355365814768
ACH-000496,-0.0477582948299
ACH-000499,-0.042667852031100004
ACH-000500,0.185455060953
ACH-000502,-0.25908285436
ACH-000503,-0.15255120583100001
ACH-000505,-0.09642046028339998
