,SEMA3F (6405)
ACH-000004,-0.111994733534
ACH-000007,-0.40240034866400004
ACH-000009,-0.169233081512
ACH-000011,-0.487285645241
ACH-000012,-0.43289878236100005
ACH-000013,-0.29483654401
ACH-000014,-0.233301762476
ACH-000015,-0.342517022196
ACH-000017,-0.278254110403
ACH-000018,-0.322616754637
ACH-000019,-0.0265943794283
ACH-000021,-0.143770401941
ACH-000022,-0.353620205427
ACH-000025,-0.42575826968
ACH-000028,-0.197070600061
ACH-000030,-0.37600791190099997
ACH-000035,-0.299057515564
ACH-000036,-0.505980289037
ACH-000037,-0.42338068252800004
ACH-000039,-0.32813342835000003
ACH-000040,-0.22282407165999998
ACH-000041,0.00752381373997
ACH-000042,-0.33749583594899996
ACH-000045,-0.218602080275
ACH-000047,-0.408215445908
ACH-000052,-0.11452707755899999
ACH-000053,-0.330552333725
ACH-000054,-0.45516466773500003
ACH-000055,-0.435924111836
ACH-000060,-0.7291227965989999
ACH-000067,-0.488359409427
ACH-000070,-0.6866387541590001
ACH-000075,-0.49132380323700003
ACH-000078,-0.0774382072395
ACH-000082,-0.230685331761
ACH-000085,-0.165905271374
ACH-000086,-0.27673564376
ACH-000087,-0.35183337377499996
ACH-000092,-0.294207388244
ACH-000095,-0.42321895416599997
ACH-000097,-0.179515797821
ACH-000098,-0.288073284152
ACH-000099,-0.225298234545
ACH-000108,-0.296866341292
ACH-000113,-0.354330737156
ACH-000115,-0.291853773957
ACH-000116,-0.141889662759
ACH-000118,-0.2233642751
ACH-000120,-0.17458312968400003
ACH-000123,-0.345629425732
ACH-000127,-0.213248455295
ACH-000128,-0.572915525705
ACH-000132,-0.25555977931699997
ACH-000133,-0.275018722249
ACH-000137,-0.275892394447
ACH-000138,-0.198004495959
ACH-000142,-0.356446005485
ACH-000143,-0.260357767843
ACH-000146,-0.39459059093500004
ACH-000148,-0.308958680279
ACH-000150,-0.434444338288
ACH-000152,-0.367701561038
ACH-000153,-0.436496954131
ACH-000159,-0.22068468215
ACH-000160,-0.40956359268799997
ACH-000163,-0.23753368525
ACH-000167,-0.320446449859
ACH-000168,-0.260152152583
ACH-000169,-0.451282850582
ACH-000178,-0.34601210960199996
ACH-000182,-0.233571460021
ACH-000183,-0.44451605074699996
ACH-000188,-0.531935063041
ACH-000189,-0.391040648269
ACH-000190,-0.337665235966
ACH-000198,-0.30263278513
ACH-000204,-0.372350619516
ACH-000206,-0.19620482151299998
ACH-000207,-0.40182559825
ACH-000211,-0.43509903013000006
ACH-000215,-0.388389014446
ACH-000221,-0.19789484579799999
ACH-000222,-0.23485650354
ACH-000223,-0.31279678597800004
ACH-000226,-0.29067842866099997
ACH-000227,-0.18198158188900002
ACH-000228,-0.391416139326
ACH-000231,-0.424014659667
ACH-000232,-0.476322944401
ACH-000233,-0.242066507793
ACH-000234,-0.583327482825
ACH-000235,-0.253349843043
ACH-000237,-0.388588385132
ACH-000238,-0.291109776912
ACH-000243,-0.139147306479
ACH-000244,-0.25840183351999996
ACH-000246,-0.430585579023
ACH-000248,-0.190234827028
ACH-000250,-0.293494893754
ACH-000251,-0.12649670447
ACH-000253,-0.454640702776
ACH-000255,-0.578996427244
ACH-000256,-0.165087875162
ACH-000257,-0.309035440068
ACH-000258,-0.732029405608
ACH-000259,-0.227124133856
ACH-000260,-0.268215436243
ACH-000261,-0.2192534342
ACH-000262,-0.688463224376
ACH-000263,-0.362485270792
ACH-000264,-0.291990007926
ACH-000265,-0.304569529527
ACH-000266,-0.23673829927700002
ACH-000272,-0.210276818274
ACH-000273,-0.41498992045199995
ACH-000274,-0.5922726072810001
ACH-000277,-0.224946614426
ACH-000278,-0.21916619749699998
ACH-000279,-0.274363318764
ACH-000280,-0.42260492772
ACH-000281,-0.278994631098
ACH-000288,-0.270958615271
ACH-000291,-0.224177717823
ACH-000293,-0.176991125046
ACH-000294,-0.541137846868
ACH-000295,-0.6145580492639999
ACH-000296,0.225428176373
ACH-000302,-0.42073971392
ACH-000304,-0.21973645195500002
ACH-000307,-0.16516659839
ACH-000308,-0.35674466700900004
ACH-000310,-0.266187107358
ACH-000311,-0.155194135765
ACH-000312,-0.0421884056049
ACH-000315,-0.107511898758
ACH-000316,-0.315207273433
ACH-000317,-0.21116292409200002
ACH-000318,-0.333028270862
ACH-000319,-0.161573134049
ACH-000320,-0.035908502508699994
ACH-000322,-0.327788242593
ACH-000323,-0.34918871457500006
ACH-000324,-0.24355002278000001
ACH-000329,-0.357296763084
ACH-000330,-0.486605219239
ACH-000331,-0.5382271148009999
ACH-000332,-0.295415370628
ACH-000334,-0.19838747765700002
ACH-000335,-0.588068582183
ACH-000336,-0.10505088826600001
ACH-000337,-0.0559156713156
ACH-000339,-0.257070848374
ACH-000341,-0.294975325064
ACH-000348,-0.482408831867
ACH-000350,-0.39095981292599996
ACH-000352,-0.307781886266
ACH-000356,-0.255170306987
ACH-000361,-0.17105710452700001
ACH-000362,-0.11752453360099999
ACH-000363,-0.149895701993
ACH-000364,-0.167241721002
ACH-000365,-0.371535426145
ACH-000366,-0.19356818698800002
ACH-000368,-0.196731272564
ACH-000374,-0.44821948465499994
ACH-000375,-0.08690656561339999
ACH-000376,-0.33998830698399995
ACH-000381,-0.42834024948399996
ACH-000383,-0.387711172293
ACH-000387,-0.146189808388
ACH-000389,-0.540481204711
ACH-000390,-0.428500054149
ACH-000393,-0.359391820124
ACH-000395,-0.456307464761
ACH-000397,-0.213017146052
ACH-000401,-0.10763922568
ACH-000402,-0.610476807092
ACH-000403,-0.504706040915
ACH-000404,-0.327184217534
ACH-000406,-0.265290015531
ACH-000407,-0.379428715257
ACH-000408,-0.283790466941
ACH-000410,-0.175229884694
ACH-000411,-0.355344071061
ACH-000414,-0.00697721846161
ACH-000415,-0.583001097993
ACH-000416,-0.206641586873
ACH-000420,-0.497098579001
ACH-000421,-0.369440274825
ACH-000424,-0.579537149138
ACH-000425,-0.31124166396200004
ACH-000426,-0.337479456745
ACH-000427,-0.7281118433220001
ACH-000433,-0.40066276693499997
ACH-000436,-0.433619519627
ACH-000444,-0.15472369765799998
ACH-000445,-0.28139323379500003
ACH-000448,-0.317440536552
ACH-000450,-0.480554180933
ACH-000452,-0.407425995644
ACH-000454,-0.318580090803
ACH-000458,-0.7518861257699999
ACH-000459,-0.286345162592
ACH-000460,-0.21720796550000002
ACH-000461,-0.450121209484
ACH-000463,-0.257169100112
ACH-000464,-0.260845615795
ACH-000466,-0.214166412881
ACH-000467,-0.221931360954
ACH-000468,-0.322182635931
ACH-000469,-0.247688512708
ACH-000470,-0.0683123013987
ACH-000471,-0.433344619128
ACH-000472,-0.283256779956
ACH-000473,-0.334238963348
ACH-000475,-0.368738809604
ACH-000476,-0.37954506961499995
ACH-000477,-0.21290372139699998
ACH-000480,-0.347067780291
ACH-000481,-0.43172445154100003
ACH-000483,-0.107611448651
ACH-000484,-0.566650401492
ACH-000485,-0.6227692447259999
ACH-000486,-0.292004372329
ACH-000487,-0.187632938871
ACH-000488,-0.41365121161300006
ACH-000490,-0.21622127245499997
ACH-000491,-0.0485605664891
ACH-000495,-0.5906125774059999
ACH-000496,-0.235458495721
ACH-000499,-0.0978090843856
ACH-000500,-0.625746300671
ACH-000502,-0.234981629281
ACH-000503,-0.207310470672
ACH-000505,-0.333375877546
ACH-000507,-0.296549810745
ACH-000510,-0.30941636215199997
ACH-000511,-0.466197705789
ACH-000512,-0.539137816557
ACH-000516,-0.139050316937
ACH-000517,-0.459533752385
ACH-000518,-0.17371158450500002
ACH-000520,-0.20244440074099998
ACH-000521,-0.120145812325
ACH-000522,-0.22645182539900002
ACH-000524,-0.34315693534999997
ACH-000527,-0.252557145375
ACH-000528,-0.22227784062300002
ACH-000537,-0.494592969726
ACH-000541,0.061672492565
ACH-000542,-0.208790547453
ACH-000544,-0.33827351261200006
ACH-000545,-0.349817652649
ACH-000547,-0.341556253122
ACH-000548,-0.30168970071
ACH-000549,-0.301281745775
ACH-000550,-0.430875442015
ACH-000552,-0.338118088331
ACH-000556,-0.423505866761
ACH-000557,-0.13180716036100001
ACH-000570,-0.255140392673
ACH-000571,-0.46286346526600003
ACH-000573,-0.34081150581
ACH-000576,-0.281025835564
ACH-000580,-0.043185625731100005
ACH-000584,-0.263616705202
ACH-000585,-0.335301277706
ACH-000588,-0.35876255330799994
ACH-000589,-0.165464204019
ACH-000591,-0.26180620057500004
ACH-000593,-0.30263304636599997
ACH-000600,-0.47774227839199995
ACH-000601,-0.138075001151
ACH-000604,-0.378752975471
ACH-000605,-0.405836375592
ACH-000606,-0.617294183504
ACH-000608,-0.647353256882
ACH-000614,-0.193650063827
ACH-000616,-0.393937594253
ACH-000618,-0.303812261852
ACH-000619,-0.411242557893
ACH-000620,-0.30898468085499997
ACH-000621,-0.138920985445
ACH-000622,-0.49220435050399997
ACH-000623,-0.268713589902
ACH-000624,-0.32398213138
ACH-000627,-0.490586322529
ACH-000630,-0.48823806058499997
ACH-000632,-0.27387569979299997
ACH-000633,-0.232341448696
ACH-000637,-0.34688594784000004
ACH-000638,-0.295190861442
ACH-000646,0.0553877101076
ACH-000647,-0.269626498011
ACH-000648,-0.154226626225
ACH-000649,-0.312640953896
ACH-000651,-0.209245584934
ACH-000652,-0.483631401153
ACH-000653,-0.283453799371
ACH-000657,-0.39394394112
ACH-000658,-0.07350297212569999
ACH-000661,-0.235907312652
ACH-000662,-0.7651469064409999
ACH-000663,-0.180376403109
ACH-000665,-0.421431492831
ACH-000671,-0.52490081249
ACH-000673,-0.37849565505599997
ACH-000676,-0.317745252659
ACH-000677,-0.49309623862400004
ACH-000681,-0.0893018564872
ACH-000682,-0.37048968834299995
ACH-000683,-0.331845164595
ACH-000684,-0.116930261534
ACH-000688,-0.599942123369
ACH-000693,-0.37920837458800005
ACH-000694,-0.362066003714
ACH-000695,-0.561079917519
ACH-000696,-0.363605406991
ACH-000697,-0.248705934184
ACH-000699,-0.309277478476
ACH-000701,-0.281600111455
