,SAE1 (10055)
ACH-000004,-1.8897462232
ACH-000007,-1.61564430807
ACH-000009,-1.8383823131
ACH-000011,-1.61900445355
ACH-000012,-1.39836801512
ACH-000013,-1.6929784802399999
ACH-000014,-1.53516561322
ACH-000015,-1.69149980742
ACH-000017,-1.83100691002
ACH-000018,-1.57362188098
ACH-000019,-1.57071436718
ACH-000021,-1.6407506682799997
ACH-000022,-1.6122761544100002
ACH-000025,-1.3393143972
ACH-000028,-1.4441760832100001
ACH-000030,-1.42548222811
ACH-000035,-1.5762390132100002
ACH-000036,-1.3819756470500002
ACH-000037,-1.6029390959099998
ACH-000039,-1.7151348073
ACH-000040,-1.41671407255
ACH-000041,-1.8722104741299999
ACH-000042,-1.54336114149
ACH-000045,-1.41796123147
ACH-000047,-1.17520015945
ACH-000052,-1.46074817194
ACH-000053,-1.21030198142
ACH-000054,-1.24687240506
ACH-000055,-1.4973437603
ACH-000060,-1.3310054576600001
ACH-000067,-1.5752410490200002
ACH-000070,-1.33227678451
ACH-000075,-1.26551719127
ACH-000078,-1.7085233626700003
ACH-000082,-1.34887795548
ACH-000085,-1.8398901610099998
ACH-000086,-1.32215084923
ACH-000087,-1.28821790751
ACH-000092,-1.52381112143
ACH-000095,-1.5161909799000002
ACH-000097,-1.56993113805
ACH-000098,-1.78315737467
ACH-000099,-1.5020192816100002
ACH-000108,-1.3868618335
ACH-000113,-1.45266854395
ACH-000115,-1.9873434216900003
ACH-000116,-1.4242549870299999
ACH-000118,-1.4060301405899998
ACH-000120,-1.5481045694100002
ACH-000123,-1.48582656255
ACH-000127,-1.5975646106299999
ACH-000128,-1.5903962926700002
ACH-000132,-1.35139479566
ACH-000133,-1.5046989755000002
ACH-000137,-1.72841496651
ACH-000138,-1.58975850801
ACH-000142,-1.57684987643
ACH-000143,-1.42109602812
ACH-000146,-1.8009886975
ACH-000148,-1.55850852322
ACH-000150,-1.5283545278900001
ACH-000152,-1.6076696488799997
ACH-000153,-1.9867351576099999
ACH-000159,-1.59867381416
ACH-000160,-1.8951755999700002
ACH-000163,-1.57925528003
ACH-000167,-1.4027988229600001
ACH-000168,-1.61967917568
ACH-000169,-1.3781704308899998
ACH-000178,-1.59081890425
ACH-000182,-1.77721227729
ACH-000183,-1.4144257453600002
ACH-000188,-1.4991236821
ACH-000189,-1.4535565715600003
ACH-000190,-1.68172831296
ACH-000198,-1.3738870311899998
ACH-000204,-1.7416218248299997
ACH-000206,-1.3460229381
ACH-000207,-1.26702430704
ACH-000211,-1.4490230208000001
ACH-000215,-1.61422955662
ACH-000221,-1.44320787512
ACH-000222,-1.56012759179
ACH-000223,-1.4157993975
ACH-000226,-1.16970061452
ACH-000227,-2.03482985748
ACH-000228,-1.22449274502
ACH-000231,-1.5548768915600002
ACH-000232,-1.4683263416699999
ACH-000233,-1.39199740553
ACH-000234,-1.57687341439
ACH-000235,-1.5807668912600001
ACH-000237,-1.52323338502
ACH-000238,-1.4775802086399998
ACH-000243,-1.44548519518
ACH-000244,-1.5251014716799998
ACH-000246,-1.5259351110100001
ACH-000248,-1.5861261546599998
ACH-000250,-1.45467640725
ACH-000251,-1.9127911614900002
ACH-000253,-1.6439536525999998
ACH-000255,-1.34120827249
ACH-000256,-1.7096758143200002
ACH-000257,-1.16755738749
ACH-000258,-1.40645258831
ACH-000259,-1.4936609702399999
ACH-000260,-1.39080562032
ACH-000261,-1.60676640572
ACH-000262,-1.62178244846
ACH-000263,-1.5679793648
ACH-000264,-1.39366064643
ACH-000265,-1.3349641207
ACH-000266,-1.7138779608
ACH-000272,-1.6107449822600002
ACH-000273,-1.4096896826700003
ACH-000274,-1.23484456528
ACH-000277,-1.64842620421
ACH-000278,-1.80117668087
ACH-000279,-1.7984188372599998
ACH-000280,-1.5927129733200003
ACH-000281,-1.6137372027099999
ACH-000288,-1.4684781984200002
ACH-000291,-1.50064549416
ACH-000293,-1.45169925573
ACH-000294,-1.33437774164
ACH-000295,-1.7750734280900002
ACH-000296,-1.7425576979900002
ACH-000302,-1.4126485797100001
ACH-000304,-1.50096481326
ACH-000307,-1.4691900710799999
ACH-000308,-1.8383292174900001
ACH-000310,-1.7378880963799999
ACH-000311,-1.5682678616299999
ACH-000312,-1.5085288333700002
ACH-000315,-1.47055234599
ACH-000316,-1.6118002788799999
ACH-000317,-1.4844079912700001
ACH-000318,-1.6110262956
ACH-000319,-1.33696109739
ACH-000320,-1.5791181044799998
ACH-000322,-1.35257383095
ACH-000323,-1.5357253157799997
ACH-000324,-1.44848570968
ACH-000329,-1.0012415858900001
ACH-000330,-1.8598198316299999
ACH-000331,-1.51463261199
ACH-000332,-1.6698734955
ACH-000334,-1.51826532436
ACH-000335,-1.4948285643700001
ACH-000336,-1.5197209417299997
ACH-000337,-1.6016869150600002
ACH-000339,-1.63390809744
ACH-000341,-0.8320623658390001
ACH-000348,-1.3550120606099998
ACH-000350,-1.6996994673299999
ACH-000352,-1.5816346730700002
ACH-000356,-1.27320531581
ACH-000361,-1.38386701869
ACH-000362,-1.3982592003
ACH-000363,-1.5644401123700002
ACH-000364,-1.60690408846
ACH-000365,-1.49908385869
ACH-000366,-1.94035500477
ACH-000368,-1.4983438407499998
ACH-000374,-1.5896984876
ACH-000375,-1.4092181612799999
ACH-000376,-1.37386049491
ACH-000381,-1.4593699758200003
ACH-000383,-1.8622338020599998
ACH-000387,-1.3740592696899998
ACH-000389,-1.32724861196
ACH-000390,-1.25940062913
ACH-000393,-1.1961310894200001
ACH-000395,-1.3911502630700001
ACH-000397,-1.7143037787
ACH-000401,-1.9460832898599998
ACH-000402,-1.37254247856
ACH-000403,-1.49726636741
ACH-000404,-1.49755450584
ACH-000406,-1.50296215847
ACH-000407,-1.56444660756
ACH-000408,-1.7091138584299999
ACH-000410,-1.48322577884
ACH-000411,-1.3623632435799997
ACH-000414,-1.2829307581899998
ACH-000415,-1.61347024027
ACH-000416,-1.29346101256
ACH-000420,-1.35574056251
ACH-000421,-1.43390313139
ACH-000424,-1.58793185141
ACH-000425,-1.3220125452299998
