,TXNL4B (54957)
ACH-000004,-0.832045458958
ACH-000007,-0.8316296633720001
ACH-000009,-0.702013222388
ACH-000011,-0.622867658118
ACH-000012,-0.7763584969990001
ACH-000013,-0.9548378624889999
ACH-000014,-0.7986616743699999
ACH-000015,-0.741413920295
ACH-000017,-0.668775783615
ACH-000018,-0.6925005043019999
ACH-000019,-0.850407787517
ACH-000021,-0.7053570020409999
ACH-000022,-0.7206167845550001
ACH-000025,-1.0050331025900001
ACH-000028,-0.545891194152
ACH-000030,-0.8592854946449999
ACH-000035,-0.724575075025
ACH-000036,-0.713273775485
ACH-000037,-0.31195086565900004
ACH-000039,-0.807412876402
ACH-000040,-0.711837493115
ACH-000041,-1.1338738722200001
ACH-000042,-0.8007856441750001
ACH-000045,-0.784491877491
ACH-000047,-0.8578759564139999
ACH-000052,-1.10497971991
ACH-000053,-0.78540185329
ACH-000054,-0.930429495387
ACH-000055,-0.754124710541
ACH-000060,-1.01019282691
ACH-000067,-0.812220932622
ACH-000070,-0.833060987609
ACH-000075,-0.7594006934049999
ACH-000078,-0.655457605248
ACH-000082,-0.994906854587
ACH-000085,-0.671153542408
ACH-000086,-0.794701936224
ACH-000087,-0.5138183558330001
ACH-000092,-0.666676154733
ACH-000095,-0.875611941391
ACH-000097,-0.780180735377
ACH-000098,-0.873558130544
ACH-000099,-0.737075480061
ACH-000108,-0.6125068355969999
ACH-000113,-0.715574294949
ACH-000115,-0.818174638844
ACH-000116,-0.7739178325830001
ACH-000118,-0.535342349717
ACH-000120,-0.7143303471279999
ACH-000123,-0.882749935284
ACH-000127,-0.7092720259990001
ACH-000128,-0.8358257207600001
ACH-000132,-0.746026786761
ACH-000133,-1.07556147636
ACH-000137,-0.8215197082979999
ACH-000138,-0.910410682334
ACH-000142,-0.788866761497
ACH-000143,-0.7777533864499999
ACH-000146,-0.8495587550920001
ACH-000148,-0.718029665037
ACH-000150,-0.612683883693
ACH-000152,-0.776275204781
ACH-000153,-0.8684541039839999
ACH-000159,-0.477853961369
ACH-000160,-0.7919929213879999
ACH-000163,-0.864630430791
