,SMN2 (6607)
ACH-000004,-1.00867678624
ACH-000007,-1.10427614706
ACH-000009,-0.6734759695999999
ACH-000011,-1.41565533718
ACH-000012,-1.20060062264
ACH-000013,-1.38144440435
ACH-000014,-1.3682792161500001
ACH-000015,-1.27636076033
ACH-000017,-1.48616842535
ACH-000018,-0.972947609628
ACH-000019,-1.2899599371500001
ACH-000021,-0.9978793505519999
ACH-000022,-1.28303928068
ACH-000025,-1.1192854621100001
ACH-000028,-1.3686645541999998
ACH-000030,-1.30787932955
ACH-000035,-1.1313184021200002
ACH-000036,-1.14215981639
ACH-000037,-1.1909518194600002
ACH-000039,-1.3903252483300002
ACH-000040,-1.2232824337000001
ACH-000041,-1.57288597597
ACH-000042,-0.930464392884
ACH-000045,-1.27376042401
ACH-000047,-1.4062636423800001
ACH-000052,-1.01376821629
ACH-000053,-1.25077627564
ACH-000054,-1.0826126434999999
ACH-000055,-0.89869098665
ACH-000060,-1.1946130358700002
ACH-000067,-1.03893930316
ACH-000070,-1.04238876028
ACH-000075,-1.1804426078299999
ACH-000078,-1.20655936653
ACH-000082,-1.26478388224
ACH-000085,-1.30338707063
ACH-000086,-0.955521150647
ACH-000087,-1.63296973007
ACH-000092,-0.972427019835
ACH-000095,-1.32655120099
ACH-000097,-1.5147870008200002
ACH-000098,-0.895134033017
ACH-000099,-1.29196518675
ACH-000108,-1.18869562163
ACH-000113,-1.15712994288
ACH-000115,-1.0532504605
ACH-000116,-1.4344864680399998
ACH-000118,-1.22472788566
ACH-000120,-0.9789558280339999
ACH-000123,-1.2550797745
ACH-000127,-1.32424611297
ACH-000128,-1.55297448596
ACH-000132,-1.41711497277
ACH-000133,-1.5201677868799999
ACH-000137,-1.34828107308
ACH-000138,-1.29677520089
ACH-000142,-0.938760775461
ACH-000143,-0.9957810996299999
ACH-000146,-1.5847824011200002
ACH-000148,-1.26250869795
ACH-000150,-1.24382079836
ACH-000152,-1.37064112803
ACH-000153,-0.604503965646
ACH-000159,-0.920928671687
ACH-000160,-1.66710178657
ACH-000163,-1.47986512191
ACH-000167,-1.7705355778799998
ACH-000168,-1.2903517418200001
ACH-000169,-1.20468575202
ACH-000178,-1.08523666369
ACH-000182,-1.3190095495899998
ACH-000183,-1.00857663732
ACH-000188,-1.56735195749
ACH-000189,-1.22680930586
ACH-000190,-1.0754745524
ACH-000198,-1.29981491203
ACH-000204,-1.1290906489399999
ACH-000206,-1.77095857825
ACH-000207,-0.9232032269439999
ACH-000211,-1.1827672058399998
ACH-000215,-1.1082871588
ACH-000221,-1.3985819367299999
ACH-000222,-1.19167451044
ACH-000223,-1.63899811671
ACH-000226,-1.2678917251700002
ACH-000227,-1.19696501561
ACH-000228,-1.6721885412200002
ACH-000231,-1.16178503745
ACH-000232,-1.27522938506
ACH-000233,-1.1208612064
ACH-000234,-1.27818670637
ACH-000235,-1.18103354481
ACH-000237,-1.38513507057
ACH-000238,-1.5912663510299998
ACH-000243,-1.23886484588
ACH-000244,-1.06681515606
ACH-000246,-1.0835282110299997
ACH-000248,-0.9693995377600001
ACH-000250,-0.946298182121
ACH-000251,-1.3353826412899998
ACH-000253,-1.50624166051
ACH-000255,-1.35489624176
ACH-000256,-1.33394795071
