,DUS2 (54920)
ACH-000004,-0.1869470276
ACH-000007,-0.20137709077799998
ACH-000009,-0.15061865824100001
ACH-000011,-0.187980229923
ACH-000012,-0.13698022064
ACH-000013,-0.26596636226
ACH-000014,-0.267078573469
ACH-000015,-0.041210922174400005
ACH-000017,-0.267038316856
ACH-000018,-0.186907638108
ACH-000019,-0.243883719041
ACH-000021,-0.178469469075
ACH-000022,0.0004967400777809999
ACH-000025,-0.22862848497299998
ACH-000028,-0.013886528191799998
ACH-000030,-0.070252123774
ACH-000035,-0.36438378693400003
ACH-000036,-0.168747003427
ACH-000037,-0.242460461614
ACH-000039,-0.160030440953
ACH-000040,-0.045781832275599996
ACH-000041,-0.12113824488
ACH-000042,-0.141334931587
ACH-000045,-0.212622503492
ACH-000047,-0.13261857052
ACH-000052,-0.322529504942
ACH-000053,-0.0324497508963
ACH-000054,-0.09074078871619999
ACH-000055,0.0496822953062
ACH-000060,-0.059376666797199995
ACH-000067,0.0530780985898
ACH-000070,-0.460436436254
ACH-000075,-0.21671553262899998
ACH-000078,-0.134900958959
ACH-000082,-0.134123827967
ACH-000085,-0.0796936856899
ACH-000086,-0.0635721929101
ACH-000087,-0.0243711039348
ACH-000092,-0.103304208239
ACH-000095,-0.257076518082
ACH-000097,-0.09298189126350001
ACH-000098,-0.15984242088
ACH-000099,-0.08278102303689999
ACH-000108,-0.118917249732
ACH-000113,-0.00362633887544
ACH-000115,0.036339339353199995
ACH-000116,-0.0712785825896
ACH-000118,-0.039234675405199995
ACH-000120,-0.338110541696
ACH-000123,-0.019180007784200002
ACH-000127,-0.219886237703
ACH-000128,-0.00860512065619
ACH-000132,-0.32464763427
ACH-000133,-0.117315234816
ACH-000137,-0.069538256841
ACH-000138,-0.24489912650100001
ACH-000142,-0.08354244283210001
ACH-000143,0.0154618821173
ACH-000146,-0.12345195746200001
ACH-000148,-0.07919173791010001
ACH-000150,0.0966261632931
ACH-000152,-0.0682398387749
ACH-000153,-0.111307079386
ACH-000159,-0.165871407417
ACH-000160,-0.211534453821
ACH-000163,-0.104305921105
ACH-000167,-0.209560860262
ACH-000168,-0.22809224476
ACH-000169,0.051081711768
ACH-000178,-0.144054757561
ACH-000182,-0.12316660580600002
ACH-000183,-0.133310859605
ACH-000188,-0.08624575811660001
ACH-000189,0.0337123935968
ACH-000190,-0.148934419668
ACH-000198,-0.19035260692400002
ACH-000204,-0.10657779726700001
ACH-000206,0.07571173115810001
ACH-000207,-0.22755836153700001
ACH-000211,-0.206711011902
ACH-000215,-0.195011238122
ACH-000221,-0.0370859124525
ACH-000222,-0.178936125606
ACH-000223,-0.1630579381
ACH-000226,0.00506282565736
ACH-000227,-0.20808200607500002
ACH-000228,-0.170210350517
ACH-000231,-0.0609335609883
ACH-000232,-0.257044315702
ACH-000233,-0.0863431083916
ACH-000234,-0.0807879894032
ACH-000235,-0.13032219539
ACH-000237,-0.0849584697222
ACH-000238,-0.0834460901579
ACH-000243,-0.151897763582
ACH-000244,-0.00630503398237
ACH-000246,-0.027947557417000002
ACH-000248,-0.323301316277
ACH-000250,-0.08857694591769999
ACH-000251,0.11501131812000001
ACH-000253,-0.0907478698236
ACH-000255,-0.0218974260872
ACH-000256,-0.22984310614
ACH-000257,-0.0817523119302
ACH-000258,-0.09270364840489999
ACH-000259,-0.140335576214
ACH-000260,-0.124025979813
ACH-000261,-0.119023839098
ACH-000262,-0.21526276719700002
ACH-000263,-0.12077805824799999
