,APOA1BP (128240)
ACH-000004,-0.0974029326044
ACH-000007,-0.056449841810800004
ACH-000009,-0.441205981197
ACH-000011,-0.31574452875500003
ACH-000012,-0.297179551024
ACH-000013,-0.242046854991
ACH-000014,-0.0670208711034
ACH-000015,-0.138678512654
ACH-000017,-0.08393386519780001
ACH-000018,-0.037618609989400004
ACH-000019,-0.45484295514
ACH-000021,-0.22136510815699997
ACH-000022,-0.177462688158
ACH-000025,-0.27672461651
ACH-000028,-0.344097181069
ACH-000030,-0.16120409085100001
ACH-000035,-0.272177951719
ACH-000036,-0.575730761171
ACH-000037,-0.19922074035
ACH-000039,-0.23874424614300002
ACH-000040,-0.225689958857
ACH-000041,-0.120420041477
ACH-000042,-0.191248232373
ACH-000045,-0.165506756093
ACH-000047,-0.115016369376
ACH-000052,-0.247187216009
ACH-000053,-0.144321448371
ACH-000054,-0.18833125860999997
ACH-000055,-0.308749520343
ACH-000060,-0.34190664840499996
ACH-000067,-0.22193762420200003
ACH-000070,-0.23692299931400002
ACH-000075,-0.267450619982
ACH-000078,-0.112505809045
ACH-000082,-0.242222460258
ACH-000085,-0.277105621781
ACH-000086,-0.505886683627
ACH-000087,-0.0629366644563
ACH-000092,-0.0868321059218
ACH-000095,-0.108591337557
ACH-000097,-0.249159724228
ACH-000098,-0.288285094468
ACH-000099,-0.223777686565
ACH-000108,-0.162670393559
ACH-000113,-0.123860782061
ACH-000115,0.0777319871209
ACH-000116,-0.0806050697303
ACH-000118,-0.229227462181
ACH-000120,-0.382370898153
ACH-000123,-0.214090043165
ACH-000127,-0.166251539054
ACH-000128,-0.15469445947899998
ACH-000132,-0.14750168471300001
ACH-000133,-0.22732730478100002
ACH-000137,-0.179604245896
ACH-000138,-0.154246549769
ACH-000142,-0.12449719281300001
ACH-000143,0.243960321575
ACH-000146,-0.35161450787199994
ACH-000148,-0.262485101587
ACH-000150,-0.0873641942605
ACH-000152,-0.135959920691
ACH-000153,-0.383891281472
ACH-000159,-0.282116759452
ACH-000160,0.0701056089278
ACH-000163,-0.36051074055699994
ACH-000167,-0.25184808883000004
ACH-000168,-0.201688287854
ACH-000169,-0.0540956453723
ACH-000178,-0.175602523394
ACH-000182,-0.0431149553951
ACH-000183,-0.07812340914
ACH-000188,-0.237265942299
ACH-000189,-0.309273036582
ACH-000190,-0.125456662238
ACH-000198,-0.056469810111999995
ACH-000204,-0.28976335914900003
ACH-000206,-0.0941070122574
ACH-000207,-0.07938113972510001
ACH-000211,-0.17687339489
ACH-000215,-0.260849277644
ACH-000221,-0.36845464396399996
ACH-000222,-0.281805092347
ACH-000223,-0.396433131132
ACH-000226,-0.205623731654
ACH-000227,-0.277353834666
ACH-000228,-0.217054291832
