,TXNL1 (9352)
ACH-000004,-0.152684633885
ACH-000007,-0.219307605432
ACH-000009,-0.0100190082439
ACH-000011,-0.04736416587669999
ACH-000012,-0.213499302975
ACH-000013,0.026824789736200002
ACH-000014,-0.239054863433
ACH-000015,-0.10161199563300001
ACH-000017,-0.250938554386
ACH-000018,0.00862659964116
ACH-000019,-0.496650766598
ACH-000021,-0.124691770709
ACH-000022,-0.08446012836439999
ACH-000025,-0.23387963272300002
ACH-000028,-0.319597177035
ACH-000030,-0.18659936116099998
ACH-000035,0.144781646677
ACH-000036,-0.17556791192600002
ACH-000037,-0.471090469525
ACH-000039,-0.006905131820199999
ACH-000040,-0.270298402154
ACH-000041,-0.313289280397
ACH-000042,-0.209866612121
ACH-000045,-0.35531248419699996
ACH-000047,-0.10525974561899999
ACH-000052,-0.309834297269
ACH-000053,-0.13007789795900002
ACH-000054,-0.156734622879
ACH-000055,-0.324381164495
ACH-000060,-0.23018439840399998
ACH-000067,0.0010442460079
ACH-000070,-0.482268135019
ACH-000075,-0.31070916063799997
ACH-000078,-0.04940901432519999
ACH-000082,-0.134953853939
ACH-000085,-0.222021043202
ACH-000086,-0.158066632283
ACH-000087,-0.0527892471268
ACH-000092,-0.201072861327
ACH-000095,-0.14309630679000002
ACH-000097,-0.28622206091999997
ACH-000098,-0.219497178889
ACH-000099,-0.0890926052647
ACH-000108,-0.298710233003
ACH-000113,-0.18641213789900002
ACH-000115,-0.07772620508169999
ACH-000116,-0.259942545254
ACH-000118,-0.157888532952
ACH-000120,-0.145701271211
ACH-000123,-0.0147357194639
ACH-000127,-0.0942337674692
ACH-000128,-0.0557870512748
ACH-000132,-0.160984910217
ACH-000133,-0.316732902068
ACH-000137,-0.178044642513
ACH-000138,-0.214711072955
ACH-000142,-0.22807994886900002
ACH-000143,0.11915413663100001
ACH-000146,0.0819595859663
ACH-000148,-0.14617282378799998
ACH-000150,-0.0844352036256
ACH-000152,-0.124610820693
ACH-000153,0.00021571998737900003
ACH-000159,-0.251706255369
ACH-000160,-0.404693061286
ACH-000163,-0.0625962638298
ACH-000167,-0.152475326369
