,RIN3 (79890)
ACH-000460,-0.23394559612399998
ACH-000461,-0.122723820743
ACH-000463,-0.138602800758
ACH-000464,-0.0325663097998
ACH-000466,-0.024056047313099998
ACH-000467,-0.120630438046
ACH-000468,-0.0330638378377
ACH-000469,-0.0881140511512
ACH-000470,0.0014942954806
ACH-000471,-0.25322892535999997
ACH-000472,-0.253284470151
ACH-000473,-0.45390601096600003
ACH-000475,-0.155708654033
ACH-000476,-0.163631200852
ACH-000477,-0.441165437324
ACH-000480,-0.254344993272
ACH-000481,0.05556287377809999
ACH-000483,-0.10127708572
ACH-000484,-0.131253729012
ACH-000485,-0.101425160409
ACH-000486,-0.07036204068560001
ACH-000487,-0.096923080043
ACH-000488,-0.105310838551
ACH-000490,-0.244641846367
ACH-000491,-0.25365971224
ACH-000495,-0.08611658392049999
ACH-000496,-0.025616849917
ACH-000499,-0.185612922786
ACH-000500,0.0283961058227
ACH-000502,-0.275400998591
ACH-000503,-0.14656775988600002
ACH-000505,-0.17172432774000002
ACH-000507,0.010315563126
ACH-000510,-0.101470532837
ACH-000511,-0.142666027408
ACH-000512,-0.0681908778909
ACH-000516,-0.09282843698139999
ACH-000517,-0.206606219158
ACH-000518,0.108242704602
ACH-000520,-0.112910044101
ACH-000521,-0.015520522411100001
ACH-000522,-0.196610878638
ACH-000524,-0.177647920543
ACH-000527,-0.15566467702700001
ACH-000528,-0.218192080951
ACH-000537,-0.0639494261069
ACH-000541,-0.280333738701
ACH-000542,-0.06780042754809999
ACH-000544,-0.07190570683349999
ACH-000545,-0.197636957036
ACH-000547,0.061201067911199995
ACH-000548,-0.034305229547
ACH-000549,-0.232096711188
ACH-000550,-0.0678267032772
ACH-000552,-0.0530807283312
ACH-000556,-0.0660120507843
ACH-000557,0.0453177026035
ACH-000570,-0.145361551953
ACH-000571,-0.15701317395
ACH-000573,-0.043057650787399995
ACH-000576,-0.29086207380600004
ACH-000580,-0.0899404924529
ACH-000584,-0.0713533909555
ACH-000585,-0.207466773821
ACH-000588,-0.135761074708
ACH-000589,-0.0321878497542
ACH-000591,-0.270351797638
ACH-000593,-0.20015977185400002
ACH-000600,-0.0430865214492
ACH-000601,-0.12013712435900001
ACH-000604,-0.0422168986833
ACH-000605,-0.204736795482
ACH-000606,-0.036884026531300004
ACH-000608,-0.27573074184
ACH-000614,-0.0311386309633
ACH-000616,-0.222224318871
ACH-000618,-0.08922360676930001
ACH-000619,-0.14604992093900002
ACH-000620,-0.346326268658
ACH-000621,-0.0301618285238
ACH-000622,-0.0285310843285
ACH-000623,-0.1886047173
ACH-000624,-0.13972096279899998
ACH-000627,-0.10264966608500001
ACH-000630,-0.130754972891
ACH-000632,-0.167111020819
ACH-000633,-0.22962516936799998
ACH-000637,-0.127576107675
ACH-000638,-0.03638327601269999
ACH-000646,0.018679522871099998
ACH-000647,-0.07758580214060001
ACH-000648,-0.12081190875600001
ACH-000649,-0.137100136614
ACH-000651,-0.16196214428
ACH-000652,0.113378725883
ACH-000653,-0.11430156718800001
ACH-000657,-0.178642718723
ACH-000658,-0.033804443676
ACH-000661,-0.22962005353
ACH-000662,-0.59562352455
ACH-000663,-0.058697693182699996
ACH-000665,-0.121729083352
ACH-000671,-0.103403406175
ACH-000673,-0.0880290807713
ACH-000676,-0.294761906804
ACH-000677,-0.06736708441599999
ACH-000681,-0.096614441271
ACH-000682,-0.109014390855
ACH-000683,-0.0991581847693
ACH-000684,-0.282566744344
ACH-000688,0.034111961499999996
ACH-000693,-0.269976198667
ACH-000694,-0.367152601882
ACH-000695,-0.596812263644
ACH-000696,-0.15386699819900002
ACH-000697,-0.242050743006
ACH-000699,-0.310267284795
ACH-000701,-0.100378459645
ACH-000706,-0.240512689811
ACH-000711,-0.145055571891
ACH-000713,-0.11029903119300001
ACH-000714,-0.032251828156
ACH-000718,-0.0400620323584
ACH-000720,-0.0641307399041
ACH-000721,-0.22352895332199998
ACH-000724,-0.24327530227400002
ACH-000725,-0.0762576182581
ACH-000732,-0.10460515269099999
ACH-000734,-0.0804160033155
ACH-000735,-0.159306191913
ACH-000736,-0.19654735143399998
ACH-000738,-0.307662161361
ACH-000746,-0.23399504233399998
ACH-000747,-0.08071667703689998
ACH-000748,-0.026953084618099997
ACH-000753,-0.053076400147099995
ACH-000756,-0.0622078203239
ACH-000757,-0.09733351144039999
ACH-000758,0.0288648819772
ACH-000760,-0.227396120792
ACH-000763,-0.19855667472600003
ACH-000764,-0.179771202295
ACH-000765,-0.13505017598
ACH-000766,-0.057438023279599994
ACH-000767,-0.19109422647399998
ACH-000768,-0.288602912765
ACH-000769,-0.122729465879
ACH-000770,-0.211553317623
ACH-000771,-0.0890103158144
ACH-000773,-0.141576422772
ACH-000776,0.0077630626353
ACH-000777,-0.19636573469000002
ACH-000778,-0.243184734632
ACH-000781,-0.127498153508
ACH-000782,0.136775837632
ACH-000783,-0.18323609850699998
ACH-000784,-0.205936530259
ACH-000785,-0.341747730813
ACH-000787,-0.21687770127099998
ACH-000788,-0.147709985953
ACH-000791,-0.00794562186097
ACH-000792,0.005399883608989999
ACH-000794,-0.05264604117740001
ACH-000796,-0.212952776413
ACH-000799,0.0598534176028
ACH-000800,-0.261251274342
ACH-000802,-0.220156159942
ACH-000804,-0.207210671871
ACH-000805,-0.179992835944
ACH-000809,-0.119931550992
ACH-000810,-0.36880053115199996
ACH-000811,-0.12158835919500001
ACH-000817,-0.18274045226799998
ACH-000819,-0.160586782618
ACH-000820,-0.41845886971600005
ACH-000821,-0.494415259911
ACH-000822,-0.10745937769899999
ACH-000823,-0.06672890031340001
ACH-000824,-0.10404758855599999
ACH-000827,-0.169810747599
ACH-000829,-0.307989256758
ACH-000831,-0.06737294996330001
ACH-000832,0.0229159581664
ACH-000833,-0.34211760056900004
ACH-000834,-0.0166694016248
ACH-000835,-0.17600968239599998
ACH-000836,-0.0543747675782
ACH-000837,-0.098776807398
ACH-000838,-0.406373528002
ACH-000839,-0.207302957091
ACH-000840,-0.21115339253899998
ACH-000841,0.0172515997611
ACH-000843,-0.0540444660219
ACH-000846,-0.45714508103699997
ACH-000847,-0.0844487279703
ACH-000848,-0.334403145178
ACH-000849,-0.0512941003711
ACH-000851,-0.164578508803
ACH-000855,-0.297505519568
ACH-000856,-0.25261539644299996
ACH-000858,-0.257133844371
ACH-000859,-0.28432632320900003
ACH-000861,-0.22671875789700002
ACH-000862,-0.288466139736
ACH-000865,-0.11153623773299999
ACH-000866,-0.17093586305999997
